time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,4718000,1363000,1449000,1310000,105000,5517000,112000,0,35000,7000,74000,68000,2371000,4783000,7154000,25000000,125.6,122.9,89.42,118.85,124.3616,122.225,116.2616,125.2616,121.8866
0.203,,4718000,1273000,1710000,1310000,105000,5517000,208000,0,5000,11000,68000,68000,2425000,4978000,7403000,25000000,125.6,122.45,89.42,118.85,124.3616,122.225,116.2616,125.2616,121.8866
0.403,,4691000,1273000,1649000,1250000,105000,5559000,208000,0,5000,7000,68000,68000,2426000,4762000,7188000,25000000,125.6,122.9,89.42,118.85,124.3616,122.225,116.2616,125.2616,121.8866
0.603,,4691000,1273000,1449000,1584000,105000,5559000,300000,10000,81000,0,68000,68000,2446000,5641000,8087000,25000000,125.6,122.9,89.42,118.85,124.3616,122.225,116.2616,125.2616,121.8866
0.803,,4691000,1207000,1339000,1169000,105000,5721000,300000,0,35000,4000,68000,68000,2430000,4931000,7361000,25000000,125.6,122.9,89.42,118.85,124.3616,122.225,116.2616,125.2616,121.8866
1.003,,4846000,1050000,1615000,1284000,105000,5721000,300000,0,35000,4000,68000,68000,2545000,7675000,10220000,25000000,125.6,122.9,89.42,118.85,124.25,122.225,116.2616,125.15,121.8866
1.203,,4846000,1207000,1554000,1199000,105000,5721000,295000,0,35000,4000,68000,68000,2524000,7504000,10028000,25000000,125.6,122.9,89.42,118.85,124.25,122.225,116.2616,125.15,121.8866
1.404,,4846000,1118000,1315000,1169000,105000,5855000,295000,0,5000,7000,68000,68000,2420000,4435000,6855000,25000000,125.6,122.9,89.42,118.85,124.25,122.225,116.2616,125.15,121.8866
1.604,,5039000,1318000,1710000,1693000,105000,5855000,295000,0,5000,7000,68000,68000,2408000,7749000,10157000,25000000,125.6,122.9,89.42,118.85,124.25,122.225,116.2616,125.15,121.8866
