time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
5.003,,6365000,1140000,1805000,1318000,838000,7473000,222000,0,5000,11000,68000,68000,2398000,5392000,7790000,25000000,123.8,121.1,91.22,116.825,122.1116,119.8616,114.575,123.125,119.8616
5.203,,6365000,1176000,2114000,856000,3331000,7632000,222000,0,5000,11000,68000,68000,2376000,6003000,8379000,25000000,123.8,121.1,91.22,116.825,122.1116,119.8616,114.575,123.125,119.8616
5.403,,6399000,1287000,1686000,1071000,3311000,7632000,210000,0,5000,4000,68000,68000,2363000,5130000,7493000,25000000,123.8,121.1,91.22,116.825,122.1116,119.8616,114.575,123.125,119.8616
5.604,,6399000,1287000,2138000,2226000,825000,7632000,210000,0,5000,7000,68000,65000,2424000,6606000,9030000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.575,123.125,119.8616
5.803,,6399000,1309000,2755000,751000,3367000,7630000,210000,0,5000,11000,68000,65000,2346000,5684000,8030000,25000000,123.8,121.1,91.22,116.825,122.1116,119.8616,114.575,123.125,119.8616
6.003,,6530000,1073000,1449000,1391000,105000,7630000,286000,0,5000,4000,68000,65000,2556000,7821000,10377000,25000000,123.8,121.1,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
6.203,,6530000,1353000,1578000,1306000,3372000,7630000,286000,0,5000,4000,68000,65000,2423000,6198000,8621000,25000000,123.8,121.1,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
6.404,,6530000,1243000,2066000,927000,2334000,7641000,286000,0,5000,7000,68000,68000,2446000,5882000,8328000,25000000,123.8,121.1,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
6.603,,6497000,1442000,2304000,1063000,838000,7641000,226000,20000,3000,7000,68000,68000,2376000,4233000,6609000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
6.803,,6497000,1553000,2209000,1156000,838000,7641000,226000,20000,3000,4000,68000,68000,2422000,4948000,7370000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
7.003,,6497000,1118000,2043000,1895000,105000,7691000,226000,10000,3000,7000,68000,68000,2542000,4414000,6956000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
7.203,,6493000,1487000,1639000,1097000,838000,7691000,239000,10000,78000,4000,72000,65000,2436000,3838000,6274000,25000000,123.8,121.1,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
7.402,,6493000,1265000,1639000,1593000,105000,7718000,239000,0,32000,7000,68000,68000,2499000,4270000,6769000,25000000,123.8,121.1,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
7.603,,6493000,1353000,1496000,1250000,838000,7718000,239000,0,32000,4000,70000,68000,2492000,4179000,6671000,25000000,123.8,121.1,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
7.803,,6506000,1363000,1663000,1593000,796000,7718000,237000,0,32000,4000,92000,68000,2518000,4696000,7214000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
8.003,,6506000,1363000,1829000,1673000,105000,7700000,237000,0,35000,4000,68000,68000,2401000,5552000,7953000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
8.203,,6506000,1309000,1615000,1594000,838000,7700000,237000,0,32000,4000,68000,65000,2571000,4035000,6606000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
8.404,,6551000,1376000,1639000,1673000,838000,7700000,245000,0,32000,4000,68000,68000,2490000,4732000,7222000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
8.603,,6551000,1273000,1615000,1632000,5465000,7680000,245000,0,32000,4000,68000,68000,2515000,4136000,6651000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
8.802,,6551000,1398000,2784000,1512000,105000,7680000,245000,0,5000,11000,68000,65000,2416000,5195000,7611000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
9.002,,6533000,1243000,2898000,1834000,105000,7680000,210000,0,5000,4000,68000,68000,2427000,3684000,6111000,25000000,123.8,120.65,91.22,116.825,122.1116,119.8616,114.4616,123.125,119.75
9.202,,6533000,1442000,1982000,1713000,105000,7439000,210000,0,5000,7000,68000,68000,2402000,4252000,6654000,25000000,123.8,120.65,91.22,116.7116,122.1116,119.8616,114.4616,123.125,119.75
9.402,,6533000,1309000,1639000,1284000,105000,7439000,239000,0,5000,11000,68000,68000,2473000,5633000,8106000,25000000,123.8,120.65,91.22,116.7116,122.1116,119.8616,114.4616,123.125,119.75
9.602,,6402000,1398000,1639000,987000,105000,7439000,239000,0,5000,11000,68000,65000,2410000,4958000,7368000,25000000,123.8,120.65,91.22,116.7116,122.1116,119.8616,114.4616,123.125,119.75
9.802,,6402000,1353000,1544000,1270000,105000,7638000,239000,0,5000,7000,68000,65000,2435000,5460000,7895000,25000000,123.8,120.65,91.22,116.7116,122.1116,119.8616,114.4616,123.125,119.75
10.002,,6368000,1376000,2138000,2612000,105000,7638000,261000,0,5000,11000,68000,68000,2457000,5561000,8018000,25000000,123.8,120.65,91.22,116.7116,122.1116,119.8616,114.4616,123.125,119.75
10.203,,6368000,1265000,1686000,1512000,105000,7638000,261000,0,5000,11000,68000,68000,2371000,5887000,8258000,25000000,123.8,120.65,91.22,116.825,122,119.8616,114.35,123.125,119.75
