time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,4301000,1176000,1315000,691000,748000,5130000,126000,10000,651000,0,70000,63000,2272000,6081000,8353000,25000000,114.8,112.1,87.8,109.175,114.6866,113,106.25,115.025,112.1
0.203,,4301000,1198000,1449000,847000,335000,5130000,126000,0,30000,4000,72000,63000,2289000,4020000,6309000,25000000,114.8,112.55,87.8,109.175,114.6866,113,106.25,115.025,112.1
0.403,,4480000,1353000,2565000,1178000,2555000,4911000,207000,0,30000,4000,65000,63000,2310000,5973000,8283000,25000000,114.8,112.55,87.8,109.175,114.6866,113,106.25,115.025,112.1
0.604,,4480000,1398000,2090000,1456000,775000,4911000,207000,0,30000,4000,65000,63000,2377000,4100000,6477000,25000000,114.8,112.55,87.8,109.2866,114.6866,113,106.3616,115.025,112.2116
0.804,,4502000,1265000,2351000,968000,775000,4911000,318000,0,5000,4000,65000,63000,2321000,4095000,6416000,25000000,114.8,112.55,87.8,109.2866,114.6866,113,106.3616,115.025,112.2116
1.004,,4502000,1309000,1324000,1632000,748000,5101000,318000,0,5000,11000,65000,63000,2354000,4227000,6581000,25000000,114.8,112.55,87.8,109.2866,114.6866,113,106.3616,115.025,112.2116
1.204,,4502000,1243000,2090000,1250000,3656000,5101000,318000,0,5000,4000,65000,63000,2347000,4138000,6485000,25000000,114.8,112.55,87.8,109.2866,114.6866,113,106.3616,115.025,112.2116
1.404,,4587000,1273000,1663000,1477000,104000,5101000,303000,0,5000,4000,65000,63000,2379000,4540000,6919000,25000000,114.8,112.55,87.8,109.2866,114.6866,113,106.3616,115.025,112.2116
1.604,,4587000,1265000,2114000,2177000,743000,5466000,303000,0,651000,0,83000,63000,2416000,4009000,6425000,25000000,114.8,112.55,87.8,109.4,114.8,113.1116,106.475,115.1366,112.325
1.803,,4587000,1265000,2446000,1477000,754000,5466000,303000,0,32000,4000,68000,63000,2267000,3897000,6164000,25000000,114.8,112.55,87.8,109.4,114.8,113.1116,106.475,115.1366,112.325
2.003,,5008000,1207000,1378000,1562000,105000,5466000,298000,0,30000,4000,65000,63000,2273000,4203000,6476000,25000000,114.8,112.55,87.8,109.4,114.8,113.1116,106.475,115.1366,112.325
2.203,,5008000,1287000,1259000,1391000,105000,5754000,298000,0,30000,4000,65000,63000,2307000,3332000,5639000,25000000,114.8,112.55,87.8,109.4,114.8,113.1116,106.475,115.1366,112.325
2.403,,5008000,1309000,2518000,1734000,5545000,5754000,298000,0,30000,0,65000,63000,2330000,4450000,6780000,25000000,114.8,113,87.8,109.4,114.8,113.1116,106.475,115.1366,112.325
2.604,,5264000,1353000,1568000,1391000,105000,5754000,288000,0,5000,4000,65000,63000,2328000,4066000,6394000,25000000,114.8,113,87.8,109.4,114.9116,113.225,106.5866,115.25,112.4366
2.803,,5264000,1353000,1306000,1270000,105000,6035000,288000,0,5000,4000,65000,63000,2280000,5760000,8040000,25000000,114.8,113,87.8,109.4,114.9116,113.225,106.5866,115.25,112.4366
3.004,,5264000,1353000,1330000,1270000,105000,6035000,288000,0,5000,11000,65000,63000,2280000,4500000,6780000,25000000,114.8,113,87.8,109.4,114.9116,113.225,106.5866,115.25,112.4366
3.204,,5557000,1353000,2256000,1089000,105000,6035000,227000,0,5000,11000,65000,63000,2301000,4138000,6439000,25000000,114.8,113,87.8,109.4,114.9116,113.225,106.5866,115.25,112.4366
3.403,,5557000,1398000,1900000,1471000,105000,6479000,227000,0,5000,11000,65000,63000,2285000,4860000,7145000,25000000,114.8,113,87.8,109.4,114.9116,113.225,106.5866,115.25,112.4366
3.604,,5557000,1162000,1171000,1471000,105000,6479000,227000,0,5000,11000,65000,63000,2288000,6079000,8367000,25000000,116.6,113,87.8,109.5116,115.025,113.3366,106.5866,115.3616,112.55
3.803,,5975000,1110000,1362000,1471000,105000,6479000,226000,0,5000,4000,65000,63000,2251000,4169000,6420000,25000000,116.6,113,87.8,109.5116,115.025,113.3366,106.5866,115.3616,112.55
4.003,,5975000,1005000,1306000,1296000,796000,6911000,226000,0,5000,7000,68000,63000,2327000,9730000,12057000,25000000,116.6,113,87.8,109.5116,115.025,113.3366,106.5866,115.3616,112.55
4.204,,5975000,1110000,1473000,1328000,105000,6911000,226000,0,5000,11000,65000,63000,2294000,4797000,7091000,25000000,116.6,113,87.8,109.5116,115.025,113.3366,106.5866,115.3616,112.55
4.403,,6018000,1073000,1710000,1451000,105000,6922000,202000,0,5000,11000,65000,63000,2362000,7368000,9730000,25000000,116.6,113,87.8,109.5116,115.025,113.3366,106.5866,115.3616,112.55
4.603,,6018000,1073000,1330000,1531000,105000,6922000,202000,0,5000,11000,65000,63000,2274000,4998000,7272000,25000000,116.6,113,87.8,109.625,115.25,113.45,106.7,115.475,112.6616
4.804,,6018000,1110000,1710000,1048000,1167000,6922000,202000,0,5000,11000,65000,63000,2342000,4265000,6607000,25000000,116.6,113,87.8,109.625,115.25,113.45,106.7,115.475,112.6616
5.005,,6149000,1073000,1131000,1613000,105000,6678000,229000,0,5000,4000,65000,63000,2264000,6441000,8705000,25000000,116.6,113,87.8,109.625,115.25,113.45,106.7,115.475,112.6616
5.204,,6149000,1028000,1449000,1200000,105000,6678000,229000,10000,76000,4000,65000,63000,2199000,4422000,6621000,25000000,116.6,113,87.8,109.625,115.25,113.45,106.7,115.475,112.6616
5.404,,6134000,1028000,1948000,1371000,105000,6678000,224000,0,30000,4000,65000,63000,2194000,7418000,9612000,25000000,116.6,113.45,87.8,109.625,115.25,113.45,106.7,115.475,112.6616
5.603,,6134000,1005000,1473000,792000,775000,6774000,224000,0,32000,4000,65000,63000,2204000,3926000,6130000,25000000,116.6,113,87.8,109.7366,115.25,113.5616,106.7,115.5866,112.775
5.804,,6134000,1050000,2066000,776000,775000,6774000,224000,0,30000,4000,65000,63000,2179000,3741000,5920000,25000000,116.6,113,87.8,109.7366,115.25,113.5616,106.7,115.5866,112.775
6.004,,6164000,1176000,2138000,691000,796000,6774000,209000,0,5000,11000,65000,65000,2200000,4350000,6550000,25000000,116.6,113.45,87.8,109.7366,115.25,113.5616,106.7,115.5866,112.775
6.204,,6164000,1118000,2375000,691000,2324000,6846000,209000,0,5000,11000,65000,63000,2192000,3611000,5803000,25000000,116.6,113.45,87.8,109.7366,115.25,113.5616,106.7,115.5866,112.775
6.404,,6164000,1050000,1259000,1199000,105000,6846000,209000,0,5000,4000,70000,63000,2266000,4825000,7091000,25000000,116.6,113,87.8,109.7366,115.25,113.5616,106.7,115.5866,112.775
6.603,,5887000,1050000,1615000,798000,775000,6846000,293000,0,5000,4000,68000,63000,2194000,4649000,6843000,25000000,116.6,113,87.8,109.85,115.3616,113.675,106.8116,115.7,112.8866
6.804,,5887000,1162000,2375000,1169000,775000,6247000,293000,109000,76000,4000,70000,63000,2227000,4336000,6563000,25000000,116.6,113,87.8,109.85,115.3616,113.675,106.8116,115.7,112.8866
7.004,,5887000,1050000,2256000,782000,775000,6247000,293000,0,30000,4000,65000,63000,2231000,5059000,7290000,25000000,116.6,113.45,87.8,109.85,115.3616,113.675,106.8116,115.7,112.8866
7.204,,5475000,1140000,2138000,731000,3291000,6247000,212000,0,30000,4000,65000,63000,2265000,5419000,7684000,25000000,116.6,113.45,87.8,109.85,115.3616,113.675,106.8116,115.7,112.8866
