time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
5.005,,5652000,1162000,1663000,1391000,105000,6555000,0,35000,4000,222000,68000,68000,2386000,4581000,6967000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.7116,126.05,122.5616
5.203,,5652000,1073000,1924000,833000,105000,6555000,0,35000,4000,222000,68000,68000,2394000,4787000,7181000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.7116,126.05,122.5616
5.403,,5682000,1073000,1710000,1310000,105000,6541000,0,35000,4000,222000,68000,68000,2418000,4383000,6801000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.7116,126.05,122.5616
5.604,,5682000,1118000,2826000,2419000,105000,6541000,0,5000,11000,222000,68000,70000,2432000,5205000,7637000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
5.804,,5682000,1118000,2043000,772000,858000,6541000,0,5000,4000,226000,68000,68000,2447000,3842000,6289000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
6.004,,5786000,1118000,1781000,968000,105000,6585000,0,5000,7000,226000,68000,68000,2443000,4285000,6728000,25000000,127.4,123.8,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
6.204,,5786000,1118000,1639000,987000,942000,6585000,0,5000,4000,226000,74000,68000,2436000,4737000,7173000,25000000,127.4,123.8,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
6.404,,5822000,1132000,1900000,1076000,914000,6585000,0,5000,7000,246000,68000,68000,2449000,4856000,7305000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
6.604,,5822000,1118000,1924000,1134000,105000,6676000,0,5000,7000,246000,68000,68000,2460000,6703000,9163000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
6.805,,5822000,1073000,1663000,772000,880000,6676000,0,5000,7000,246000,68000,68000,2486000,4285000,6771000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
7.003,,5838000,1184000,1639000,1014000,880000,6676000,0,5000,7000,241000,68000,68000,2415000,4698000,7113000,25000000,127.4,123.8,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
7.205,,5838000,1207000,1473000,921000,873000,6720000,0,653000,0,241000,88000,68000,2446000,4481000,6927000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
7.403,,5838000,1207000,1853000,856000,3372000,6720000,0,35000,4000,241000,68000,68000,2442000,4664000,7106000,25000000,127.4,124.25,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
7.604,,5652000,1140000,1639000,899000,921000,6720000,0,35000,4000,204000,68000,68000,2433000,4630000,7063000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,126.05,122.5616
7.804,,5652000,1207000,1378000,1263000,880000,6550000,0,35000,4000,204000,68000,68000,2436000,5435000,7871000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,126.05,122.5616
8.004,,5652000,1073000,1781000,1014000,873000,6550000,0,35000,4000,204000,68000,68000,2447000,5082000,7529000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,126.05,122.5616
8.205,,5847000,1386000,1615000,772000,921000,6550000,0,5000,4000,222000,68000,68000,2432000,5602000,8034000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,126.05,122.5616
8.404,,5847000,1664000,1362000,1113000,796000,6720000,0,5000,7000,222000,68000,68000,2498000,4855000,7353000,25000000,127.4,124.25,92.3,119.4116,125.2616,123.125,116.6,126.05,122.5616
8.604,,5847000,1353000,1971000,772000,921000,6720000,0,5000,7000,222000,68000,68000,2495000,4647000,7142000,25000000,127.4,123.8,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
8.803,,5887000,1442000,1354000,1541000,104000,6720000,0,5000,4000,212000,68000,68000,2562000,4475000,7037000,25000000,127.4,123.8,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
9.004,,5887000,1531000,1496000,1884000,105000,6721000,0,5000,7000,212000,68000,68000,2516000,4127000,6643000,25000000,127.4,123.8,92.12,119.4116,125.2616,123.125,116.6,126.05,122.5616
