filepath,filename,room_type,scan_type,trial_number,num_rows,folder
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_5_cleaned.csv,blinds_up_person_5_cleaned.csv,blinds_up,person,5,461,blinds_up
meta_scan_csvs\cleaned\hallway\hallway_1_cleaned.csv,hallway_1_cleaned.csv,hallway,base,1,409,hallway
meta_scan_csvs\cleaned\hallway\hallway_2_cleaned.csv,hallway_2_cleaned.csv,hallway,base,2,407,hallway
meta_scan_csvs\cleaned\hallway\hallway_3_cleaned.csv,hallway_3_cleaned.csv,hallway,base,3,457,hallway
meta_scan_csvs\cleaned\hallway\hallway_4_cleaned.csv,hallway_4_cleaned.csv,hallway,base,4,438,hallway
meta_scan_csvs\cleaned\hallway\hallway_5_cleaned.csv,hallway_5_cleaned.csv,hallway,base,5,1981,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_1_cleaned.csv,hallway_motion_1_cleaned.csv,hallway,motion,1,467,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_2_cleaned.csv,hallway_motion_2_cleaned.csv,hallway,motion,2,482,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_3_cleaned.csv,hallway_motion_3_cleaned.csv,hallway,motion,3,449,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_4_cleaned.csv,hallway_motion_4_cleaned.csv,hallway,motion,4,1981,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_5_cleaned.csv,hallway_motion_5_cleaned.csv,hallway,motion,5,458,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_1_cleaned.csv,hallway_object_1_cleaned.csv,hallway,object,1,2724,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_2_cleaned.csv,hallway_object_2_cleaned.csv,hallway,object,2,1931,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_3_cleaned.csv,hallway_object_3_cleaned.csv,hallway,object,3,1953,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_4_cleaned.csv,hallway_object_4_cleaned.csv,hallway,object,4,457,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_5_cleaned.csv,hallway_object_5_cleaned.csv,hallway,object,5,455,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_1_cleaned.csv,hallway_person_1_cleaned.csv,hallway,person,1,452,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_2_cleaned.csv,hallway_person_2_cleaned.csv,hallway,person,2,1996,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_3_cleaned.csv,hallway_person_3_cleaned.csv,hallway,person,3,495,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_4_cleaned.csv,hallway_person_4_cleaned.csv,hallway,person,4,2129,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_5_cleaned.csv,hallway_person_5_cleaned.csv,hallway,person,5,1974,hallway
meta_scan_csvs\cleaned\kitchen\kitchen_10_cleaned.csv,kitchen_10_cleaned.csv,kitchen,base,10,2190,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_1_cleaned.csv,kitchen_1_cleaned.csv,kitchen,base,1,439,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_2_cleaned.csv,kitchen_2_cleaned.csv,kitchen,base,2,447,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_3_cleaned.csv,kitchen_3_cleaned.csv,kitchen,base,3,485,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_4_cleaned.csv,kitchen_4_cleaned.csv,kitchen,base,4,1874,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_5_cleaned.csv,kitchen_5_cleaned.csv,kitchen,base,5,1923,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_6_cleaned.csv,kitchen_6_cleaned.csv,kitchen,base,6,401,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_7_cleaned.csv,kitchen_7_cleaned.csv,kitchen,base,7,1974,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_8_cleaned.csv,kitchen_8_cleaned.csv,kitchen,base,8,451,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_9_cleaned.csv,kitchen_9_cleaned.csv,kitchen,base,9,2108,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_1_cleaned.csv,kitchen_motion_1_cleaned.csv,kitchen,motion,1,417,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_2_cleaned.csv,kitchen_motion_2_cleaned.csv,kitchen,motion,2,1899,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_3_cleaned.csv,kitchen_motion_3_cleaned.csv,kitchen,motion,3,1937,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_4_cleaned.csv,kitchen_motion_4_cleaned.csv,kitchen,motion,4,443,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_5_cleaned.csv,kitchen_motion_5_cleaned.csv,kitchen,motion,5,497,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_1_cleaned.csv,kitchen_object_1_cleaned.csv,kitchen,object,1,2005,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_2_cleaned.csv,kitchen_object_2_cleaned.csv,kitchen,object,2,426,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_3_cleaned.csv,kitchen_object_3_cleaned.csv,kitchen,object,3,2015,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_4_cleaned.csv,kitchen_object_4_cleaned.csv,kitchen,object,4,1997,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_5_cleaned.csv,kitchen_object_5_cleaned.csv,kitchen,object,5,476,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_1_cleaned.csv,kitchen_person_1_cleaned.csv,kitchen,person,1,2133,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_2_cleaned.csv,kitchen_person_2_cleaned.csv,kitchen,person,2,501,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_3_cleaned.csv,kitchen_person_3_cleaned.csv,kitchen,person,3,1917,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_4_cleaned.csv,kitchen_person_4_cleaned.csv,kitchen,person,4,477,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_5_cleaned.csv,kitchen_person_5_cleaned.csv,kitchen,person,5,412,kitchen
meta_scan_csvs\cleaned\lab\lab_1_cleaned.csv,lab_1_cleaned.csv,lab,base,1,1925,lab
meta_scan_csvs\cleaned\lab\lab_2_cleaned.csv,lab_2_cleaned.csv,lab,base,2,438,lab
meta_scan_csvs\cleaned\lab\lab_3_cleaned.csv,lab_3_cleaned.csv,lab,base,3,474,lab
meta_scan_csvs\cleaned\lab\lab_4_cleaned.csv,lab_4_cleaned.csv,lab,base,4,471,lab
meta_scan_csvs\cleaned\lab\lab_5_cleaned.csv,lab_5_cleaned.csv,lab,base,5,1980,lab
meta_scan_csvs\cleaned\lab\lab_motion_1_cleaned.csv,lab_motion_1_cleaned.csv,lab,motion,1,423,lab
meta_scan_csvs\cleaned\lab\lab_motion_2_cleaned.csv,lab_motion_2_cleaned.csv,lab,motion,2,453,lab
meta_scan_csvs\cleaned\lab\lab_motion_3_cleaned.csv,lab_motion_3_cleaned.csv,lab,motion,3,479,lab
meta_scan_csvs\cleaned\lab\lab_motion_4_cleaned.csv,lab_motion_4_cleaned.csv,lab,motion,4,455,lab
meta_scan_csvs\cleaned\lab\lab_motion_5_cleaned.csv,lab_motion_5_cleaned.csv,lab,motion,5,2028,lab
meta_scan_csvs\cleaned\lab\lab_object_1_cleaned.csv,lab_object_1_cleaned.csv,lab,object,1,2046,lab
meta_scan_csvs\cleaned\lab\lab_object_2_cleaned.csv,lab_object_2_cleaned.csv,lab,object,2,1970,lab
meta_scan_csvs\cleaned\lab\lab_object_3_cleaned.csv,lab_object_3_cleaned.csv,lab,object,3,469,lab
meta_scan_csvs\cleaned\lab\lab_object_4_cleaned.csv,lab_object_4_cleaned.csv,lab,object,4,392,lab
meta_scan_csvs\cleaned\lab\lab_object_5_cleaned.csv,lab_object_5_cleaned.csv,lab,object,5,447,lab
meta_scan_csvs\cleaned\lab\lab_person_1_cleaned.csv,lab_person_1_cleaned.csv,lab,person,1,440,lab
meta_scan_csvs\cleaned\lab\lab_person_2_cleaned.csv,lab_person_2_cleaned.csv,lab,person,2,2179,lab
meta_scan_csvs\cleaned\lab\lab_person_3_cleaned.csv,lab_person_3_cleaned.csv,lab,person,3,434,lab
meta_scan_csvs\cleaned\lab\lab_person_4_cleaned.csv,lab_person_4_cleaned.csv,lab,person,4,378,lab
meta_scan_csvs\cleaned\lab\lab_person_5_cleaned.csv,lab_person_5_cleaned.csv,lab,person,5,471,lab
