time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
5.005,,5179000,1273000,1339000,751000,796000,6072000,18000,35000,11000,215000,48000,68000,2540000,4203000,6743000,25000000,120.2,117.05,97.7,113.225,118.7366,116.4866,111.3116,119.3,116.0366
5.204,,5179000,1320000,1710000,887000,104000,6072000,18000,35000,11000,215000,48000,68000,2575000,4121000,6696000,25000000,120.2,117.05,97.7,113.225,118.85,116.4866,111.3116,119.4116,116.15
5.404,,5179000,1207000,1354000,1076000,105000,6072000,18000,35000,11000,212000,48000,68000,2591000,5149000,7740000,25000000,120.2,117.05,97.7,113.225,118.85,116.4866,111.3116,119.4116,116.15
5.604,,5155000,1296000,1758000,1306000,105000,5997000,18000,14000,11000,212000,48000,68000,2686000,4744000,7430000,25000000,120.2,117.05,97.7,113.225,118.85,116.4866,111.3116,119.4116,116.15
5.804,,5155000,1207000,1924000,696000,105000,5997000,28000,14000,11000,212000,48000,70000,2688000,3908000,6596000,25000000,120.2,117.05,97.7,113.225,118.85,116.4866,111.3116,119.4116,116.15
6.003,,5191000,1487000,1829000,1713000,105000,5997000,28000,14000,11000,210000,48000,68000,2603000,3666000,6269000,25000000,120.2,116.6,97.7,113.225,118.85,116.4866,111.3116,119.4116,116.15
6.204,,5191000,935000,1387000,782000,5342000,5986000,37000,11000,11000,210000,48000,68000,2606000,4508000,7114000,25000000,120.2,117.05,97.7,113.3366,118.9616,116.6,111.425,119.525,116.15
6.404,,5191000,1251000,1686000,1391000,105000,5986000,37000,14000,11000,210000,48000,68000,2620000,4488000,7108000,25000000,120.2,116.6,97.7,113.3366,118.9616,116.6,111.425,119.525,116.15
6.604,,5151000,1162000,1995000,1391000,105000,5991000,37000,16000,11000,240000,48000,68000,2522000,4444000,6966000,25000000,120.2,117.05,97.7,113.3366,118.9616,116.6,111.425,119.525,116.15
6.804,,5151000,1118000,1995000,1471000,105000,5991000,37000,14000,11000,240000,48000,68000,2520000,4531000,7051000,25000000,120.2,117.05,97.7,113.3366,118.9616,116.6,111.425,119.525,116.15
7.004,,5151000,1162000,1853000,1310000,105000,5991000,18000,14000,11000,240000,48000,68000,2522000,4885000,7407000,25000000,120.2,117.05,97.7,113.3366,118.9616,116.6,111.425,119.525,116.15
7.203,,4950000,935000,1362000,691000,105000,5816000,28000,14000,11000,221000,48000,68000,2518000,3451000,5969000,25000000,120.2,117.05,97.7,113.3366,118.9616,116.7116,111.425,119.525,116.2616
7.403,,4950000,1073000,1496000,1552000,2395000,5816000,18000,14000,14000,221000,48000,68000,2567000,7360000,9927000,25000000,120.2,117.05,97.7,113.3366,118.9616,116.7116,111.425,119.525,116.2616
7.603,,4950000,1073000,1401000,1431000,796000,5816000,18000,14000,11000,221000,46000,68000,2542000,7832000,10374000,25000000,120.2,117.5,97.7,113.3366,118.9616,116.7116,111.425,119.525,116.2616
7.803,,4767000,1118000,2043000,1613000,105000,5581000,28000,14000,11000,232000,48000,68000,2548000,4836000,7384000,25000000,120.2,117.5,97.7,113.3366,118.9616,116.7116,111.425,119.525,116.2616
8.004,,4767000,1028000,1900000,1834000,105000,5581000,37000,14000,11000,232000,48000,68000,2527000,5171000,7698000,25000000,120.2,117.05,97.7,113.3366,118.9616,116.7116,111.425,119.525,116.2616
8.204,,4767000,955000,1458000,776000,105000,5581000,37000,14000,14000,219000,49000,68000,2534000,3844000,6378000,25000000,120.2,117.05,97.7,113.3366,119.075,116.7116,111.425,119.6366,116.375
8.404,,4840000,1118000,2043000,2056000,778000,5791000,28000,78000,14000,219000,51000,68000,2553000,7094000,9647000,25000000,120.2,117.05,97.7,113.3366,119.075,116.7116,111.425,119.6366,116.375
8.603,,4840000,1140000,1339000,1512000,880000,5791000,18000,35000,11000,219000,48000,68000,2580000,9580000,12160000,25000000,120.2,117.05,97.7,113.3366,119.075,116.7116,111.425,119.6366,116.375
8.803,,4840000,1162000,1506000,1310000,3342000,5791000,18000,35000,11000,221000,48000,68000,2544000,4540000,7084000,25000000,120.2,117.05,97.7,113.3366,119.075,116.7116,111.425,119.6366,116.375
9.004,,4825000,1140000,1853000,1552000,796000,5566000,18000,35000,14000,221000,48000,68000,2562000,8164000,10726000,25000000,120.2,117.05,97.7,113.3366,119.075,116.7116,111.425,119.6366,116.375
