time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,5487000,1609000,1686000,847000,763000,6398000,28000,14000,11000,110000,51000,68000,2441000,4331000,6772000,25000000,120.2,117.05,96.8,114.4616,118.625,116.4866,111.875,120.0866,117.1616
0.202,,5514000,975000,1267000,1028000,790000,6603000,37000,14000,11000,213000,51000,68000,2429000,8723000,11152000,25000000,120.2,117.05,96.8,114.35,118.7366,116.6,111.875,120.2,117.1616
0.403,,5514000,1068000,1473000,833000,104000,6603000,18000,14000,11000,213000,48000,68000,2414000,3975000,6389000,25000000,120.2,116.6,96.8,114.35,118.7366,116.6,111.875,120.2,117.1616
0.604,,5514000,1531000,1924000,647000,790000,6603000,28000,11000,11000,213000,48000,68000,2453000,9354000,11807000,25000000,120.2,116.6,96.8,114.35,118.7366,116.6,111.875,120.2,117.1616
0.803,,5481000,1028000,1568000,1048000,790000,6625000,18000,14000,11000,225000,51000,68000,2415000,3800000,6215000,25000000,120.2,116.6,96.8,114.35,118.7366,116.6,111.875,120.2,117.1616
1.003,,5481000,970000,1496000,1048000,769000,6625000,28000,16000,11000,225000,46000,68000,2409000,3749000,6158000,25000000,120.2,117.05,96.8,114.35,118.7366,116.6,111.875,120.2,117.1616
1.203,,5447000,928000,1496000,1078000,790000,6625000,28000,14000,11000,225000,48000,68000,2357000,4301000,6658000,25000000,120.2,117.05,96.8,114.35,118.625,116.4866,111.7616,120.0866,117.1616
1.404,,5447000,1036000,1544000,755000,790000,6659000,18000,14000,11000,219000,48000,68000,2413000,3926000,6339000,25000000,120.2,117.05,96.8,114.35,118.625,116.4866,111.7616,120.0866,117.1616
1.604,,5447000,1250000,1686000,1063000,763000,6659000,28000,14000,11000,219000,49000,68000,2337000,4147000,6484000,25000000,120.2,116.6,96.8,114.35,118.625,116.4866,111.7616,120.0866,117.1616
1.803,,5280000,907000,1805000,755000,4921000,6659000,37000,14000,11000,219000,48000,68000,2377000,4495000,6872000,25000000,120.2,116.6,96.8,114.35,118.625,116.4866,111.7616,120.0866,117.1616
2.002,,5280000,1056000,1235000,696000,102000,6652000,28000,14000,11000,250000,48000,68000,2468000,3459000,5927000,25000000,120.2,117.05,96.8,114.35,118.625,116.4866,111.7616,120.0866,117.1616
2.203,,5280000,1032000,1615000,1178000,102000,6652000,18000,35000,4000,250000,48000,68000,2522000,3744000,6266000,25000000,120.2,117.05,96.8,114.35,118.7366,116.6,111.7616,120.0866,117.1616
2.402,,5472000,1056000,1378000,1105000,102000,6652000,37000,11000,11000,250000,48000,68000,2563000,4137000,6700000,25000000,120.2,117.05,96.8,114.35,118.7366,116.6,111.7616,120.0866,117.1616
2.603,,5472000,874000,1196000,856000,102000,6409000,184000,694000,47000,243000,58000,68000,2557000,4784000,7341000,25000000,120.2,117.05,96.8,114.35,118.7366,116.6,111.7616,120.0866,117.1616
2.803,,5472000,1279000,1615000,874000,102000,6409000,18000,35000,11000,243000,46000,68000,2447000,3274000,5721000,25000000,120.2,116.6,96.8,114.35,118.7366,116.6,111.7616,120.0866,117.1616
3.002,,4856000,1138000,1339000,1008000,102000,6409000,18000,35000,11000,243000,49000,68000,2484000,4442000,6926000,25000000,120.2,116.6,96.8,114.35,118.7366,116.6,111.7616,120.0866,117.1616
3.203,,4856000,1114000,1251000,1456000,102000,5948000,18000,35000,11000,218000,46000,68000,2532000,3767000,6299000,25000000,120.2,116.6,96.8,114.35,118.7366,116.6,111.7616,120.0866,117.1616
3.403,,4856000,1073000,1378000,1371000,102000,5948000,18000,35000,11000,218000,46000,68000,2500000,4012000,6512000,25000000,120.2,116.6,96.8,114.35,118.7366,116.4866,111.65,120.0866,117.1616
3.603,,4984000,874000,1306000,1391000,104000,6072000,18000,78000,11000,218000,49000,68000,2474000,5932000,8406000,25000000,120.2,116.6,96.8,114.35,118.7366,116.4866,111.65,120.0866,117.1616
3.803,,4984000,880000,1259000,1927000,102000,6072000,28000,35000,7000,217000,48000,68000,2426000,4197000,6623000,25000000,120.2,116.6,96.8,114.35,118.7366,116.4866,111.65,120.0866,117.1616
4.002,,4984000,874000,1267000,1310000,104000,6072000,18000,35000,11000,217000,51000,68000,2495000,5043000,7538000,25000000,120.2,116.6,96.8,114.35,118.7366,116.4866,111.65,120.0866,117.1616
4.202,,4663000,956000,1615000,1512000,102000,5754000,18000,35000,11000,217000,48000,68000,2442000,4062000,6504000,25000000,120.2,116.6,96.8,114.35,118.7366,116.4866,111.65,120.0866,117.1616
4.403,,4663000,874000,1900000,1220000,2376000,5754000,37000,14000,11000,210000,51000,68000,2452000,7591000,10043000,25000000,120.2,116.6,96.8,114.35,118.7366,116.6,111.65,120.0866,117.1616
4.602,,4663000,833000,1520000,2137000,644000,5754000,37000,14000,11000,210000,51000,68000,2489000,10504000,12993000,25000000,120.2,116.6,96.8,114.35,118.7366,116.6,111.65,120.0866,117.1616
4.803,,4871000,792000,1473000,1785000,561000,5964000,18000,14000,11000,210000,49000,68000,2528000,7229000,9757000,25000000,120.2,117.05,96.8,114.35,118.7366,116.6,111.65,120.0866,117.1616
5.003,,4871000,839000,1544000,1552000,478000,5964000,18000,14000,11000,258000,51000,68000,2457000,6889000,9346000,25000000,120.2,116.6,96.8,114.35,118.7366,116.6,111.65,120.0866,117.1616
5.203,,4871000,751000,1710000,1209000,104000,5964000,28000,14000,11000,258000,51000,68000,2544000,4247000,6791000,25000000,120.2,116.6,96.8,114.35,118.7366,116.6,111.65,120.0866,117.1616
5.403,,4773000,853000,1663000,1068000,790000,6108000,28000,14000,11000,229000,51000,68000,2461000,9765000,12226000,25000000,120.2,116.6,96.8,114.2366,118.7366,116.4866,111.65,120.0866,117.1616
