Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Vertices,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.99,22.298643112182617,23.851781845092773,6.062714099884033,0.8430084586143494,17.028091430664062,104683143168.0,1624412416.0,-1.0,1690672256.0,10906296.0,0.2241488695144653,105.0,2.0,6330.0,1.0,22.868934631347656,3178.0,1920.0,3.0,52.0,51.0,51.0,39.0,32.0,46.0,90.0,545.0,2.0,23.51211905479431,0.6756476759910583,2736.0,5.0,1.0,2.295909881591797
1.0,22.298643112182617,23.851781845092773,6.062714099884033,0.8430084586143494,17.028091430664062,104683143168.0,1624412416.0,-1.0,1690672256.0,10906296.0,1.1759278774261477,999.0,405.0,12091.0,7.0,17.486522674560547,3178.0,1920.0,3.0,56.0,54.0,59.0,43.0,42.0,32.0,90.0,545.0,2.0,23.70237410068512,0.6756476759910583,2736.0,5.0,76.0,2.299856185913086
1.09,22.458385467529297,22.817228317260746,6.238483905792236,0.8935624957084656,27.178285598754883,97095024640.0,1683098240.0,-1.0,1718795392.0,11503649.0,1.1759278774261477,999.0,405.0,12091.0,7.0,17.486522674560547,3178.0,1920.0,3.0,56.0,54.0,59.0,43.0,42.0,32.0,90.0,545.0,2.0,23.70237410068512,0.6756476759910583,2736.0,5.0,76.0,2.299856185913086
1.19,23.286842346191406,22.127729415893555,6.251882076263428,1.0789992809295654,0.8110388517379761,97694195712.0,1698021376.0,-1.0,1720432256.0,11552865.0,1.1759278774261477,999.0,405.0,12091.0,7.0,17.486522674560547,3178.0,1920.0,3.0,56.0,54.0,59.0,43.0,42.0,32.0,90.0,545.0,2.0,23.70237410068512,0.6756476759910583,2736.0,5.0,76.0,2.299856185913086
1.29,22.78033828735352,22.87154769897461,6.347508907318115,1.0116757154464722,3.6588613986968994,96733036544.0,1673804800.0,-1.0,1719996672.0,11464063.0,1.1759278774261477,999.0,405.0,12091.0,7.0,17.486522674560547,3178.0,1920.0,3.0,56.0,54.0,59.0,43.0,42.0,32.0,90.0,545.0,2.0,23.70237410068512,0.6756476759910583,2736.0,5.0,76.0,2.299856185913086
1.39,21.51958465576172,22.47574806213379,6.49433183670044,1.0188132524490356,11.481244087219238,97223024640.0,1686468224.0,-1.0,1742547584.0,11709412.0,1.1759278774261477,999.0,405.0,12091.0,7.0,17.486522674560547,3178.0,1920.0,3.0,56.0,54.0,59.0,43.0,42.0,32.0,90.0,545.0,2.0,23.70237410068512,0.6756476759910583,2736.0,5.0,76.0,2.299856185913086
1.49,22.552467346191406,22.487091064453125,6.3103108406066895,0.9608832001686096,21.046369552612305,97154965504.0,1685298816.0,-1.0,1720408320.0,11509395.0,1.1759278774261477,999.0,405.0,12091.0,7.0,17.486522674560547,3178.0,1920.0,3.0,56.0,54.0,59.0,43.0,42.0,32.0,90.0,545.0,2.0,23.70237410068512,0.6756476759910583,2736.0,5.0,76.0,2.299856185913086
1.54,22.552467346191406,22.487091064453125,6.3103108406066895,0.9608832001686096,21.046369552612305,97154965504.0,1685298816.0,-1.0,1720408320.0,11509395.0,1.1759278774261477,270.0,48.0,7872.0,1.0,22.868934631347656,3178.0,1920.0,3.0,56.0,54.0,59.0,43.0,42.0,32.0,90.0,545.0,2.0,23.70237410068512,0.6756476759910583,2736.0,5.0,1.0,2.299856185913086
1.59,23.02040672302246,23.10323905944824,6.365244388580322,0.9650570750236512,0.6706383228302002,96727048192.0,1656024576.0,-1.0,1722246784.0,11474491.0,1.1759278774261477,270.0,48.0,7872.0,1.0,22.868934631347656,3178.0,1920.0,3.0,56.0,54.0,59.0,43.0,42.0,32.0,90.0,545.0,2.0,23.70237410068512,0.6756476759910583,2736.0,5.0,1.0,2.299856185913086
1.69,23.379070281982425,23.06269645690918,6.630802631378174,1.012934923171997,0.6675021052360535,96102006784.0,1624867968.0,-1.0,1741231872.0,11610306.0,1.1759278774261477,270.0,48.0,7872.0,1.0,22.868934631347656,3178.0,1920.0,3.0,56.0,54.0,59.0,43.0,42.0,32.0,90.0,545.0,2.0,23.70237410068512,0.6756476759910583,2736.0,5.0,1.0,2.299856185913086
