Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.26,57.67770767211914,42.32229232788086,0.38275957107543945,1.0089138448238373,52.735801696777344,0.0565451229922473,26.458744049072266,0.9762141406536101,-1.0,-1.0,314.9988555908203,1.0339595675468445,0.40764279663562775,5.115904092788696,0.18246795449938094,545003232.0,3.216713547706604,6.027235507965088,102909992960.0,-1.0,11701550080.0,-1.0,3213615232.0,28.792272567749023,545000000.0,0.28090962022542953,22591731.0,92.99922398158482,1670322688.0,44468494.0,2533299.5,1402128032.0,-1.0,-1.0,-1.0,122009348.0,23348361.5,2316107456.0,1.492814302444458,986.0,460.0,12211.0,7.0,17.780900955200195,3054.0,1920.0,3.0,41.0,44.0,46.0,24.0,62.0,23.0,90.0,545.0,2.0,24.70979541540146,0.5632402896881104,2736.0,1.0,74.0,2.21799898147583
0.26,57.67770767211914,42.32229232788086,0.38275957107543945,1.0089138448238373,52.735801696777344,0.0565451229922473,26.458744049072266,0.9762141406536101,-1.0,-1.0,314.9988555908203,1.0339595675468445,0.40764279663562775,5.115904092788696,0.18246795449938094,545003232.0,3.216713547706604,6.027235507965088,102909992960.0,-1.0,11701550080.0,-1.0,3213615232.0,28.792272567749023,545000000.0,0.28090962022542953,22591731.0,92.99922398158482,1670322688.0,44468494.0,2533299.5,1402128032.0,-1.0,-1.0,-1.0,122009348.0,23348361.5,2316107456.0,1.492814302444458,986.0,460.0,12211.0,7.0,17.780900955200195,3054.0,1920.0,3.0,41.0,44.0,46.0,24.0,62.0,23.0,90.0,545.0,2.0,24.70979541540146,0.5632402896881104,2736.0,1.0,74.0,2.21799898147583
0.27,20.842849731445312,12.490482966105143,0.38275957107543945,0.5329967339833578,18.49029032389323,0.11526099716623622,7.79756228129069,0.22145998974641165,-1.0,-1.0,104.45456441243489,0.34398863712946576,0.13562231262524924,1.3358264366785686,0.18246795449938094,544998730.6666666,1.0245074033737183,1.996123472849528,47387736746.666664,-1.0,5073291946.666667,-1.0,1443422634.6666667,75.97239398956299,545000000.0,0.10747356712818146,10536908.333333334,92.99922398158482,764615027.546875,20744735.064453125,2217561.25,636545130.6666666,-1.0,-1.0,-1.0,56073562.0,10882093.0,996142786.515625,1.492814302444458,986.0,460.0,12211.0,7.0,17.780900955200195,3054.0,1920.0,3.0,41.0,44.0,46.0,24.0,62.0,23.0,90.0,545.0,2.0,24.70979541540146,0.5632402896881104,2736.0,1.0,74.0,2.21799898147583
0.28,23.014838082449778,20.196312495640345,0.38275957107543945,0.45241437160543035,38.594220297677175,0.07238168056522096,11.480349949428014,0.47450687629835947,-1.0,-1.0,132.0025591169085,0.5577824882098606,0.19961438008717128,2.858738218035017,0.18246795449938094,544930176.0,1.4941331659044539,2.551495671272278,40420753305.14286,-1.0,4956563017.142858,-1.0,1242196175.4285715,53.457351309912546,545000000.0,0.12155034925256454,12694439.285714285,92.99922398158482,759800091.4285715,24067002.714285713,1670906.4642857143,596128438.8571428,-1.0,-1.0,-1.0,61903773.14285714,13016957.357142856,908052802.625,1.492814302444458,986.0,460.0,12211.0,7.0,17.780900955200195,3054.0,1920.0,3.0,41.0,44.0,46.0,24.0,62.0,23.0,90.0,545.0,2.0,24.70979541540146,0.5632402896881104,2736.0,1.0,74.0,2.21799898147583
0.29,24.18819567135402,33.16916275024414,0.38275957107543945,0.940394926816225,21.6750957518816,0.13141949247801674,14.585731983184814,0.4808332291431725,-1.0,-1.0,233.28723907470703,0.7273161262273788,0.183293344186885,7.573163986206055,0.19977196625300817,545023680.0,1.382456919710551,3.322828769683838,51476112640.0,-1.0,3990998554.0,-1.0,1624616224.0,50.570937514305115,545000000.0,0.14945600967621428,11130797.75,101.82342529296875,591521963.4285715,21709933.328125,1510012.5,471343734.85714287,-1.0,-1.0,-1.0,51878000.0,11685484.5,813225934.6272322,1.492814302444458,986.0,460.0,12211.0,7.0,17.780900955200195,3054.0,1920.0,3.0,41.0,44.0,46.0,24.0,62.0,23.0,90.0,545.0,2.0,24.70979541540146,0.5632402896881104,2736.0,1.0,74.0,2.21799898147583
0.3,26.518128837857926,30.513603482927596,0.18127159667866571,0.7732019424438477,8.394579827785492,0.003558223523820417,11.518573443094889,0.28886471192042035,-1.0,-1.0,242.97867329915366,0.6172475516796112,0.17117658842887198,7.7906311580113,0.1094956908907209,544888437.3333334,1.319898166560701,3.6605886050633023,39873826816.0,-1.0,5487381226.714286,-1.0,1260996298.6666667,61.496974070866905,545000000.0,0.09804507407049336,4639099.958333333,45.69905308314732,807888507.4285715,8210267.5,1935637.5714285714,668784389.1428572,-1.0,-1.0,-1.0,60456970.28571428,4684262.5,1214473647.122768,1.492814302444458,986.0,460.0,12211.0,7.0,17.780900955200195,3054.0,1920.0,3.0,41.0,44.0,46.0,24.0,62.0,23.0,90.0,545.0,2.0,24.70979541540146,0.5632402896881104,2736.0,1.0,74.0,2.21799898147583
0.31,30.052207946777344,32.10182237625122,0.7855615019798279,0.5696735233068466,21.193295001983643,0.07328213297296314,12.57631778717041,0.49796967674046755,-1.0,-1.0,38515.90173339844,1.452107910066843,0.19303977116942403,3.834630846977234,0.0896713478224618,544981336.0,1.5185906291007996,3.721988081932068,50781353184.0,-1.0,5664569984.0,-1.0,1717508752.0,52.33440440893173,545000000.0,0.16042271442711353,11110997.919586182,52.66825212751116,835411283.0,21877365.40576172,1960525.833984375,696309032.0,-1.0,-1.0,-1.0,60154794.92675781,11488724.794189453,1132655629.4296875,1.492814302444458,986.0,460.0,12211.0,7.0,17.780900955200195,3054.0,1920.0,3.0,41.0,44.0,46.0,24.0,62.0,23.0,90.0,545.0,2.0,24.70979541540146,0.5632402896881104,2736.0,1.0,74.0,2.21799898147583
0.32,38.360804875691734,44.9329636891683,0.5960268576939901,0.70745121439298,27.850173314412434,0.07917771267239003,17.742254892985027,0.6585702986146013,-1.0,-1.0,51362.242975870766,1.880655862390995,0.27385813991228736,3.260479211807251,0.0896713478224618,545002080.0,2.145814299583435,3.5531551043192544,63508575701.333336,-1.0,7040257066.666667,-1.0,2164231402.6666665,37.338783740997314,545000000.0,0.20912284652392066,14188453.567057291,52.66825212751116,1046999706.6666666,28095862.864908855,2660429.2890625,871324768.0,-1.0,-1.0,-1.0,77740341.47916667,14751207.729166666,1379125702.6640625,1.492814302444458,986.0,460.0,12211.0,7.0,17.780900955200195,3054.0,1920.0,3.0,41.0,44.0,46.0,24.0,62.0,23.0,90.0,545.0,2.0,24.70979541540146,0.5632402896881104,2736.0,1.0,74.0,2.21799898147583
0.33,34.0782356262207,23.082768031529017,0.3274566446031843,0.9869596551039389,38.265501839774,0.02149153540709186,14.247608729771205,0.6476992099945035,-1.0,-1.0,211.1740003313337,0.6106414113725934,0.2339351006916591,5.947962556566511,14.230094560555047,544909321.1428572,1.7964341640472412,4.008548719542367,55552270921.14286,-1.0,6228810020.571428,-1.0,1724674176.0,42.97275175367083,545000000.0,0.1697607977049691,14465292.32142857,190.94022478376115,963147056.0,25720632.67857143,2357253.6875,753919241.1428572,-1.0,-1.0,-1.0,75750331.42857143,14214930.80357143,1273003850.109375,1.492814302444458,986.0,460.0,12211.0,7.0,17.780900955200195,3054.0,1920.0,3.0,41.0,44.0,46.0,24.0,62.0,23.0,90.0,545.0,2.0,24.70979541540146,0.5632402896881104,2736.0,1.0,74.0,2.21799898147583
0.34,25.353947230747767,17.50319562639509,0.3274566446031843,0.5192514913422721,23.00360652378627,0.032029092577951286,10.777450561523438,0.4006102127688272,-1.0,-1.0,134.6435067313058,0.44276303904397146,0.17549313391957963,2.2039139611380443,14.230094560555047,544981595.4285715,1.359562703541347,2.5763725553240096,51427624082.28571,-1.0,5801984146.285714,-1.0,1601125412.5714285,69.13119888305664,545000000.0,0.12640317210129326,11353563.714285715,190.94022478376115,837476681.1428572,22352646.85714286,2080984.5357142857,702772553.1428572,-1.0,-1.0,-1.0,60936648.0,11728546.57142857,1148618187.486607,1.492814302444458,986.0,460.0,12211.0,7.0,17.780900955200195,3054.0,1920.0,3.0,41.0,44.0,46.0,24.0,62.0,23.0,90.0,545.0,2.0,24.70979541540146,0.5632402896881104,2736.0,1.0,74.0,2.21799898147583
