Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,14.09716510772705,11.782878875732422,1.1940198625837053,0.6071375608444213,13.357026100158691,17.230924606323242,20.095104217529297,0.0756424143910408,7.270061016082763,6.255293369293213,18.1693172454834,5.734119892120361,0.1370333582162857,12.704232215881348,35.5458984375,59.45965194702149,0.2759292125701904,0.1300555318593979,1.4717578887939453,0.1116804565702166,545089520.0,0.864162802696228,-1.0,20209997824.0,34074206208.0,2533609216.0,39780708352.0,600806272.0,81.34496402740479,545000000.0,0.0743516907095909,5526375.0,43.216378348214285,399798912.0,11791891.0,481849.5,332423776.0,0.2745647430419922,0.17712721228599548,-1.0,35908264.0,6099553.5,319165809.08203125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.01,25.368532998221262,16.662395477294922,1.1940198625837053,14.043985606304236,28.847120012555802,34.56627089636667,35.330141408102854,0.3844415719088699,11.341004780360631,11.069790431431361,35.83835996900286,10.114031810845647,0.7013608037627169,25.95321546282087,68.97160230364118,218.643798828125,0.6611316879945142,0.14879745244979858,2.4413499193532124,0.1116804565702166,544958336.0,1.5107237441199166,-1.0,42396758372.57143,73570699556.57143,4787631943.428572,83969739840.0,1462167933.5714285,43.18628190244947,545000000.0,0.1061417864901679,11029472.705357144,43.216378348214285,735272459.4285715,18344129.81808036,1496444.7433035714,566671094.8571428,0.43372746876307894,0.20911556482315063,-1.0,57316438.55691964,10405593.59263393,1068854246.4330357,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.02,25.1220338003976,17.735109056745255,1.1940198625837053,0.7027777348245893,21.391671861921036,29.80480739048549,32.67939322335379,0.04980585378195556,11.072810309273857,10.320884159633092,30.911901201520646,9.184847967965263,0.3707019644124167,20.80952944074358,62.283765520368306,134.05421229771204,0.4426150321960449,0.169016033411026,2.365917614528111,0.061337675367082865,544993938.2857143,1.3109723159245081,-1.0,52223346980.57143,90188178578.28572,6062937088.0,103380374089.14285,1747235108.5714285,68.67712511335101,545000000.0,0.11351326320852552,11428692.285714285,49.27524239676338,883017051.4285715,22509618.85714286,1154730.5,736717238.8571428,0.44793406554630827,0.30996023757117136,-1.0,65829570.28571428,11808409.42857143,1185055453.328125,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.03,17.827289036342076,10.662313461303711,0.4547760146004813,1.0219885621752058,16.069885798863,22.47032138279506,28.102666309901647,0.07032851874828337,7.744158608572824,6.36127199445452,23.1651702608381,6.528693812234061,0.16367640239851813,13.758048466273717,74.62308829171317,135.2918221609933,0.41976308822631836,0.10675787074225289,3.996455260685512,0.061337675367082865,544996379.4285715,0.8207712514059884,-1.0,39526724169.14286,68542714441.14286,4430924068.571428,78229003117.71428,1333611154.2857144,66.64543690000262,545000000.0,0.07766039882387434,8703922.642857144,49.27524239676338,673062273.1428572,17149667.714285713,1051027.9285714286,558040868.5714285,0.29895409515925814,0.47396916151046753,-1.0,52749392.0,8988248.92857143,863141410.3883928,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.04,7.573746272495815,6.711968013218471,0.4547760146004813,0.1359367285455976,7.0316363743373325,10.058726719447545,11.329767499651227,0.010590652269976472,4.20299448285784,4.095408030918667,10.435528346470424,3.253573553902762,0.15815068994249618,7.0193955557686945,20.503895350864955,44.78377423967634,0.14783832005092074,0.05865186878613062,0.6901822771344867,0.061337675367082865,545012214.8571428,0.47649669647216797,-1.0,14285358226.285715,24421203968.0,1798621769.142857,28294582857.142857,468887844.5714286,89.95034054347447,545000000.0,0.034601475511278415,3023631.4285714286,49.27524239676338,233237321.14285713,5949077.714285715,309043.0,198685677.7142857,0.14859025818961008,0.11998456716537476,-1.0,15117353.142857144,3129060.285714286,361576109.31696427,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.05,33.46781267438616,23.65846851893834,0.4388206345694406,14.69725865232093,36.875779833112446,44.404997621263774,48.11786726542881,0.2828152486638698,15.30243192400251,13.846830095563616,46.554815428597585,13.729267275759153,0.594687618581312,33.52088219778879,121.78735787527901,243.49249485560827,0.8916947756494794,0.22533378430775233,9.746706149407796,0.12585195473262242,544964251.4285715,2.0117350476128713,-1.0,55051813686.85714,94937077467.42857,6368266216.857142,108888618121.14285,1842105341.142857,31.19074215207781,545000000.0,0.15193390420504976,14744263.851004465,49.67144339425223,987895744.0,25755737.75111607,1971656.1607142857,773400457.1428572,0.5965860230582101,0.625393773828234,-1.0,81014079.13058035,14349280.88392857,1282034382.0848215,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.06,29.243062337239582,21.53215789794922,0.4303651750087738,0.8431669871012369,25.165554682413738,34.48449579874674,36.74757194519043,0.12841024373968443,12.464351654052734,11.913585980733236,35.96058909098307,10.833372433980307,0.3759344220161438,24.679416020711262,72.34320576985677,147.26448567708334,0.5183528661727905,0.21968777477741241,2.754157304763794,0.07158695658047994,545000864.0,1.5922300418217976,-1.0,50553529685.333336,87038124032.0,5903211776.0,99975805610.66667,1668636181.3333333,62.64689668019613,545000000.0,0.136371577779452,11712892.666666666,59.29879252115885,872167765.3333334,23360747.0,1175236.3541666667,725687114.6666666,0.534683088461558,0.3528750240802765,-1.0,67898570.66666667,12251141.333333334,1094322186.4192708,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.07,4.7041371663411455,13.701990763346354,0.4303651750087738,0.30336908499399823,10.500879287719727,10.061045328776041,8.960941314697267,0.1250023047129313,3.004685084025065,5.853112538655599,10.989527384440104,4.336381276448567,0.1755710641543071,10.606611887613933,20.832022349039715,8.695241292317709,0.1880189577738444,0.16970314582188925,0.6418499151865641,0.07158695658047994,544961568.0,0.9468797842661539,-1.0,3209544021.3333335,4897688917.333333,505138986.6666667,6163526997.333333,59762133.333333336,85.24151770273845,545000000.0,0.048553879062334694,3232525.0,59.29879252115885,83430613.33333333,6991551.333333333,101189.34375,65512869.333333336,0.2136696974436442,0.06937132279078165,-1.0,14043634.666666666,3646656.0,665310.1106770834,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.08,17.08414568219866,11.326922280447823,0.2606726906129292,0.4271607058388846,13.156033652169365,20.142941066196986,23.249237060546875,0.020029641421777857,7.925957815987723,6.927279608590262,20.76184844970703,6.042925425938198,0.20031302315848215,13.721453530447823,43.23978751046317,105.06023733956474,0.2843201160430908,0.10651172058922904,1.68330294745309,0.07158695658047994,545001179.4285715,0.848055328641619,-1.0,40625507766.85714,70630644589.71428,4608042715.428572,80548872192.0,1393212525.7142856,80.09374618530273,545000000.0,0.07443105748721532,7130918.857142857,59.29879252115885,664563373.9972098,13609963.714285715,806183.5714285715,558149796.5714285,0.29587459564208984,0.23267169509615218,-1.0,44643258.28571428,7156773.428571428,962494685.96875,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
0.09,25.468333653041295,17.17660903930664,0.5650878633771624,0.9739068916865757,23.43372072492327,32.42130824497768,38.634609767368865,0.111963007066931,12.944856371198382,8.653009414672852,33.39044175829206,9.64756464958191,0.33652176707983017,20.521068028041295,91.31647055489677,187.0792977469308,0.5291200535637992,0.15892327683312552,3.78799421446664,0.07158695658047994,545009197.7142857,1.2706408160073417,-1.0,47138673225.14286,81460392521.14285,5455935414.857142,93324806436.57143,1587470921.142857,57.757912567683626,545000000.0,0.11284729838371277,10563323.07142857,59.29879252115885,1192285660.5714285,20754834.0,1161361.5,1046623912.0,0.4453731690134321,0.5440540569169181,-1.0,59452041.71428572,10895996.82142857,1105449893.127232,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,2769.0,1920.0,3.0,57.0,55.0,58.0,28.0,51.0,52.0,72.0,545.0,2.0,20.305027067661285,3196.0,1.0,48.0,2.217665195465088
