Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,12.824442863464355,13.310795783996582,0.41786812032972065,0.5752174258232117,11.539697647094727,17.73235321044922,19.871768951416016,0.2869161665439606,7.177080154418945,6.654343128204346,18.99117088317871,5.90533971786499,22.88494110107422,2.115058183670044,0.21077972650527954,16.04853630065918,38.44654846191406,42.51014709472656,0.2890762388706207,0.14869621396064758,1.7223107814788818,0.13112587588174002,545255680.0,1.0336259603500366,1.566643238067627,15988622336.0,21198725120.0,1712432128.0,28300417024.0,334520128.0,80.39922857284546,545000000.0,0.07515481859445572,3795859.5,47.776646205357146,262462240.0,8462657.0,749446.0,211151200.0,0.2767941355705261,0.19909586012363434,702498944.0,30238064.0,4389171.0,149662435.83007812,7.90867280960083,300.0,46.0,7825.0,1.0,26.293428421020508,3270.0,7291374870.0,2361.0,3.0,47.0,47.0,47.0,50.0,46.0,33.0,90.0,545.0,2.0,31.03756606578827,1.081253170967102,3196.0,22.0,2.52962589263916
0.01,25.630579812186106,16.926612309047155,0.41786812032972065,0.9054675613130841,10.248630110706602,32.346584865025115,34.08429064069475,0.12661665571587427,9.764013290405273,11.038337979997907,33.36463928222656,9.135526929582868,41.412811279296875,1.4443313223975045,0.25412469250815256,27.437764848981583,85.5202157156808,179.51371547154017,0.3717454160962786,0.15479849491800582,3.5046839714050293,0.13112587588174002,544841152.0,1.47203642981393,3.8113837923322404,68465802093.71429,86804482340.57143,5890550930.285714,117758597997.71428,1546320384.0,67.7203984941755,545000000.0,0.11128480306693486,6807219.714285715,47.776646205357146,712882102.8571428,12851909.392857144,1450234.4107142857,598599259.4285715,0.4441093461854117,0.5139153684888568,1211037065.142857,45994196.85714286,6747539.25,1150333377.9910715,7.90867280960083,300.0,46.0,7825.0,1.0,26.293428421020508,3270.0,7291374870.0,2361.0,3.0,47.0,47.0,47.0,50.0,46.0,33.0,90.0,545.0,2.0,31.03756606578827,1.081253170967102,3196.0,22.0,2.52962589263916
0.02,35.56923566545759,20.679007393973215,1.7868259293692452,1.0019363079752241,15.720056329454694,43.097356523786274,40.14786311558315,0.011318236323339573,11.418515477861677,15.004612241472516,43.89820098876953,11.561866896493095,55.17473929268973,1.9681176458086287,0.29009596684149336,37.12346431187221,71.5144282749721,240.76241629464286,0.4599864546741758,0.2114296214921134,2.888383252280099,0.18245117579187667,544948763.4285715,1.926027808870588,2.996443612234933,77641868434.28572,99046204854.85715,6884500278.857142,134049473097.14285,1739057280.0,56.318940026419504,545000000.0,0.15237784385681152,9052268.67857143,99.48531668526786,867535467.4285715,17875319.640625,1945027.8794642857,722710084.5714285,0.5808770145688739,0.40094722168786184,1626675675.4285715,63233624.0,9355397.84375,1234679050.388393,7.90867280960083,300.0,46.0,7825.0,1.0,26.293428421020508,3270.0,7291374870.0,2361.0,3.0,47.0,47.0,47.0,50.0,46.0,33.0,90.0,545.0,2.0,31.03756606578827,1.081253170967102,3196.0,22.0,2.52962589263916
0.03,35.82562582833426,18.404666355678014,4.247568130493164,0.8927102088928223,15.644178662981306,42.64554486955915,39.34429822649275,0.06681896849269311,10.112860066550118,12.357050691332136,42.50205448695591,10.636542660849434,55.212681361607146,1.9301762580871582,0.3168729527720383,37.55144282749721,71.35326494489398,254.5309099469866,0.450898396649531,0.18043931413974082,2.9139885902404785,0.16019455449921743,544932233.1428572,1.6939929553440638,2.989424705505371,78442436754.28572,99968559689.14285,6958266633.142858,135384985014.85715,1754450464.0,57.802550997052876,545000000.0,0.15089653858116694,9084928.691964285,148.67327444893974,877092822.8571428,17927256.7671596,1777622.0,728632693.8571428,0.5645467894417899,0.39991050958633423,1631600091.4285715,64021422.85714286,9386041.910016742,1252156761.8035715,7.90867280960083,300.0,46.0,7825.0,1.0,26.293428421020508,3270.0,7291374870.0,2361.0,3.0,47.0,47.0,47.0,50.0,46.0,33.0,90.0,545.0,2.0,31.03756606578827,1.081253170967102,3196.0,22.0,2.52962589263916
0.04,25.00076130458287,17.85638209751674,4.247568130493164,11.085042629923139,27.777650560651505,32.44999040876116,36.99250527790615,0.04991860009197675,10.535716738019671,11.087103979928154,33.67038835797991,9.396300452096122,40.97046661376953,1.8866759027753557,0.3292360667671476,27.498089926583425,71.54315403529576,134.27599225725447,2.380208100591387,0.16950386336871556,2.886275087084089,0.08966671569006783,544983387.4285715,1.5036844185420446,2.9976384980337962,81692086857.14285,104111332205.71428,7245357933.714286,140993108845.7143,1827451501.7142856,55.8583801814488,545000000.0,0.1145535090139934,9467231.230050223,49.46541486467634,909125108.8571428,18671876.06919643,1875213.107142857,759202669.7142857,0.4498908690043858,0.40112939902714323,1699715364.5714285,65859741.71428572,9768411.857142856,1299328597.3638394,7.90867280960083,300.0,46.0,7825.0,1.0,26.293428421020508,3270.0,7291374870.0,2361.0,3.0,47.0,47.0,47.0,50.0,46.0,33.0,90.0,545.0,2.0,31.03756606578827,1.081253170967102,3196.0,22.0,2.52962589263916
0.05,25.00161361694336,17.855528695242747,4.247568130493164,0.8833276373999459,15.533471243722099,32.57069941929409,32.97716195242746,0.03161199670284986,9.209372929164342,11.301514216831752,33.79821341378348,9.431966509137835,40.94576917375837,1.9113732746669225,0.3020142444542476,27.498844691685267,71.39313180106026,134.2403520856585,0.4422952447618757,0.1694379108292716,3.1353045191083635,0.18305967961038863,544934774.8571428,1.5037198066711426,2.9911348479134694,78752167643.42857,100300657225.14285,6990512566.857142,135893015405.71428,1759738477.7142856,67.07797922406878,545000000.0,0.1151139906474522,9109081.57142857,101.08761596679688,879088640.0,17971358.285714287,1910155.0714285714,732174665.1428572,0.4499116965702602,0.40016147068568636,1634890166.857143,64797828.571428575,9404125.857142856,1258223342.279018,7.90867280960083,300.0,46.0,7825.0,1.0,26.293428421020508,3270.0,7291374870.0,2361.0,3.0,47.0,47.0,47.0,50.0,46.0,33.0,90.0,545.0,2.0,31.03756606578827,1.081253170967102,3196.0,22.0,2.52962589263916
0.06,25.134438105991908,17.71972710745675,0.2442352260862078,11.154062492506844,23.19086425272482,32.479425702776226,32.06816359502928,0.02716334403625554,9.760380608694893,9.639486585344587,33.67789568219866,9.344631740025111,41.0181644984654,1.8389791761125838,0.2970602054681097,27.26611328125,82.91935511997768,167.22483825683594,1.2040426220212663,0.16555393593651907,4.241677284240723,0.2593937260763986,545050176.0,1.4816374438149589,3.6387459209987094,78838347483.42857,100454187008.0,7003007561.142858,136068445915.42857,1769194496.0,54.28286031314305,545000000.0,0.11580891268593922,9227757.134556362,149.20652988978796,1339895809.7142856,18238355.68973214,1802919.232142857,1175175661.7142856,0.4500831365585327,0.5728184836251395,1656874294.857143,63971441.14285714,9551055.933314731,1284954128.3169644,7.90867280960083,300.0,46.0,7825.0,1.0,26.293428421020508,3270.0,7291374870.0,2361.0,3.0,47.0,47.0,47.0,50.0,46.0,33.0,90.0,545.0,2.0,31.03756606578827,1.081253170967102,3196.0,22.0,2.52962589263916
0.07,24.13946533203125,18.91640145438058,0.060951505388532355,0.8320302622658866,16.492378779820033,32.08527701241629,35.474220275878906,0.05749333649873732,10.255076272147042,10.8546815599714,33.570123944963726,9.623943328857422,40.62419564383371,2.2329470089503696,0.33959587131227764,27.248476845877512,70.28213718959263,119.1635001046317,0.4583067553383963,0.1767695120402745,2.9004932131086076,0.2593937260763986,545039780.5714285,1.5227267060961043,2.9151956694466725,64323933915.42857,83122623049.14285,5798561060.571428,111683808694.85715,1447698742.857143,66.95668111528668,545000000.0,0.11699806366647993,8635727.857142856,149.20652988978796,746211181.7142857,17553426.85714286,1627014.2142857143,618039698.2857143,0.4526524714061192,0.37622049876621794,1581602450.2857144,61910621.71428572,9187659.714285715,923008449.7700893,7.90867280960083,300.0,46.0,7825.0,1.0,26.293428421020508,3270.0,7291374870.0,2361.0,3.0,47.0,47.0,47.0,50.0,46.0,33.0,90.0,545.0,2.0,31.03756606578827,1.081253170967102,3196.0,22.0,2.52962589263916
0.08,25.482374463762557,17.297777448381698,0.6199420520237514,1.111803753035409,11.299485823937825,32.61704363141741,32.775782993861604,0.15802614893099026,9.46588134765625,11.357151303972516,33.62263052804129,9.268421173095703,41.28504180908203,1.5721015078680856,0.19815058367592947,27.512184143066406,82.49115426199776,176.69559151785714,0.36225766369274687,0.17152776888438634,3.3325533185686385,0.18938879881586348,544925001.1428572,1.497046675000872,3.6214955874851773,68074474934.85714,87356928585.14285,6097705618.285714,117850643309.71428,1527498386.2857144,67.26185253688267,545000000.0,0.1149253100156784,7309869.678571428,100.38672746930804,773052662.8571428,14106000.17857143,1665776.5,653364315.4285715,0.4493894747325352,0.5956316760608128,1292295355.4285715,51195153.571428575,7362085.607142857,1079325377.328125,7.90867280960083,300.0,46.0,7825.0,1.0,26.293428421020508,3270.0,7291374870.0,2361.0,3.0,47.0,47.0,47.0,50.0,46.0,33.0,90.0,545.0,2.0,31.03756606578827,1.081253170967102,3196.0,22.0,2.52962589263916
0.09,25.696937561035156,16.054877962384904,1.6506481085504805,0.7260690586907523,9.991506883076259,32.64200701032366,27.61800057547433,0.018176838389730856,7.754086903163365,11.295740400041852,33.05523899623326,8.724794387817383,41.50666046142578,1.350482668195452,0.13521767833403178,28.469981602260045,47.15861511230469,194.499755859375,0.30742584594658445,0.15799978375434875,2.6118928364345004,0.19243515815053666,544946285.7142857,1.4945099013192313,2.019209997994559,49176820004.57143,60562112804.57143,4254430720.0,83712310710.85715,1077108644.5714285,67.42776434762138,545000000.0,0.114265895315579,5106546.803571428,99.67304338727679,526652587.4285714,9890095.916294644,937999.2254464285,436842139.4285714,0.4289030262402126,0.29098974806921823,877536987.4285715,48474851.428571425,5127164.234375,896811191.71875,7.90867280960083,300.0,46.0,7825.0,1.0,26.293428421020508,3270.0,7291374870.0,2361.0,3.0,47.0,47.0,47.0,50.0,46.0,33.0,90.0,545.0,2.0,31.03756606578827,1.081253170967102,3196.0,22.0,2.52962589263916
