Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,14.187873840332031,10.81212615966797,1.0171832059110915,0.3434937298297882,17.18004608154297,17.93010711669922,14.760092735290527,0.038233969360589974,4.003902435302734,6.434422492980957,18.594995498657227,5.215814113616943,22.58961868286133,2.4103803634643555,0.1687149852514267,16.16067886352539,35.228965759277344,77.0123291015625,0.21677625179290771,0.16830037321363173,2.8470947401864186,12.441684194973536,544990192.0,0.8966728448867798,1.028064489364624,35675627520.0,44829163520.0,3223126784.0,61313335296.0,781467456.0,79.56800889968872,545000000.0,0.07325607538223265,8229979.0,220.2638157435826,465524256.0,11458947.0,24013186.0,639763565.7142857,0.2609667778015137,0.13601616024971008,1034957824.0,65736360.0,7136256.0,588220781.2460938,7.510257244110107,298.0,46.0,7827.0,1.0,22.237659454345703,2748.0,6865663384.0,1920.0,3.0,54.0,51.0,57.0,58.0,41.0,32.0,90.0,545.0,2.0,28.676971793174744,2736.0,73.0,2.525601625442505
0.01,19.832534790039062,13.500798543294271,1.0171832059110915,0.6087764700253805,11.68080965677897,25.17352040608724,16.11115010579427,0.14853543912371,4.348171393076579,8.84189542134603,26.12428029378255,7.23843256632487,31.850589752197266,1.4827438195546467,0.1621104677518209,21.254059473673504,56.37953186035156,105.18942260742188,0.3464019298553467,0.16830037321363173,2.8470947401864186,12.441684194973536,544899488.0,1.1494651635487874,2.366396506627401,57223058773.333336,73286167210.66667,5042185557.333333,98908329301.33333,1288498986.6666667,71.83685715993245,545000000.0,0.08495443314313887,6531750.166666667,220.2638157435826,684338484.2731119,12861521.0,24013186.0,639763565.7142857,0.3510928948720296,0.3126832842826843,1196771285.3333333,65736360.0,6789105.833333333,943413504.265625,7.510257244110107,298.0,46.0,7827.0,1.0,22.237659454345703,2748.0,6865663384.0,1920.0,3.0,54.0,51.0,57.0,58.0,41.0,32.0,90.0,545.0,2.0,28.676971793174744,2736.0,73.0,2.525601625442505
0.02,34.1184196472168,22.906940732683456,1.0171832059110915,1.1263116938727242,19.739063262939453,42.85649544852121,34.45704705374582,0.12160622318541363,9.47651617867606,15.00359398978097,44.42080797467913,12.091432026454381,54.28065054757254,2.862206711832966,0.26941446534224917,36.75003433227539,82.67203957693917,213.733154296875,0.4487334058753082,0.22644454666546412,2.8769350051879883,7.661696493625641,544899044.5714285,1.9728837353842599,2.9845687321254184,69156824795.42857,88170034907.42857,6138276498.285714,119380115456.0,1546092123.4285715,53.92235388074602,545000000.0,0.1520844272204808,10249312.25,217.39083862304688,823868923.4285715,17736640.551339287,2339783.8214285714,640193933.7142857,0.6018438168934414,0.35876921245029997,1622460754.5714285,66441021.71428572,9923501.482142856,1113934201.0401785,7.510257244110107,298.0,46.0,7827.0,1.0,22.237659454345703,2748.0,6865663384.0,1920.0,3.0,54.0,51.0,57.0,58.0,41.0,32.0,90.0,545.0,2.0,28.676971793174744,2736.0,73.0,2.525601625442505
0.03,25.106604439871653,17.750538417271205,0.0104804698910032,0.7459362574986049,18.761319841657365,31.833672659737722,24.07025364467076,0.055350750684738145,6.617937905447824,11.18833841596331,33.03017970493862,9.184060232979911,40.129794529506135,2.727348191397531,0.2744494250842503,27.451092856270925,66.24446105957031,137.46451459612166,0.4161733729498727,0.168224036693573,2.8077071053641185,8.405335230486733,544888411.4285715,1.497549261365618,2.6686197008405412,73714120411.42857,94018256896.0,6531600091.428572,127254846317.71428,1650661376.0,64.41843686785016,545000000.0,0.11463479697704314,10998294.142857144,182.52604021344865,870599149.7142857,18776503.42857143,2303978.285714286,678968027.4285715,0.4500325747898647,0.38987102678843905,1731923017.142857,70913038.85714285,10578055.714285715,1178302974.09375,7.510257244110107,298.0,46.0,7827.0,1.0,22.237659454345703,2748.0,6865663384.0,1920.0,3.0,54.0,51.0,57.0,58.0,41.0,32.0,90.0,545.0,2.0,28.676971793174744,2736.0,73.0,2.525601625442505
0.04,33.644351959228516,23.574788774762833,0.44920166475432255,1.1716217483792986,20.015356293746404,42.88135201590402,34.52394049508231,0.07302234388355697,9.805712154933385,15.043709346226283,44.499782017299104,12.39945902143206,54.002184186662944,3.140672973224095,0.28420467994042803,36.43659864153181,105.98942565917969,208.04770987374442,0.5168936678341457,0.2261250913143158,4.826535701751709,17.07007305962699,544906468.5714285,1.9938616752624512,4.4884450776236395,78112049444.57143,99761904493.71428,6912364544.0,134905366820.57143,1752744996.5714285,53.2157689503261,545000000.0,0.15306147720132554,11656479.785714285,242.8201904296875,926528018.2857143,19902115.0,2426524.375,720220077.7142857,0.6015484843935285,0.717657962015697,1832998134.857143,74603302.28571428,11212168.25,1249958975.970982,7.510257244110107,298.0,46.0,7827.0,1.0,22.237659454345703,2748.0,6865663384.0,1920.0,3.0,54.0,51.0,57.0,58.0,41.0,32.0,90.0,545.0,2.0,28.676971793174744,2736.0,73.0,2.525601625442505
0.05,30.089800516764324,19.74913597106934,0.39680966672797996,1.0651610891024272,15.027706322570642,37.540236155192055,26.337432225545246,0.2669677898908655,7.407252311706543,13.098370234171549,38.79183832804362,10.60396925608317,47.71843338012695,2.2815663516521454,0.32711629445354146,31.96354103088379,94.06953684488933,204.68680318196616,0.40901942054430646,0.18701800207297006,4.735261122385661,15.620468854904175,544860149.3333334,1.7098958889643352,3.9738388856252036,70553677824.0,89867496106.66667,6198413824.0,121685841237.33333,1586539562.6666667,58.584985415140785,545000000.0,0.1306050047278404,9569932.583333334,265.6448720296224,827536085.3333334,16327088.958333334,2184657.3125,641042954.6666666,0.521803617477417,0.6652950743834177,1513400874.6666667,62151113.666666664,9154191.75,1177093305.28125,7.510257244110107,298.0,46.0,7827.0,1.0,22.237659454345703,2748.0,6865663384.0,1920.0,3.0,54.0,51.0,57.0,58.0,41.0,32.0,90.0,545.0,2.0,28.676971793174744,2736.0,73.0,2.525601625442505
0.06,25.10807146344866,17.749071393694198,0.39680966672797996,10.922388332230705,32.07136263166155,31.862389700753347,24.358978407723562,0.04097602795809506,6.50924505506243,11.224361147199359,33.060146876743865,9.194890975952148,40.210328238351,2.6468137332371304,0.29807829963309423,27.45069122314453,68.4862300327846,134.21820068359375,1.6452674099377222,0.16822398560387744,2.8536763191223145,23.01289838552475,544857590.8571428,1.497481209891183,2.617577689034598,78205428882.28572,99891396608.0,6917050075.428572,135068176969.14285,1755655826.2857144,50.210582562855315,545000000.0,0.11446815516267504,11834118.411900112,293.212646484375,929025364.8571428,20087452.124441963,2353676.535714286,721560667.4285715,0.4500443765095303,0.3459381716591971,1849583360.0,75458596.57142857,11354349.591517856,1249076321.9107144,7.510257244110107,298.0,46.0,7827.0,1.0,22.237659454345703,2748.0,6865663384.0,1920.0,3.0,54.0,51.0,57.0,58.0,41.0,32.0,90.0,545.0,2.0,28.676971793174744,2736.0,73.0,2.525601625442505
0.07,26.469029426574707,31.182440076555526,0.19849901539938788,1.1865259068352836,21.13770298979112,39.654379163469585,26.844503130231583,0.12995714554563162,7.09536041532244,16.00101225716727,42.65861620221819,13.011050360543388,50.15044730050223,6.992410625730242,0.3940748195829136,36.02342333112444,102.64689200265067,181.89633778163366,0.5440318925040108,0.3231730673994337,5.1169441768101285,16.46478568656104,544859264.0,2.247867924826486,4.267045634133475,75602698240.0,96614853193.14285,6679259574.857142,130589385728.0,1698306674.2857144,50.789489950452534,545000000.0,0.14965010540825976,11233441.714285715,286.2898515973772,896126642.2857143,19285487.285714287,2439845.7098214286,694611920.0,0.690401451928275,0.6384798884391785,1771169371.4285715,72762337.14285715,10841252.285714285,1217534914.9754465,7.510257244110107,298.0,46.0,7827.0,1.0,22.237659454345703,2748.0,6865663384.0,1920.0,3.0,54.0,51.0,57.0,58.0,41.0,32.0,90.0,545.0,2.0,28.676971793174744,2736.0,73.0,2.525601625442505
0.08,12.22731704711914,7.922699737548828,0.19849901539938788,14.601492094993592,28.65660171508789,14.59417724609375,13.027715927362442,0.045642876625061016,3.4650367736816405,4.975474166870116,15.23153076171875,4.214316940307618,18.40505523681641,1.5949446678161618,0.17721015512943267,12.459481048583985,30.951870727539063,56.9642822265625,2.108549380302429,0.07903909087181091,330.0635203361511,11.224469852447509,544975180.8,0.673314905166626,1.0801472663879395,45273179750.4,59058710118.4,4042356326.4,78844893593.6,1030854348.8,63.73800837993622,545000000.0,0.05620291829109192,8787929.321484376,139.46152038574218,572567028.0,14859646.973828126,2434490.0,443953356.8,0.2120821475982666,0.1301526427268982,1367003648.0,56766248.8,8541607.733984375,609104256.171875,7.510257244110107,298.0,46.0,7827.0,1.0,22.237659454345703,2748.0,6865663384.0,1920.0,3.0,54.0,51.0,57.0,58.0,41.0,32.0,90.0,545.0,2.0,28.676971793174744,2736.0,73.0,2.525601625442505
0.09,25.101543971470424,17.845895494733536,0.2386504071099418,11.009280136653356,30.769915172031947,32.03024509974888,26.566130433763778,0.11730749905109404,7.413870811462402,11.366356985909599,33.240150451660156,9.312916891915458,40.47436087472098,2.382781744003296,0.2988650958452906,27.349618639264786,68.78945704868862,139.8945050920759,1.6340510930333818,0.16941738980157034,2.871948719024658,7.948501127106803,544849490.2857143,1.5013713836669922,2.702815123966762,72164976932.57143,92852231021.71428,6510878573.714286,125101972333.71428,1619310701.7142856,52.706730706351145,545000000.0,0.11395593200411114,10814347.16685268,257.8645281110491,848741947.7142857,17981616.34542411,2384672.214285714,678431634.2857143,0.45032913344247,0.3651605929647173,1661248694.857143,68136258.28571428,10229940.77734375,1184133958.2098215,7.510257244110107,298.0,46.0,7827.0,1.0,22.237659454345703,2748.0,6865663384.0,1920.0,3.0,54.0,51.0,57.0,58.0,41.0,32.0,90.0,545.0,2.0,28.676971793174744,2736.0,73.0,2.525601625442505
