Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
1.34,15.865361213684082,25.862754821777344,0.639512836933136,6.622681140899658,-1.0,1621218944.0,-1.0,1703370112.0,10428887.0,1.0812758207321167,1125.0,451.0,12250.0,6.0,24.747493743896484,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.44,15.642314910888672,26.46650695800781,0.5827435255050659,0.6137161254882812,-1.0,1620114560.0,-1.0,1703502976.0,10428020.0,1.0812758207321167,1125.0,451.0,12250.0,6.0,24.747493743896484,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.54,15.734399795532228,25.928489685058597,0.648809015750885,0.6310398578643799,-1.0,1620809728.0,-1.0,1703860736.0,10430792.0,1.0812758207321167,1125.0,451.0,12250.0,6.0,24.747493743896484,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.64,15.78044891357422,25.950115203857425,0.6008184552192688,0.675282895565033,-1.0,1620518528.0,-1.0,1703604480.0,10429963.0,1.0812758207321167,1125.0,451.0,12250.0,6.0,24.747493743896484,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.74,15.4707612991333,26.357309341430664,0.619735062122345,0.6391955018043518,-1.0,1619076480.0,-1.0,1703249536.0,10426216.0,1.0812758207321167,1125.0,451.0,12250.0,6.0,24.747493743896484,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.79,15.4707612991333,26.357309341430664,0.619735062122345,0.6391955018043518,-1.0,1619076480.0,-1.0,1703249536.0,10426216.0,0.5936242789030075,207.5,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.84,15.67086696624756,25.91397857666016,0.6214070916175842,0.597194492816925,-1.0,1619650944.0,-1.0,1703420800.0,10427021.0,0.5936242789030075,207.5,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
1.94,15.434303283691406,26.44076919555664,0.5979296565055847,0.7291601896286011,-1.0,1621917696.0,-1.0,1736457728.0,10658526.0,0.5936242789030075,207.5,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,47.0,44.0,39.0,44.0,30.0,50.0,90.0,545.0,2.0,36.08675301074982,3196.0,1.5,2.511605024337769
2.0,15.434303283691406,26.44076919555664,0.5979296565055847,0.7291601896286011,-1.0,1621917696.0,-1.0,1736457728.0,10658526.0,1.072921633720398,1125.0,451.0,12250.0,6.0,23.383346557617188,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,1.5,2.5130600929260254
2.04,15.992348670959473,25.81643867492676,0.5820528268814087,0.6114808320999146,-1.0,1655231744.0,-1.0,1716509440.0,10473238.0,1.072921633720398,1125.0,451.0,12250.0,6.0,23.383346557617188,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,1.5,2.5130600929260254
2.14,15.90244483947754,25.824710845947266,0.5731360912322998,0.6365365982055664,-1.0,1628244352.0,-1.0,1701553920.0,10418072.0,1.072921633720398,1125.0,451.0,12250.0,6.0,23.383346557617188,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,1.5,2.5130600929260254
2.24,15.611679077148438,26.32339096069336,0.5963255167007446,0.6520530581474304,-1.0,1630352128.0,-1.0,1759883008.0,10786507.0,1.072921633720398,1125.0,451.0,12250.0,6.0,23.383346557617188,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,1.5,2.5130600929260254
2.34,16.021455764770508,25.89996719360352,0.6075589060783386,0.6446654796600342,-1.0,1654080256.0,-1.0,1718514048.0,10474357.0,1.072921633720398,1125.0,451.0,12250.0,6.0,23.383346557617188,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,1.5,2.5130600929260254
2.44,15.56753158569336,26.18801498413086,0.6022390723228455,0.6695922017097473,-1.0,1648196096.0,-1.0,1705094144.0,10437015.0,1.072921633720398,1125.0,451.0,12250.0,6.0,23.383346557617188,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,1.5,2.5130600929260254
2.54,15.868903160095217,25.68332862854004,0.589448094367981,0.6271765828132629,-1.0,1619417472.0,-1.0,1702997504.0,10426389.0,1.072921633720398,1125.0,451.0,12250.0,6.0,23.383346557617188,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,1.5,2.5130600929260254
2.64,15.827563285827637,25.81478500366211,0.599628746509552,0.5939160585403442,-1.0,1619640320.0,-1.0,1724340608.0,10590398.0,1.072921633720398,1125.0,451.0,12250.0,6.0,23.383346557617188,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,1.5,2.5130600929260254
2.74,15.734639167785645,26.2736930847168,0.551992654800415,0.6414530873298645,-1.0,1655534848.0,-1.0,1722981888.0,10493195.0,1.072921633720398,1125.0,451.0,12250.0,6.0,23.383346557617188,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,1.5,2.5130600929260254
2.79,15.734639167785645,26.2736930847168,0.551992654800415,0.6414530873298645,-1.0,1655534848.0,-1.0,1722981888.0,10493195.0,0.1189099252223968,300.0,46.0,7810.0,1.0,22.83596611022949,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,3.0,2.5130600929260254
2.8,15.734639167785645,26.2736930847168,0.551992654800415,0.6414530873298645,-1.0,1655534848.0,-1.0,1722981888.0,10493195.0,1.0847678184509275,116.0,2.0,6330.0,1.0,22.83596611022949,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,3.0,2.5130600929260254
2.84,15.817028045654297,25.69571304321289,0.5559237003326416,0.6635426878929138,-1.0,1632422016.0,-1.0,1702151296.0,10420265.0,1.0847678184509275,116.0,2.0,6330.0,1.0,22.83596611022949,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,3.0,2.5130600929260254
2.94,15.870856285095217,25.591928482055664,0.5473873615264893,0.6666329503059387,-1.0,1620833408.0,-1.0,1703093248.0,10425746.0,1.0847678184509275,116.0,2.0,6330.0,1.0,22.83596611022949,2766.0,2361.0,3.0,51.0,47.0,54.0,60.0,51.0,36.0,90.0,545.0,2.0,35.61491370201111,3196.0,3.0,2.5130600929260254
3.0,15.870856285095217,25.591928482055664,0.5473873615264893,0.6666329503059387,-1.0,1620833408.0,-1.0,1703093248.0,10425746.0,1.0562686920166016,1125.0,451.0,12250.0,6.0,23.17266082763672,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,3.0,2.504257917404175
3.04,15.588008880615234,26.148927688598636,0.6331103444099426,0.6071816682815552,-1.0,1620535936.0,-1.0,1703337728.0,10426912.0,1.0562686920166016,1125.0,451.0,12250.0,6.0,23.17266082763672,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,3.0,2.504257917404175
3.14,15.776716232299805,24.87325859069824,0.7305006980895996,0.6320249438285828,-1.0,1622044416.0,-1.0,1881357696.0,11766201.0,1.0562686920166016,1125.0,451.0,12250.0,6.0,23.17266082763672,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,3.0,2.504257917404175
3.24,16.064193725585938,24.860448837280277,0.9526672959327698,0.6207900047302246,-1.0,1621778048.0,-1.0,1937122944.0,12138052.0,1.0562686920166016,1125.0,451.0,12250.0,6.0,23.17266082763672,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,3.0,2.504257917404175
3.34,16.402740478515625,24.656925201416016,0.8400659561157227,0.6113107204437256,-1.0,1621247744.0,-1.0,1935857920.0,12130184.0,1.0562686920166016,1125.0,451.0,12250.0,6.0,23.17266082763672,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,3.0,2.504257917404175
3.44,16.194875717163086,25.05104255676269,0.7647520899772644,0.6251062154769897,-1.0,1620899456.0,-1.0,1884473856.0,11752212.0,1.0562686920166016,1125.0,451.0,12250.0,6.0,23.17266082763672,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,3.0,2.504257917404175
3.54,15.466325759887695,26.21732711791992,0.5369434356689453,0.61697918176651,-1.0,1618172672.0,-1.0,1701985920.0,10418361.0,1.0562686920166016,1125.0,451.0,12250.0,6.0,23.17266082763672,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,3.0,2.504257917404175
3.64,15.8090181350708,25.39467430114746,0.6847726702690125,0.6261540055274963,-1.0,1619921280.0,-1.0,1780264960.0,10991627.0,1.0562686920166016,1125.0,451.0,12250.0,6.0,23.17266082763672,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,3.0,2.504257917404175
3.74,16.07440185546875,25.091960906982425,0.9331201314926147,0.629209041595459,-1.0,1620306304.0,-1.0,1936709376.0,12135169.0,1.0562686920166016,1125.0,451.0,12250.0,6.0,23.17266082763672,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,3.0,2.504257917404175
3.79,16.07440185546875,25.091960906982425,0.9331201314926147,0.629209041595459,-1.0,1620306304.0,-1.0,1936709376.0,12135169.0,0.5889363139867783,208.0,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,1.5,2.504257917404175
3.85,16.444425582885742,24.472511291503903,1.1330337524414062,0.6669251918792725,-1.0,1622043904.0,-1.0,1992348416.0,12542636.0,0.5889363139867783,208.0,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,1.5,2.504257917404175
3.95,15.193723678588867,22.426803588867188,0.9968077540397644,9.519083023071287,-1.0,1815333376.0,-1.0,1997002624.0,12882911.0,0.5889363139867783,208.0,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,51.0,46.0,48.0,39.0,61.0,35.0,90.0,545.0,2.0,34.61873233318329,3196.0,1.5,2.504257917404175
4.0,15.193723678588867,22.426803588867188,0.9968077540397644,9.519083023071287,-1.0,1815333376.0,-1.0,1997002624.0,12882911.0,1.0692557096481323,1125.0,451.0,12250.0,6.0,21.46450424194336,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.05,14.386372566223145,22.018949508666992,0.9937863349914552,7.788241386413574,-1.0,1845849728.0,-1.0,1931993984.0,12455937.0,1.0692557096481323,1125.0,451.0,12250.0,6.0,21.46450424194336,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.15,15.583978652954102,23.12708282470703,0.9564691185951232,4.8795552253723145,-1.0,1745582592.0,-1.0,1931979136.0,12237746.0,1.0692557096481323,1125.0,451.0,12250.0,6.0,21.46450424194336,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.25,16.061559677124023,25.172822952270508,0.9781723618507384,0.6422553062438965,-1.0,1620258816.0,-1.0,1930947968.0,12098637.0,1.0692557096481323,1125.0,451.0,12250.0,6.0,21.46450424194336,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.35,16.19822883605957,24.868316650390625,0.987588107585907,0.6414269208908081,-1.0,1619435904.0,-1.0,1929900800.0,12091899.0,1.0692557096481323,1125.0,451.0,12250.0,6.0,21.46450424194336,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.45,16.214008331298828,24.87602806091309,0.9329558610916138,0.6691673994064331,-1.0,1621336320.0,-1.0,1931370624.0,12101389.0,1.0692557096481323,1125.0,451.0,12250.0,6.0,21.46450424194336,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.55,15.967110633850098,25.29839324951172,0.9810459613800048,0.6006378531455994,-1.0,1626769280.0,-1.0,1925685248.0,12107187.0,1.0692557096481323,1125.0,451.0,12250.0,6.0,21.46450424194336,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.65,14.948426246643066,22.808380126953125,0.9110563397407532,0.9560630917549132,-1.0,1818093184.0,-1.0,1965710976.0,12643425.0,1.0692557096481323,1125.0,451.0,12250.0,6.0,21.46450424194336,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.75,15.722332954406738,23.628156661987305,0.9741672873497008,5.576815128326416,-1.0,1732936832.0,-1.0,1943706496.0,12185694.0,1.0692557096481323,1125.0,451.0,12250.0,6.0,21.46450424194336,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.79,15.722332954406738,23.628156661987305,0.9741672873497008,5.576815128326416,-1.0,1732936832.0,-1.0,1943706496.0,12185694.0,0.7332904189825058,208.0,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.85,16.23785972595215,23.959884643554688,1.0369106531143188,0.6714084148406982,-1.0,1621715456.0,-1.0,1930806784.0,12096121.0,0.7332904189825058,208.0,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
4.95,16.27796173095703,24.053672790527344,1.007673978805542,0.7001774311065674,-1.0,1621798400.0,-1.0,1944873600.0,12230613.0,0.7332904189825058,208.0,24.0,7070.0,1.0,11.417983055114744,2766.0,2361.0,3.0,47.0,43.0,49.0,26.0,63.0,29.0,90.0,545.0,2.0,34.22251045703888,3196.0,1.5,2.5132365226745605
5.0,16.27796173095703,24.053672790527344,1.007673978805542,0.7001774311065674,-1.0,1621798400.0,-1.0,1944873600.0,12230613.0,1.3486599922180176,1125.0,451.0,12250.0,6.0,21.406309127807617,2766.0,2361.0,3.0,50.0,45.0,49.0,28.0,59.0,35.0,90.0,545.0,2.0,34.227585792541504,3196.0,1.5,2.323145627975464
5.05,16.065202713012695,24.413089752197266,1.0515930652618408,0.650164008140564,-1.0,1641309184.0,-1.0,1990120576.0,12437923.0,1.3486599922180176,1125.0,451.0,12250.0,6.0,21.406309127807617,2766.0,2361.0,3.0,50.0,45.0,49.0,28.0,59.0,35.0,90.0,545.0,2.0,34.227585792541504,3196.0,1.5,2.323145627975464
5.15,16.41154670715332,24.08793258666992,1.0333755016326904,0.6408295631408691,-1.0,1676201600.0,-1.0,1947387008.0,12151799.0,1.3486599922180176,1125.0,451.0,12250.0,6.0,21.406309127807617,2766.0,2361.0,3.0,50.0,45.0,49.0,28.0,59.0,35.0,90.0,545.0,2.0,34.227585792541504,3196.0,1.5,2.323145627975464
5.25,15.776060104370115,23.692546844482425,0.9772878289222716,5.512057781219482,-1.0,1714340224.0,-1.0,1909292544.0,12076095.0,1.3486599922180176,1125.0,451.0,12250.0,6.0,21.406309127807617,2766.0,2361.0,3.0,50.0,45.0,49.0,28.0,59.0,35.0,90.0,545.0,2.0,34.227585792541504,3196.0,1.5,2.323145627975464
5.35,15.701749801635742,22.44906616210937,0.96988183259964,4.822521209716797,-1.0,1785293056.0,-1.0,1911440512.0,12092313.0,1.3486599922180176,1125.0,451.0,12250.0,6.0,21.406309127807617,2766.0,2361.0,3.0,50.0,45.0,49.0,28.0,59.0,35.0,90.0,545.0,2.0,34.227585792541504,3196.0,1.5,2.323145627975464
