Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.01,14.291839599609375,10.708160400390625,0.47504364592688425,0.49287152430042624,32.57870626449585,20.527077794075012,20.48014485836029,0.0049767566379159255,5.608902454376221,7.027817249298096,21.28422212600708,5.551295489072801,23.997697830200195,26.002301454544067,0.32160887122154236,16.75585174560547,70.53744125366211,79.82503509521484,0.437447264790535,0.09717198461294173,3.1904677152633667,0.15786466002464294,545010736.0,0.928832232952118,1.9588535279035568,34996596736.0,42760175616.0,3125145856.0,59501830144.0,750290944.0,35.54421478509903,545000000.0,0.06509456038475035,7255326.25,68.4618911743164,443100571.40625,9810006.75,1759320.4375,306406464.0,0.2680877447128296,0.27669039368629456,940532064.0,40454780.0,6291882.5,783153944.4453125,0.863322615623474,265.0,32.0,7094.0,1.0,16.43876838684082,2598.0,1920.0,3.0,44.0,46.0,46.0,68.0,32.0,28.0,90.0,545.0,2.0,34.619733691215515,3196.0,1.0,2.548039674758911
0.01,30.392885753086635,29.5030642918178,0.47504364592688425,1.1584594257708107,32.10440935407366,42.95848022188459,43.29358128138951,0.3955636929188456,12.442740304129464,16.157975060599192,45.38118648529053,13.23799327654498,52.875077383858816,18.553494129862106,0.528424688747951,38.19032178606306,127.37970842633929,188.40764999389648,0.6440955315317426,0.29984463112694876,5.513862677982876,0.06135343653815133,544948598.8571428,2.355881316321237,5.069334191935403,79536713435.42857,96448258925.71428,6694851145.142858,134455693312.0,1664999862.857143,41.532807554517476,545000000.0,0.16599787984575545,11684470.92857143,98.66775512695312,899726034.2857143,19912953.82142857,2953359.776785714,705031917.7142857,0.6761214733123779,0.7640477674348014,1854613888.0,72997666.57142857,11244852.857142856,1213946109.1450894,0.863322615623474,265.0,32.0,7094.0,1.0,16.43876838684082,2598.0,1920.0,3.0,44.0,46.0,46.0,68.0,32.0,28.0,90.0,545.0,2.0,34.619733691215515,3196.0,1.0,2.548039674758911
0.02,25.82253156389509,17.177273886544363,0.16650118146623888,0.808454003451126,30.17430005754743,33.72786120006016,36.49042790276663,0.04031822920244716,9.859134129115514,11.466372898646764,35.12073789324079,9.343425861426763,40.96409388950893,16.178763491766794,0.3834052099181073,28.571497235979354,88.34142630440849,133.62979997907365,0.5449388027191162,0.17595429931368148,3.753147670200893,0.1510167760508401,544926610.2857143,1.5365888391222273,3.1035166680812836,85031522889.14285,103013915501.71428,7138152155.428572,143676637184.0,1780460836.5714285,39.47213922228132,545000000.0,0.1250275245734623,12083361.857142856,100.30343191964286,955693554.2857143,20595570.208426338,2440375.464285714,749867081.1428572,0.4915486233575003,0.402026755469186,1926712630.857143,77162013.71428572,11606814.494140625,1297680630.515625,0.863322615623474,265.0,32.0,7094.0,1.0,16.43876838684082,2598.0,1920.0,3.0,44.0,46.0,46.0,68.0,32.0,28.0,90.0,545.0,2.0,34.619733691215515,3196.0,1.0,2.548039674758911
0.03,25.90972137451172,16.94742121015276,0.16650118146623888,0.8096314506339175,30.143792288643972,33.61068534851074,34.48928499221802,0.05133636615106034,10.6311343056815,9.706364222935267,34.92687579563686,9.223505760942185,40.98307800292969,16.159778935568674,0.3179122379847935,28.472137451171875,88.29777199881417,135.09143938337053,0.5441889422280448,0.17139572756631033,3.7020978927612305,0.19247384582247054,544966098.2857143,1.5149379798344202,3.101662188768387,81940579474.28572,99225684260.57143,6859407506.285714,138412830134.85715,1722332598.857143,54.71371507644653,545000000.0,0.1268301819052015,11718736.42857143,99.596923828125,1290488324.5714285,19955141.57142857,2815531.9285714286,1080802340.5714285,0.4920872620173863,0.40195843151637484,1865016118.857143,73810690.28571428,11247769.42857143,1273730124.1361606,0.863322615623474,265.0,32.0,7094.0,1.0,16.43876838684082,2598.0,1920.0,3.0,44.0,46.0,46.0,68.0,32.0,28.0,90.0,545.0,2.0,34.619733691215515,3196.0,1.0,2.548039674758911
0.04,26.760318211146764,16.0912230355399,0.17758234909602574,1.0354886395590646,10.921642848423549,32.9091066632952,36.191196833338054,0.05048916675150391,9.919558116367885,11.311704363141741,34.183807373046875,9.092817034040179,41.061671665736604,1.7954707145690918,0.2558485418558121,28.622669764927455,88.64424787248883,167.89317975725447,0.4008474775723049,0.16712104848452977,4.318977764674595,0.06136277743748255,544993325.7142857,1.4945332322801863,4.023654392787388,79588891501.71428,96351052946.28572,6650267794.285714,134414687085.71428,1667791835.4285715,39.959408095904756,545000000.0,0.1268586558955056,8568464.857142856,51.83809116908482,834555801.6964285,16843198.361467633,2024256.6785714286,698841197.7142857,0.500984822000776,0.5996369464056832,1567354678.857143,59537650.28571428,8816183.790039062,1198017169.2589285,0.863322615623474,265.0,32.0,7094.0,1.0,16.43876838684082,2598.0,1920.0,3.0,44.0,46.0,46.0,68.0,32.0,28.0,90.0,545.0,2.0,34.619733691215515,3196.0,1.0,2.548039674758911
0.05,25.489967891148158,18.698945999145508,0.03977842735392706,0.8012805503926108,31.501233782087052,32.33228158950806,31.61068480355399,0.08350054227880069,8.678815569196429,11.488516126360212,34.392162799835205,9.478743655341011,39.3489259992327,17.79393070084708,0.3599034377506801,28.294132777622767,87.62655094691685,107.15814099993024,0.5644056711878095,0.2188481092453003,3.7381394250052318,0.17147713899612427,544929490.2857143,1.6375599248068673,3.0658102290970937,71805610276.57143,86958154898.28572,5991995721.142858,121276688091.42857,1494677430.857143,51.296217577798025,545000000.0,0.13256044898714336,11653475.0,102.25078909737724,834707874.4511719,20262790.14285714,2440712.8035714286,636238468.5714285,0.5307630981717791,0.39001618112836567,1895119268.5714285,76493564.57142857,11449558.857142856,989960885.7522322,0.863322615623474,265.0,32.0,7094.0,1.0,16.43876838684082,2598.0,1920.0,3.0,44.0,46.0,46.0,68.0,32.0,28.0,90.0,545.0,2.0,34.619733691215515,3196.0,1.0,2.548039674758911
0.06,18.837547938028973,14.088031768798828,0.6171337763468425,0.3413618604342143,21.553434371948242,23.999685923258465,23.65620978673299,0.05889614423116046,6.398499170939128,9.07651424407959,24.57260258992513,6.80580488840739,30.56746546427409,2.7658669153849282,0.2732456041655193,22.39070765177409,45.503500620524086,158.14940897623697,0.2799544135729472,0.1425959269205729,2.01554536819458,0.21163430313269296,544982506.6666666,1.2522695461908977,1.194067786137263,41492591957.333336,50788955477.333336,3754782208.0,70641849685.33333,884455125.3333334,58.12140794595083,545000000.0,0.09355728328227997,6941549.0,117.76939900716145,523282408.0,9313169.887858072,1702060.25,402828704.0,0.3524153232574463,0.15562163790067038,837430976.0,35134356.0,5780013.721191406,829763088.1744791,0.863322615623474,265.0,32.0,7094.0,1.0,16.43876838684082,2598.0,1920.0,3.0,44.0,46.0,46.0,68.0,32.0,28.0,90.0,545.0,2.0,34.619733691215515,3196.0,1.0,2.548039674758911
0.07,18.176937648228236,10.394490378243583,0.6171337763468425,0.5678227807262114,24.318274634225027,22.68418182645525,26.007915564945765,0.006726196771653885,6.848301751273019,7.484590257917132,23.590675626482284,6.005622254950659,27.319903782435826,15.53723955154419,0.3079200841353408,19.10804421561105,65.39038957868304,89.82829938616071,0.3980209657124111,0.10619846837861195,2.7949214662824358,0.11114488329206194,544968137.1428572,0.9861324514661517,2.141453219311578,56844547803.42857,68594338084.57143,4631692726.857142,95773409280.0,1186617344.0,50.208777053015574,545000000.0,0.08294234105518884,8878223.714285715,50.45912388392857,625243693.7142857,14161318.451311383,1936875.357142857,473162276.5714286,0.340501001902989,0.26884445973805016,1363293659.4285715,54819348.571428575,8300512.308454241,853275170.0513393,0.863322615623474,265.0,32.0,7094.0,1.0,16.43876838684082,2598.0,1920.0,3.0,44.0,46.0,46.0,68.0,32.0,28.0,90.0,545.0,2.0,34.619733691215515,3196.0,1.0,2.548039674758911
0.08,26.69705581665039,16.15915080479213,0.3402595179421561,0.9905563430594546,25.30134473528181,33.7138671875,36.298040934971404,0.19954561042998523,9.741559437343053,11.375311170305524,34.96722739083426,9.116507340754781,41.0387932913644,16.104064106941223,0.31983464530536104,28.660273960658483,103.08696528843471,167.69607761928015,0.5063259771892002,0.1685730048588344,6.4767559596470425,0.175616660288402,544970422.8571428,1.4999562672206335,3.963424571922847,77892524909.71428,94336612059.42857,6533232054.857142,131594062116.57143,1633689965.7142856,39.745556354522705,545000000.0,0.12645483868462698,10977711.42857143,90.51291329520089,872273766.3303572,18504499.285714287,2672365.8928571427,683878326.8571428,0.49933530603136334,0.5977006299155099,1738471661.7142856,69646459.42857143,10477000.642857144,1202849754.8995535,0.863322615623474,265.0,32.0,7094.0,1.0,16.43876838684082,2598.0,1920.0,3.0,44.0,46.0,46.0,68.0,32.0,28.0,90.0,545.0,2.0,34.619733691215515,3196.0,1.0,2.548039674758911
0.09,25.91655513218471,16.99814006260463,0.12185306208474296,0.9630638198660952,25.611991337367467,33.57265976497105,35.9872304712023,0.015580406000870916,9.809920719691686,11.175998960222516,34.91663312911987,9.215401864477567,40.840850830078125,16.302006312779017,0.33189314710242407,28.589681352887833,103.47764805385044,162.73502240862166,0.5108317988259452,0.17248003397669112,5.185378415243966,0.17339755381856645,544888338.2857143,1.5235606942858015,3.9672156274318695,76548216539.42857,92634808320.0,6388857270.857142,129254480749.71428,1607447369.142857,39.38821073940822,545000000.0,0.12531837395259313,10316869.57142857,82.68710763113839,851346427.8928572,17239298.29673549,2378315.464285714,671394761.1428572,0.49519504819597515,0.5710231576647077,1637706422.857143,66551652.571428575,9784698.082449777,1172644850.4910715,0.863322615623474,265.0,32.0,7094.0,1.0,16.43876838684082,2598.0,1920.0,3.0,44.0,46.0,46.0,68.0,32.0,28.0,90.0,545.0,2.0,34.619733691215515,3196.0,1.0,2.548039674758911
