Time (s),% Linear Filtered,% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.13,26.190489087785995,0.6052119306155613,19.522855486188615,0.059670972970447336,11.277543476649694,11.37822151184082,0.3839869669505528,24.46551295689174,66.6853528703962,134.7652544294085,0.4420203821999686,0.17266654116766791,2.4809339387076244,0.10185019671916962,545016512.0,1.4072341578347343,2.773697171892439,66226517723.42857,95668804461.71428,6504089014.857142,120565008676.57143,1764654372.5714285,100.0,545000000.0,0.12579172849655149,11057260.0,45.82426452636719,893507696.4414062,21782174.85714286,2105674.75,749461101.7142857,0.4968106746673584,0.35308358498982023,1830271524.5714285,65030505.14285714,11411177.0,139781.59375,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,3.0,55.0,56.0,58.0,36.0,39.0,36.0,72.0,545.0,2.0,19.35782879590988,0.7286522388458252,2736.0,1.0,60.0,2.3159916400909424
0.13,26.190489087785995,0.6052119306155613,19.522855486188615,0.059670972970447336,11.277543476649694,11.37822151184082,0.3839869669505528,24.46551295689174,66.6853528703962,134.7652544294085,0.4420203821999686,0.17266654116766791,2.4809339387076244,0.10185019671916962,545016512.0,1.4072341578347343,2.773697171892439,66226517723.42857,95668804461.71428,6504089014.857142,120565008676.57143,1764654372.5714285,100.0,545000000.0,0.12579172849655149,11057260.0,45.82426452636719,893507696.4414062,21782174.85714286,2105674.75,749461101.7142857,0.4968106746673584,0.35308358498982023,1830271524.5714285,65030505.14285714,11411177.0,139781.59375,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,3.0,55.0,56.0,58.0,36.0,39.0,36.0,72.0,545.0,2.0,19.35782879590988,0.7286522388458252,2736.0,1.0,60.0,2.3159916400909424
0.14,26.190489087785995,0.6052119306155613,19.522855486188615,0.059670972970447336,11.277543476649694,11.37822151184082,0.3839869669505528,24.46551295689174,66.6853528703962,134.7652544294085,0.4420203821999686,0.17266654116766791,2.4809339387076244,0.10185019671916962,545114697.1428572,1.4072341578347343,2.773697171892439,66226517723.42857,95668804461.71428,6504089014.857142,120565008676.57143,1764654372.5714285,68.65789958408901,545000000.0,0.12579172849655149,11057260.0,45.82426452636719,893507696.4414062,21782174.85714286,2105674.75,749461101.7142857,0.4968106746673584,0.35308358498982023,1830271524.5714285,65030505.14285714,11411177.0,1247733458.2276785,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,3.0,55.0,56.0,58.0,36.0,39.0,36.0,72.0,545.0,2.0,19.35782879590988,0.7286522388458252,2736.0,1.0,60.0,2.3159916400909424
0.15,8.756187983921595,0.30966486249651226,7.295514242989675,0.0016462563404015002,3.9038671766008646,3.6111041477748325,0.0595332213810512,7.306798117501395,20.520745413643972,43.982177734375,0.1463413749422346,0.06248857293810163,0.7617606435503278,0.10185019671916962,544877275.4285715,0.44655779429844455,0.8342644146510533,18449578861.714287,29712208457.142857,2035489792.0,35341172736.0,566196406.8571428,89.86736924307687,545000000.0,0.04559084347316197,3808621.714285714,45.82426452636719,311518720.0,7531944.571428572,431872.96428571426,260915364.57142857,0.16490319796970915,0.10182957989828927,583217846.8571428,20804130.285714287,3901512.285714286,420345930.07589287,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,3.0,55.0,56.0,58.0,36.0,39.0,36.0,72.0,545.0,2.0,19.35782879590988,0.7286522388458252,2736.0,1.0,60.0,2.3159916400909424
0.16,21.894594192504883,0.28526658006012434,24.035533905029297,0.051574314478784786,9.744438886642456,10.67122483253479,0.5130432699806988,23.370807647705078,82.89044189453125,147.20306015014648,0.392883587628603,0.15036987885832787,2.5093829184770584,0.10185019671916962,544991288.0,1.325266569852829,2.7537248581647873,43442564096.0,60548154368.0,4097777472.0,77814420480.0,1103518336.0,59.82639342546463,545000000.0,0.10094358772039413,9321505.09375,45.82426452636719,584160144.0,15360075.2578125,1982940.5703125,453474128.0,0.4243621528148651,0.3008454144001007,1363234606.0,51860210.7109375,8850007.25390625,783019820.0976562,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,3.0,55.0,56.0,58.0,36.0,39.0,36.0,72.0,545.0,2.0,19.35782879590988,0.7286522388458252,2736.0,1.0,60.0,2.3159916400909424
0.17,35.17023195539202,13.452748835086823,20.447237287248885,0.1637819529777127,14.45584215436663,15.202778679983956,0.5109666652445283,40.67611421857561,109.72213036673409,252.3214372907366,0.8065371641090938,0.224857896566391,4.3837475180625916,0.061361163854599,544978230.8571428,2.3800952775137767,4.376291411263602,70635138610.28572,102097986706.28572,6958138158.857142,128642268073.14285,1883457668.857143,43.96467428547995,545000000.0,0.165260625737054,11785199.147600446,54.30539812360491,976811162.2857143,23209560.1640625,1910005.4285714286,804395565.7142857,0.6602324587958199,0.679682297366006,1944080123.5,69749892.19921875,12161013.819754465,1348699306.75,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,3.0,55.0,56.0,58.0,36.0,39.0,36.0,72.0,545.0,2.0,19.35782879590988,0.7286522388458252,2736.0,1.0,60.0,2.3159916400909424
0.18,26.90469251360212,1.0127998760768346,16.616558619907924,0.18252669221588544,10.376943043300084,10.40113776070731,0.30803094272102627,21.93234634399414,76.06354631696429,148.96339416503906,0.4016386185373579,0.17576624665941512,3.9459152221679688,0.061361163854599,544989659.4285715,1.270015103476388,3.3398451123918806,45218088667.42857,70499116178.28572,4586342180.571428,85053992374.85715,1339843300.5714285,67.38573374067035,545000000.0,0.13554964746747697,9074032.142857144,54.30539812360491,685762678.8571428,17876063.714285713,1583602.5892857143,570165339.4285715,0.5253086090087891,0.43144844259534565,1459370843.4285715,51167603.428571425,9357221.535714285,928841203.0691965,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,3.0,55.0,56.0,58.0,36.0,39.0,36.0,72.0,545.0,2.0,19.35782879590988,0.7286522388458252,2736.0,1.0,60.0,2.3159916400909424
0.19,12.06153917312622,0.24594775587320328,11.782857894897461,0.021566778188571327,6.164876222610474,7.351152658462524,0.27985579520463943,15.092833995819092,38.109182357788086,56.23472023010254,0.27026163041591644,0.12496967613697052,1.3585280776023865,0.061361163854599,545017792.0,0.976502537727356,1.6025195121765137,24469100032.0,31955417600.0,2470345536.0,42917155840.0,543299776.0,79.99234509468079,545000000.0,0.06852061673998833,4750088.625,54.30539812360491,308442896.0,9895148.5,631792.234375,257678096.0,0.2741660177707672,0.21926604211330414,802792448.0,27004671.0,5172743.0,330172733.0097656,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,3.0,55.0,56.0,58.0,36.0,39.0,36.0,72.0,545.0,2.0,19.35782879590988,0.7286522388458252,2736.0,1.0,60.0,2.3159916400909424
0.2,27.377472468784877,0.875288154397692,12.485179901123047,1.4829228254301208,12.003511428833008,10.619858060564313,0.36649366681064877,24.36774935041155,79.39669799804688,183.300288609096,0.37913061891283306,0.16069243209702627,4.29714264188494,0.061361163854599,544981549.7142857,1.3400422845567976,3.536278179713658,60405044955.42857,86484233654.85715,5756654738.285714,109403818276.57143,1610905526.857143,70.4629489353725,545000000.0,0.12622310221195218,8002832.928571428,54.30539812360491,778813750.8571428,15181466.214285715,1903182.6785714286,658544173.7142857,0.5010186263493129,0.4981208103043692,1339358052.5714285,49576759.428571425,7965490.892857143,1219238563.763393,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,3.0,55.0,56.0,58.0,36.0,39.0,36.0,72.0,545.0,2.0,19.35782879590988,0.7286522388458252,2736.0,1.0,60.0,2.3159916400909424
0.21,35.092839922223774,0.7654166221618652,21.029488154820033,0.3747028029922928,14.838769367762975,15.04901123046875,0.5035005595002856,31.85258538382394,102.59791564941406,201.5615735735212,0.5693155782563346,0.23355289442198618,3.494486468178885,0.061361163854599,545005595.4285715,1.8329076426369804,4.553793294089181,66508844470.85714,96373939053.71428,6553818770.285714,121249634011.42857,1779035136.0,58.29824583871024,545000000.0,0.16972907100405007,11202152.357142856,54.30539812360491,903457810.2857143,22081106.14285714,2025219.857142857,757603346.2857143,0.677038311958313,0.7107755712100438,1849545673.142857,65256477.14285714,11561631.285714285,1259285302.40625,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2760.0,2361.0,3.0,55.0,56.0,58.0,36.0,39.0,36.0,72.0,545.0,2.0,19.35782879590988,0.7286522388458252,2736.0,1.0,60.0,2.3159916400909424
