Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.7141031793185643,19.6225711277553,0.06544339284300801,14.738692964826312,0.40616021518196377,-1.0,-1.0,-1.0,0.4582793777808547,-1.0,2.4892873082842146,0.17462307214736938,545148160.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11335445.0,99.87650844029018,912915433.1428572,22345428.563337054,1357478.4441964286,764670962.2857143,-1.0,-1.0,-1.0,66956565.71428572,11711675.277622769,149450.44921875,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,1978.0,4421501746.0,2361.0,3.0,61.0,60.0,66.0,49.0,40.0,43.0,72.0,545.0,2.0,19.722962379455566,3196.0,2.0,59.0,2.2979536056518555
0.01,0.7141031793185643,19.6225711277553,0.06544339284300801,14.738692964826312,0.40616021518196377,-1.0,-1.0,-1.0,0.4582793777808547,-1.0,2.4892873082842146,0.17462307214736938,544920356.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.46502276829311,545000000.0,-1.0,11335445.0,99.87650844029018,912915433.1428572,22345428.563337054,1357478.4441964286,764670962.2857143,-1.0,-1.0,-1.0,66956565.71428572,11711675.277622769,1282917357.142857,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,1978.0,4421501746.0,2361.0,3.0,61.0,60.0,66.0,49.0,40.0,43.0,72.0,545.0,2.0,19.722962379455566,3196.0,2.0,59.0,2.2979536056518555
0.02,0.7122996492045266,33.550960540771484,0.21999047317616974,10.851921898978096,0.464985008750643,-1.0,-1.0,-1.0,0.5463126727512905,-1.0,3.3277476174490794,0.17462307214736938,544944219.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.11559360367911,545000000.0,-1.0,14442561.57142857,99.87650844029018,1003183305.1428572,25478150.285714287,2142802.5714285714,790240585.1428572,-1.0,-1.0,-1.0,81859392.0,14151465.142857144,1240893997.5,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,1978.0,4421501746.0,2361.0,3.0,61.0,60.0,66.0,49.0,40.0,43.0,72.0,545.0,2.0,19.722962379455566,3196.0,2.0,59.0,2.2979536056518555
0.03,0.29037725925445557,6.302529811859131,0.017304865643382062,6.094051361083984,0.06125756935216485,-1.0,-1.0,-1.0,0.13047828036360443,-1.0,0.6930645108222961,0.17462307214736938,545005712.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.75823426246643,545000000.0,-1.0,3314728.359375,99.87650844029018,286935916.0,6406699.09375,314910.677734375,239244136.0,-1.0,-1.0,-1.0,18339106.0,3309317.84375,496969833.1484375,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,1978.0,4421501746.0,2361.0,3.0,61.0,60.0,66.0,49.0,40.0,43.0,72.0,545.0,2.0,19.722962379455566,3196.0,2.0,59.0,2.2979536056518555
0.04,0.5052097950662885,12.984768458775111,0.09558457881212234,11.969745091029576,0.3517012915440968,-1.0,-1.0,-1.0,0.35812024559293476,-1.0,2.3459367752075195,0.17462307214736938,545072731.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.14599963596889,545000000.0,-1.0,7950615.785714285,99.87650844029018,631842861.7142857,15667477.339285715,962709.7857142857,529348297.14285713,-1.0,-1.0,-1.0,47820888.96428572,8261142.196428572,903465556.0558035,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,1978.0,4421501746.0,2361.0,3.0,61.0,60.0,66.0,49.0,40.0,43.0,72.0,545.0,2.0,19.722962379455566,3196.0,2.0,59.0,2.2979536056518555
0.05,0.8604225942066738,19.983431134905135,0.067520769712116,12.573554175240654,0.35706919378467966,-1.0,-1.0,-1.0,0.4848064397062574,-1.0,2.7284098523003713,0.17462307214736938,544996653.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.80601528712681,545000000.0,-1.0,11698802.035714285,99.87650844029018,1417832356.5714285,23068869.464285713,1573054.0580357143,1247371693.7142856,-1.0,-1.0,-1.0,69847023.00892857,12085635.36607143,1359352120.325893,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,1978.0,4421501746.0,2361.0,3.0,61.0,60.0,66.0,49.0,40.0,43.0,72.0,545.0,2.0,19.722962379455566,3196.0,2.0,59.0,2.2979536056518555
0.06,0.571255121912275,14.502857753208705,0.104922388281141,6.48934691292899,0.23267127786363875,-1.0,-1.0,-1.0,0.29429408482142855,-1.0,1.6026287078857422,0.17462307214736938,544999542.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.58749389648438,545000000.0,-1.0,9175278.0,99.87650844029018,692417536.0,18077915.42857143,1242177.0714285714,575203492.5714285,-1.0,-1.0,-1.0,53166939.428571425,9462842.857142856,949555081.2790178,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,1978.0,4421501746.0,2361.0,3.0,61.0,60.0,66.0,49.0,40.0,43.0,72.0,545.0,2.0,19.722962379455566,3196.0,2.0,59.0,2.2979536056518555
0.07,0.3297824604170663,6.03194808959961,0.01840044717703546,8.695789882114955,0.21741611616952078,-1.0,-1.0,-1.0,0.23355630040168762,-1.0,2.969083445412772,0.17462307214736938,545075785.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.48901953016009,545000000.0,-1.0,2262475.285714286,99.87650844029018,226670061.7142857,4482977.785714285,208715.08035714287,194501504.0,-1.0,-1.0,-1.0,14878554.57142857,2350987.9821428573,340576416.23660713,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,1978.0,4421501746.0,2361.0,3.0,61.0,60.0,66.0,49.0,40.0,43.0,72.0,545.0,2.0,19.722962379455566,3196.0,2.0,59.0,2.2979536056518555
0.08,0.7740929509912219,31.099851880754745,0.4669893588475783,11.828094414302281,0.6204691523952144,-1.0,-1.0,-1.0,0.5317643827625683,-1.0,4.05680056980678,0.17476332187652588,544869421.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.64849598067148,545000000.0,-1.0,13912219.299107144,94.39300537109375,997095656.0,24486275.965820312,1961325.1339285714,787845051.0714285,-1.0,-1.0,-1.0,79337165.71428572,13573886.965820312,1355497718.6808035,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,1978.0,4421501746.0,2361.0,3.0,61.0,60.0,66.0,49.0,40.0,43.0,72.0,545.0,2.0,19.722962379455566,3196.0,2.0,59.0,2.2979536056518555
0.09,0.8669804930686951,9.784900029500326,0.042146204660336146,7.535693486531575,0.23531951010227203,-1.0,-1.0,-1.0,0.30717597405115765,-1.0,5.598729213078816,0.17476332187652588,544993216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.04203383127849,545000000.0,-1.0,10042479.75,94.39300537109375,661605376.0,20030505.083333332,1288530.75,547363776.0,-1.0,-1.0,-1.0,62191688.0,10476297.333333334,886788305.8802084,0.2557416558265686,377.0,69.0,7965.0,1.0,25.305883407592773,1978.0,4421501746.0,2361.0,3.0,61.0,60.0,66.0,49.0,40.0,43.0,72.0,545.0,2.0,19.722962379455566,3196.0,2.0,59.0,2.2979536056518555
