Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.8658706545829773,24.42551040649414,0.0373255503363907,13.027827739715576,12.493342399597168,0.7197096645832062,24.22606658935547,73.79561614990234,156.54051971435547,0.5182297825813293,0.1849963665008545,2.7051289081573486,0.15142997726798058,545020496.0,1.5020244717597961,2.99569034576416,57004922880.0,98609221632.0,6476364544.0,112785899520.0,1914779008.0,63.82946062088013,545000000.0,0.12823018431663513,12326821.0,90.22716903686523,921643080.40625,24219795.0,1658111.375,769488480.0,-1.0,0.36280152201652527,1974577408.0,70112018.0,12781886.0,1291211617.6523438,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2013.0,5018918277.0,2361.0,3.0,55.0,54.0,59.0,45.0,45.0,31.0,72.0,545.0,2.0,18.72086673974991,3196.0,2.0,65.0,2.272057294845581
0.01,0.8250044584274292,17.071877207074845,0.1311953497518386,10.006655011858259,10.174992425101143,0.2304141798189708,25.551717485700333,76.99915858677456,141.38024684361048,0.43287516491753714,0.17947148425238474,3.3682682514190674,0.15142997726798058,544982811.4285715,1.424501589366368,3.381832940237863,48839942144.0,72771717412.57143,4876325888.0,90102123958.85715,1353738715.4285715,68.59823499407086,545000000.0,0.12139873845236641,8284867.571428572,90.22716903686523,700176502.8571428,16328924.57142857,1517419.2857142857,586048758.8571428,-1.0,0.5056807824543544,1371940425.142857,53003724.571428575,8548264.285714285,941856796.9107143,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2013.0,5018918277.0,2361.0,3.0,55.0,54.0,59.0,45.0,45.0,31.0,72.0,545.0,2.0,18.72086673974991,3196.0,2.0,65.0,2.272057294845581
0.02,0.2686042445046561,6.735731942313058,0.006380544177123471,4.032395771571568,3.839524950299944,0.2567790576389858,6.985410962785993,20.631637573242188,44.02190726143973,0.14784014225006104,0.05679219535418918,0.7375048909868512,0.15142997726798058,545036982.8571428,0.46120749201093403,0.8679778916495187,15152680374.857143,25990573494.857143,1858452480.0,30006420626.285713,500155209.14285713,89.7704086303711,545000000.0,0.035648684416498454,3125040.0,90.22716903686523,249401069.7142857,6148458.857142857,498775.89285714284,209466185.14285713,-1.0,0.11833344187055315,486715026.28571427,16695866.285714285,3234044.8571428573,365138380.70758927,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2013.0,5018918277.0,2361.0,3.0,55.0,54.0,59.0,45.0,45.0,31.0,72.0,545.0,2.0,18.72086673974991,3196.0,2.0,65.0,2.272057294845581
0.03,1.204012393951416,21.331983293805802,0.0514035185000726,14.400494984218053,14.213479450770787,0.6103080000196185,31.057271684919083,98.68269566127232,198.2103227887835,0.558288540158953,0.23288089036941528,4.991240807941982,0.15142997726798058,544993673.1428572,1.8414310727800642,4.317783423832485,61532843446.85714,94870330221.71428,6477969700.571428,115445977673.14285,1779306477.7142856,58.428384235927034,545000000.0,0.15504408308437892,11070804.92857143,90.22716903686523,912502985.1428572,21829889.14285714,1858892.9285714286,764379017.1428572,-1.0,0.641820626599448,1801099538.2857144,66768966.85714286,11441989.07142857,1253124241.3482144,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2013.0,5018918277.0,2361.0,3.0,55.0,54.0,59.0,45.0,45.0,31.0,72.0,545.0,2.0,18.72086673974991,3196.0,2.0,65.0,2.272057294845581
0.04,1.249022126197815,21.169417245047434,0.01709679939917153,14.524393899100167,14.175436292375837,0.6020726252879415,31.074690137590682,99.3900887625558,200.33125959123885,0.5548382571765355,0.23196287240300859,4.98128570829119,0.15142997726798058,545011958.8571428,1.8501126085008894,4.365620953696115,62965289545.14286,97045406866.28572,6624263168.0,118112258340.57143,1820424630.857143,58.636174883161274,545000000.0,0.1543482861348561,11230918.285714285,90.22716903686523,932976530.2857143,22137976.285714287,1885000.125,782270848.0,-1.0,0.6389781492097037,1829687789.7142856,68140717.71428572,11601433.357142856,1282308331.4174106,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2013.0,5018918277.0,2361.0,3.0,55.0,54.0,59.0,45.0,45.0,31.0,72.0,545.0,2.0,18.72086673974991,3196.0,2.0,65.0,2.272057294845581
0.05,0.49760008603334427,24.932498931884766,0.047424640739336596,5.781726598739624,6.454105377197266,0.38496697694063187,20.037659645080566,51.68979358673096,87.37834167480469,0.3602728173136711,0.12349645048379898,2.14258873462677,0.15142997726798058,544939376.0,1.1349402219057083,1.5537161715328693,30040056304.0,40653901824.0,3081274795.75,53448283800.0,701911146.875,68.53429615497589,545000000.0,0.07112309336662292,7755826.75,90.22716903686523,487522908.0,14375649.125,1464378.40625,369464352.0,-1.0,0.18017717450857162,1184073632.0,42424678.5,7892291.8125,506014532.12890625,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2013.0,5018918277.0,2361.0,3.0,55.0,54.0,59.0,45.0,45.0,31.0,72.0,545.0,2.0,18.72086673974991,3196.0,2.0,65.0,2.272057294845581
0.06,0.7581647123609271,6.738491603306362,0.005404017865657786,7.405297960553851,6.511467797415597,0.26969795940177776,13.39895248413086,52.839878627232146,135.81226457868303,0.24194311244147165,0.09227474459580012,3.27875178200858,0.15142997726798058,544995081.1428572,0.7747573852539062,2.3890438761029924,30398000566.857143,53390383981.71429,3287047460.571429,60380240749.71429,1075187894.857143,80.20741162981305,545000000.0,0.07307463245732444,4063393.1428571427,90.22716903686523,459454409.14285713,7354302.357142857,834181.8214285715,381686052.5714286,-1.0,0.3515830210277012,632649581.7142857,27013096.0,3885719.75,785142716.8616072,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2013.0,5018918277.0,2361.0,3.0,55.0,54.0,59.0,45.0,45.0,31.0,72.0,545.0,2.0,18.72086673974991,3196.0,2.0,65.0,2.272057294845581
0.07,1.1874558244432722,21.893162318638392,0.056861919350922066,14.297390256609235,14.412404196602958,0.6171072806630816,32.15990230015346,96.15142386300224,187.04793875558036,0.5683879256248474,0.2522557462964739,4.8537532942635675,0.15142997726798058,545011136.0,1.9578511374337333,4.1387152671813965,60593558674.28571,94010391990.85715,6379748790.857142,113978504923.42857,1770229284.5714285,57.399200030735564,545000000.0,0.15723881551197597,10672726.642857144,90.22716903686523,901415579.4285715,20998857.14285714,1827673.9285714286,754028662.8571428,-1.0,0.5870979257992336,1741524589.7142856,66031517.71428572,11007109.57142857,1245291207.7566965,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2013.0,5018918277.0,2361.0,3.0,55.0,54.0,59.0,45.0,45.0,31.0,72.0,545.0,2.0,18.72086673974991,3196.0,2.0,65.0,2.272057294845581
0.08,0.9847291026796613,14.171480996268135,0.7694700110171523,10.390569414411273,10.34738268171038,0.31553004682064056,23.47114018031529,75.4375501360212,160.10166495186942,0.39595047916684833,0.17349468810217722,4.192262240818569,0.15142997726798058,545005549.7142857,1.3746681213378906,3.214018072400774,48181709092.57143,71857781613.71428,4792829001.142858,88903428388.57143,1339313280.0,69.67274257114956,545000000.0,0.11752579893384661,7964883.714285715,90.22716903686523,686276370.2857143,15641611.214285715,1305598.267857143,575757129.1428572,-1.0,0.4301825165748596,1317706733.7142856,51081261.14285714,8185717.285714285,933407733.5290178,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2013.0,5018918277.0,2361.0,3.0,55.0,54.0,59.0,45.0,45.0,31.0,72.0,545.0,2.0,18.72086673974991,3196.0,2.0,65.0,2.272057294845581
0.09,0.26540124416351324,6.73959732055664,0.0675233176776341,4.119547435215542,3.773160117013114,0.30772290910993305,6.985358101981027,20.629405430385045,44.036220005580354,0.14784630707332067,0.0569131076335907,0.7536405154636928,0.15142997726798058,544982628.5714285,0.46150122370038715,0.8679443768092564,15156096438.857143,25992055076.57143,1859924699.4285715,30012049700.57143,500227986.28571427,89.80550030299595,545000000.0,0.03548646398953029,3127508.0,90.22716903686523,250249910.85714287,6153181.714285715,459897.46428571426,209749376.0,-1.0,0.11836346558162145,487068342.85714287,17075334.85714286,3236733.714285714,366697113.27008927,0.2025167942047119,371.0,69.0,7951.0,1.0,24.509668350219727,2013.0,5018918277.0,2361.0,3.0,55.0,54.0,59.0,45.0,45.0,31.0,72.0,545.0,2.0,18.72086673974991,3196.0,2.0,65.0,2.272057294845581
