Time (s),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.28,1.0817008018493652,1130.0,451.0,12214.0,5.0,23.120620727539062,3086.0,2830557012.0,1920.0,3.0,43.0,43.0,48.0,19.0,20.0,15.0,72.0,545.0,2.0,26.71353816986084,3196.0,2.0,2.0,2.449658155441284
0.28,2523.318359375,1130.0,451.0,12214.0,5.0,23.120620727539062,3086.0,2830557012.0,1920.0,3.0,43.0,43.0,48.0,19.0,20.0,15.0,72.0,545.0,2.0,26.71353816986084,3196.0,2.0,2.0,2.449658155441284
0.3,1.0795516967773438,146.0,2.0,6661.0,1.0,23.120620727539062,3086.0,2830557012.0,1920.0,3.0,43.0,43.0,48.0,19.0,20.0,15.0,72.0,545.0,2.0,26.71353816986084,3196.0,2.0,2.0,2.449658155441284
1.0,1.0456271171569824,1130.0,451.0,12214.0,5.0,22.99769592285156,3086.0,2830557012.0,1920.0,3.0,47.0,48.0,51.0,29.0,25.0,29.0,72.0,545.0,2.0,26.726144552230835,3196.0,2.0,2.0,2.450432538986206
1.28,2523.318359375,1130.0,451.0,12214.0,5.0,22.99769592285156,3086.0,2830557012.0,1920.0,3.0,47.0,48.0,51.0,29.0,25.0,29.0,72.0,545.0,2.0,26.726144552230835,3196.0,2.0,2.0,2.450432538986206
1.3,1.0821902751922607,146.0,2.0,6661.0,1.0,22.99769592285156,3086.0,2830557012.0,1920.0,3.0,47.0,48.0,51.0,29.0,25.0,29.0,72.0,545.0,2.0,26.726144552230835,3196.0,2.0,2.0,2.450432538986206
2.0,1.0818710327148438,1130.0,451.0,12214.0,5.0,23.008869171142575,3086.0,2830557012.0,1920.0,3.0,48.0,47.0,51.0,31.0,21.0,21.0,72.0,545.0,2.0,26.717180013656616,3196.0,2.0,2.0,2.4480714797973637
2.28,2523.318359375,1130.0,451.0,12214.0,5.0,23.008869171142575,3086.0,2830557012.0,1920.0,3.0,48.0,47.0,51.0,31.0,21.0,21.0,72.0,545.0,2.0,26.717180013656616,3196.0,2.0,2.0,2.4480714797973637
2.3,1.0786974430084229,146.0,2.0,6661.0,1.0,23.008869171142575,3086.0,2830557012.0,1920.0,3.0,48.0,47.0,51.0,31.0,21.0,21.0,72.0,545.0,2.0,26.717180013656616,3196.0,2.0,2.0,2.4480714797973637
3.0,1.048085331916809,1130.0,451.0,12214.0,5.0,22.84421730041504,3086.0,2830557012.0,1920.0,3.0,44.0,41.0,45.0,13.0,23.0,14.0,72.0,545.0,2.0,26.714101433753967,3196.0,2.0,2.0,2.4485785961151123
3.29,2523.318359375,1130.0,451.0,12214.0,5.0,22.84421730041504,3086.0,2830557012.0,1920.0,3.0,44.0,41.0,45.0,13.0,23.0,14.0,72.0,545.0,2.0,26.714101433753967,3196.0,2.0,2.0,2.4485785961151123
3.3,1.080211162567139,146.0,2.0,6661.0,1.0,22.84421730041504,3086.0,2830557012.0,1920.0,3.0,44.0,41.0,45.0,13.0,23.0,14.0,72.0,545.0,2.0,26.714101433753967,3196.0,2.0,2.0,2.4485785961151123
4.0,1.0464845895767212,1130.0,451.0,12214.0,5.0,22.63111686706543,3086.0,2830557012.0,1920.0,3.0,44.0,41.0,50.0,18.0,13.0,17.0,72.0,545.0,2.0,26.69980227947235,3196.0,2.0,2.0,2.447318315505981
