time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
5.204,,5710000,1509000,1387000,1371000,2620000,6873000,0,5000,4000,219000,65000,65000,2461000,5499000,7960000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
5.403,,5710000,1420000,1663000,1371000,754000,6888000,0,5000,11000,219000,68000,65000,2449000,5988000,8437000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
5.604,,5710000,1531000,1259000,1109000,3311000,6888000,0,5000,11000,269000,68000,65000,2434000,6504000,8938000,25000000,122,119.3,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
5.804,,5740000,1509000,1267000,1129000,838000,6873000,0,5000,11000,269000,68000,65000,2480000,5425000,7905000,25000000,122,119.3,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
6.004,,5740000,1553000,1483000,1351000,754000,6873000,0,5000,4000,269000,68000,65000,2450000,10539000,12989000,25000000,122,119.3,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
6.204,,5740000,1398000,1520000,1068000,838000,6873000,0,5000,11000,226000,68000,65000,2562000,4879000,7441000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
6.404,,5853000,1509000,1496000,1008000,105000,7028000,0,5000,7000,226000,68000,68000,2583000,5955000,8538000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
6.604,,5853000,1487000,1362000,1048000,482000,7028000,0,5000,4000,246000,83000,68000,2551000,5399000,7950000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
6.804,,5853000,1620000,1362000,1351000,105000,7028000,10000,32000,4000,246000,68000,68000,2529000,5353000,7882000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.775,121.325,117.8366
7.004,,6234000,1420000,1267000,1471000,105000,7492000,0,32000,4000,246000,68000,65000,2519000,5237000,7756000,25000000,122,119.3,96.8,114.9116,120.425,118.175,112.6616,121.2116,117.8366
7.204,,6234000,1420000,1411000,1129000,796000,7492000,0,32000,4000,224000,72000,65000,2512000,4977000,7489000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.6616,121.2116,117.8366
7.403,,6234000,1273000,1306000,1331000,838000,7492000,0,32000,4000,224000,65000,65000,2397000,5215000,7612000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.6616,121.2116,117.8366
7.603,,6500000,1376000,1315000,1351000,104000,7433000,0,5000,11000,224000,65000,65000,2390000,5399000,7789000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.6616,121.2116,117.8366
7.803,,6500000,1207000,1544000,1229000,105000,7433000,0,5000,7000,218000,68000,65000,2357000,4356000,6713000,25000000,122,119.3,96.8,114.9116,120.425,118.175,112.6616,121.2116,117.8366
8.003,,6478000,1353000,1473000,2277000,5626000,7433000,0,5000,11000,218000,68000,68000,2343000,4860000,7203000,25000000,122,119.3,96.8,114.9116,120.425,118.175,112.6616,121.2116,117.8366
8.203,,6478000,1398000,1401000,2440000,5649000,7654000,0,5000,11000,218000,65000,65000,2384000,5085000,7469000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.6616,121.2116,117.8366
8.403,,6478000,1287000,1339000,1471000,105000,7654000,0,5000,11000,222000,68000,65000,2355000,4917000,7272000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.6616,121.2116,117.8366
8.603,,6234000,1376000,1411000,1734000,105000,7654000,0,5000,7000,222000,65000,65000,2377000,4589000,6966000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.6616,121.2116,117.8366
8.804,,6234000,1376000,1267000,1492000,105000,7451000,0,5000,11000,222000,65000,65000,2379000,5363000,7742000,25000000,122,118.85,96.8,114.9116,120.425,118.175,112.6616,121.2116,117.8366
9.004,,6234000,1487000,1339000,2590000,105000,7451000,0,5000,4000,246000,68000,65000,2501000,5921000,8422000,25000000,122,119.3,96.8,114.8,120.425,118.175,112.6616,121.2116,117.8366
9.204,,6137000,1598000,1473000,1673000,105000,7451000,0,5000,4000,246000,68000,65000,2474000,4376000,6850000,25000000,122,118.85,96.8,114.8,120.425,118.175,112.6616,121.2116,117.8366
9.403,,6137000,1430000,1306000,1670000,104000,7238000,0,5000,11000,246000,68000,65000,2562000,6188000,8750000,25000000,122,118.85,96.8,114.8,120.425,118.175,112.6616,121.2116,117.8366
