Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,0.4880527257919312,10.98811435699463,0.2272530794143677,8.36945629119873,0.33157581090927124,-1.0,-1.0,-1.0,0.29798927903175354,-1.0,1.43094801902771,0.452392727136612,545118192.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.47420382499695,545000000.0,-1.0,2868904.5,88.33922576904297,56503180.0,6541519.5,90459.3671875,26821202.0,-1.0,-1.0,-1.0,19573144.0,3419611.25,2331341.0859375,1.1379519701004028,445.0,39.0,11678.0,5.0,24.45045280456543,2466.0,3935720402.0,1920.0,3.0,50.0,48.0,57.0,45.0,36.0,32.0,90.0,545.0,2.0,36.14766597747803,3196.0,1.0,17.0,2.4780828952789307
0.01,0.7415292773927961,19.27524048941476,0.5906106276171548,11.327961785452706,0.28076095466635054,-1.0,-1.0,-1.0,0.4019274115562439,-1.0,3.2346147128513882,8.225963882037572,544930806.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.810044169425964,545000000.0,-1.0,9705574.857142856,154.1396702357701,946620122.2857143,15370675.120256696,3136091.4285714286,754472411.4285715,-1.0,-1.0,-1.0,66544684.571428575,8875525.977399554,1250304009.3549106,1.1379519701004028,445.0,39.0,11678.0,5.0,24.45045280456543,2466.0,3935720402.0,1920.0,3.0,50.0,48.0,57.0,45.0,36.0,32.0,90.0,545.0,2.0,36.14766597747803,3196.0,1.0,17.0,2.4780828952789307
0.02,9.603913754224777,27.694705963134766,0.11585669685155152,9.986643314361572,0.25618112087249756,-1.0,-1.0,-1.0,1.753492593765259,-1.0,2.901659309864044,9.694371469318867,544878904.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.668889462947845,545000000.0,-1.0,10293068.846679688,277.32779693603516,927535532.0,17317047.813476562,22499097.3125,696421184.0,-1.0,-1.0,-1.0,76291630.0,9826381.755859375,1164694678.2285156,1.1379519701004028,445.0,39.0,11678.0,5.0,24.45045280456543,2466.0,3935720402.0,1920.0,3.0,50.0,48.0,57.0,45.0,36.0,32.0,90.0,545.0,2.0,36.14766597747803,3196.0,1.0,17.0,2.4780828952789307
0.03,0.8332312788282122,17.187177930559432,0.046868653967976535,11.249851499285016,0.24954604038170405,-1.0,-1.0,-1.0,0.4221579262188503,-1.0,3.0951525143214633,7.850108776773725,544884635.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.790860073907034,545000000.0,-1.0,9452853.0,182.26240757533483,850893849.8214285,16216680.692243304,2673443.714285714,672448749.7142857,-1.0,-1.0,-1.0,65436385.14285714,9092119.263671875,1091812823.482143,1.1379519701004028,445.0,39.0,11678.0,5.0,24.45045280456543,2466.0,3935720402.0,1920.0,3.0,50.0,48.0,57.0,45.0,36.0,32.0,90.0,545.0,2.0,36.14766597747803,3196.0,1.0,17.0,2.4780828952789307
0.04,1.016769860471998,25.292404447283065,0.02774084060053737,15.133711678641182,0.3968908041715622,-1.0,-1.0,-1.0,0.5633953724588666,-1.0,4.136625902993338,9.145712886537824,544896338.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.83339898926871,545000000.0,-1.0,11428050.42857143,204.90155029296875,983446614.8571428,19151982.273856025,3216012.1071428573,774238034.2857143,-1.0,-1.0,-1.0,77780704.0,10874522.559570312,1267915997.9910715,1.1379519701004028,445.0,39.0,11678.0,5.0,24.45045280456543,2466.0,3935720402.0,1920.0,3.0,50.0,48.0,57.0,45.0,36.0,32.0,90.0,545.0,2.0,36.14766597747803,3196.0,1.0,17.0,2.4780828952789307
0.05,1.0155496426991055,25.560707364763534,0.036124502840851,16.220511027744838,0.43764254424188814,-1.0,-1.0,-1.0,0.5695469975471497,-1.0,4.039443016052246,7.334313903536115,544906624.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.93706512451172,545000000.0,-1.0,11639024.0,209.5977826799665,1003808990.8571428,19466051.870256696,3010205.2589285714,790089133.7142857,-1.0,-1.0,-1.0,79078945.14285715,11064970.870256696,1288941255.5066965,1.1379519701004028,445.0,39.0,11678.0,5.0,24.45045280456543,2466.0,3935720402.0,1920.0,3.0,50.0,48.0,57.0,45.0,36.0,32.0,90.0,545.0,2.0,36.14766597747803,3196.0,1.0,17.0,2.4780828952789307
0.06,1.0025246824537004,25.91679927280971,0.0650746996647545,14.54696764264788,0.42362314462661743,-1.0,-1.0,-1.0,0.5670835716383797,-1.0,4.079109873090472,9.798696603093829,544878637.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.612640108381,545000000.0,-1.0,10900229.42857143,202.2374485560826,1353230102.857143,18164533.14285714,2905765.2678571427,1142146532.5714285,-1.0,-1.0,-1.0,74216858.28571428,10348871.42857143,1222222715.1986606,1.1379519701004028,445.0,39.0,11678.0,5.0,24.45045280456543,2466.0,3935720402.0,1920.0,3.0,50.0,48.0,57.0,45.0,36.0,32.0,90.0,545.0,2.0,36.14766597747803,3196.0,1.0,17.0,2.4780828952789307
0.07,0.7334516218730381,20.94101824079241,0.12421286824558461,11.259711129324776,0.3137277862323182,-1.0,-1.0,-1.0,0.4188105123383658,-1.0,3.1524721554347446,0.29366918972560335,544956745.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.25149674074991,545000000.0,-1.0,9147360.857142856,102.98728724888393,719950094.8571428,14668604.513392856,2641946.1428571427,568481106.2857143,-1.0,-1.0,-1.0,61637587.428571425,8519763.941964285,896250900.609375,1.1379519701004028,445.0,39.0,11678.0,5.0,24.45045280456543,2466.0,3935720402.0,1920.0,3.0,50.0,48.0,57.0,45.0,36.0,32.0,90.0,545.0,2.0,36.14766597747803,3196.0,1.0,17.0,2.4780828952789307
0.08,0.6800870001316071,16.076799631118774,0.215439367108047,9.93847131729126,0.21477680373936892,-1.0,-1.0,-1.0,0.3665589839220047,-1.0,2.6762945652008057,13.39613176882267,544863856.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.40735222399235,545000000.0,-1.0,10440500.25,280.62703704833984,899518362.84375,17593071.569091797,2935543.375,709031488.0,-1.0,-1.0,-1.0,71433799.0,9974504.819091797,1154395415.5273438,1.1379519701004028,445.0,39.0,11678.0,5.0,24.45045280456543,2466.0,3935720402.0,1920.0,3.0,50.0,48.0,57.0,45.0,36.0,32.0,90.0,545.0,2.0,36.14766597747803,3196.0,1.0,17.0,2.4780828952789307
0.09,0.8767482382910592,8.854232558182307,0.04912760600979839,11.672971452985491,0.15245729791266577,-1.0,-1.0,-1.0,0.3107657049383436,-1.0,2.047651903969901,14.805126088006157,544953316.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.57193715231759,545000000.0,-1.0,4806539.848214285,157.81505475725447,577681174.8571428,9524445.760044644,943317.25,460841641.14285713,-1.0,-1.0,-1.0,35255452.571428575,4939128.237723215,761940519.0647322,1.1379519701004028,445.0,39.0,11678.0,5.0,24.45045280456543,2466.0,3935720402.0,1920.0,3.0,50.0,48.0,57.0,45.0,36.0,32.0,90.0,545.0,2.0,36.14766597747803,3196.0,1.0,17.0,2.4780828952789307
