Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.01,1.176084041595459,25.0,0.1616028451493808,0.15924374759197235,19.362390518188477,8.296008110046387,5.263013362884522,0.111579529941082,0.4724669456481933,8.408374786376953,10.505189895629883,4.160895824432373,10.44719696044922,14.552803039550781,0.4016358256340027,15.212644577026367,30.240478515625,3.76465630531311,0.22704605758190155,0.2866370379924774,1.419956922531128,11.978145599365234,544968960.0,1.3684382438659668,0.6879593133926392,1711366656.0,2535854080.0,267999376.0,3247292928.0,22020816.0,76.93547570705414,545000000.0,0.06252598017454147,6936736.5,88.01848602294922,85004728.0,9696292.0,1104103.875,29844604.0,0.453758031129837,0.0827115997672081,779376192.0,35781980.0,6299835.0,77901757.63085938,1.0640968084335327,470.0,56.0,11736.0,5.0,26.303125381469727,2344.0,6225660304.0,1920.0,3.0,50.0,44.0,50.0,24.0,18.0,38.0,90.0,545.0,2.0,36.01392209529877,3196.0,2.0,21.0,2.4768407344818115
0.01,25.092755998883927,17.66594069344657,0.1616028451493808,1.0896713903972082,10.2569059224001,32.67065865652902,22.871546064104354,0.15034192587648118,6.43376214163644,11.132232121058873,33.7870123726981,9.359999520438057,41.13617052350725,1.720972282545907,0.17509818928582327,27.477949959891184,84.457763671875,171.9106728690011,0.40170761517116,0.1717020102909633,4.566970484597342,17.237153240612574,544886646.8571428,1.4991863795689173,3.6678312165396556,81692531565.71428,104001486848.0,7166516224.0,140859792237.7143,1840896036.5714285,64.25491986955915,545000000.0,0.11566520588738578,7338369.857142857,255.31583513532365,979978697.1428572,13446152.714285715,23112349.07142857,762253714.2857143,0.4469001293182373,0.5522331254822868,1355317558.857143,60203092.571428575,7178787.785714285,1262525529.8950894,1.0640968084335327,470.0,56.0,11736.0,5.0,26.303125381469727,2344.0,6225660304.0,1920.0,3.0,50.0,44.0,50.0,24.0,18.0,38.0,90.0,545.0,2.0,36.01392209529877,3196.0,2.0,21.0,2.4768407344818115
0.02,25.90081569126674,31.53865650721959,0.2397219283240182,0.9836877158709935,25.926600319998606,38.79743685041155,25.01739992414202,0.46739147922822405,6.66445255279541,16.04294858660017,41.04294095720564,12.279364722115654,48.95527866908482,8.18757861001151,0.4041531043393271,36.67433112008231,92.61643436976841,158.4274411882673,0.5473100032125201,0.32507232257298063,4.44548579624721,15.159534454345705,544856347.4285715,2.3231608186449324,3.498770236968994,82687892480.0,105446405705.14285,7344031981.714286,142755126125.7143,1851203451.4285715,51.30212933676584,545000000.0,0.15665494118418014,11489651.142857144,307.5266767229353,1068394706.765625,19330354.0,47845266.678571425,782940859.4285715,0.6477685144969395,0.47122504455702646,1832284160.0,81702153.14285715,10971389.57142857,1337351159.700893,1.0640968084335327,470.0,56.0,11736.0,5.0,26.303125381469727,2344.0,6225660304.0,1920.0,3.0,50.0,44.0,50.0,24.0,18.0,38.0,90.0,545.0,2.0,36.01392209529877,3196.0,2.0,21.0,2.4768407344818115
0.03,32.03739765712193,25.55592209952218,0.1625578169311796,1.170437949044364,20.301286331244878,42.17913382393973,32.9181752886091,0.1325332564967019,9.118883541652135,14.936915806361608,44.17039489746094,12.554517473493304,53.10548727852957,4.037370238985334,0.37559603580406736,36.66318947928293,97.81070164271763,175.17878941127233,0.5718237672533307,0.24646207690238953,4.59848369870867,10.302713521889277,544854454.8571428,2.048877102988107,4.003329958234515,79366675309.71428,101179688082.28572,7011005842.285714,136967523766.85715,1778914962.2857144,51.87085287911551,545000000.0,0.158051358801978,10514584.857142856,236.8953813825335,943980781.7142857,17878822.85714286,2834857.25,745152630.8571428,0.6113422427858625,0.5788404473236629,1701415094.857143,72825322.28571428,10080863.142857144,1211888696.90625,1.0640968084335327,470.0,56.0,11736.0,5.0,26.303125381469727,2344.0,6225660304.0,1920.0,3.0,50.0,44.0,50.0,24.0,18.0,38.0,90.0,545.0,2.0,36.01392209529877,3196.0,2.0,21.0,2.4768407344818115
0.04,25.581574967929296,24.201971871512278,7.881150296756199,10.992475594793047,30.530030931745255,40.175315856933594,35.88506509576525,0.05931962246540932,11.978297369820732,11.271538598196846,36.31694548470633,9.584654501506261,54.572914123535156,2.5699430193219865,0.25416977650352884,34.843644278390066,69.80137416294643,485.1852591378348,1.2921239222799028,0.17311264787401473,3.0239296640668596,7.979767901556833,544929243.4285715,1.6191949078014918,2.697209221976144,77485257801.14285,99004701366.85715,6888807557.714286,133876417974.85715,1744110153.142857,44.442018491881235,545000000.0,0.18176090717315674,10645425.813197544,182.4627729143415,1326065580.0,18125321.60267857,2770548.714285714,1116043977.142857,0.53066143819264,0.3667704973902021,1718651209.142857,72453546.28571428,10232443.620535715,1208310158.9642856,1.0640968084335327,470.0,56.0,11736.0,5.0,26.303125381469727,2344.0,6225660304.0,1920.0,3.0,50.0,44.0,50.0,24.0,18.0,38.0,90.0,545.0,2.0,36.01392209529877,3196.0,2.0,21.0,2.4768407344818115
0.05,35.84337397984096,20.358564240591868,1.7625117983136858,1.3078239653259516,27.499995640345983,44.336319991520476,38.94081762858799,0.05872746929526328,10.738098417009626,14.98570305960519,45.12907430103847,11.547301958714213,55.29734366280692,16.131226573671615,0.3579170735818999,37.10924802507673,89.27616228376117,241.07224818638392,0.5531840563884803,0.2136718886239188,3.9854535375322615,11.686314105987549,544892964.5714285,1.9007940292358398,3.1928547663348064,85975863588.57143,109713949549.71428,7628784822.857142,148461620077.7143,1925901586.2857144,42.89137755121504,545000000.0,0.15356434668813432,11887231.05357143,210.18106079101562,1029671849.1428572,20095818.583426338,3104862.6651785714,812390155.4285715,0.5751499874251229,0.43676734822137014,1904331666.2857144,81007448.0,11373374.58342634,1314809022.720982,1.0640968084335327,470.0,56.0,11736.0,5.0,26.303125381469727,2344.0,6225660304.0,1920.0,3.0,50.0,44.0,50.0,24.0,18.0,38.0,90.0,545.0,2.0,36.01392209529877,3196.0,2.0,21.0,2.4768407344818115
0.06,21.794301986694336,15.705698490142824,1.7625117983136858,9.618361450731754,26.76784634590149,27.998581886291504,20.024035036563873,0.11262372694909571,5.324580788612366,9.83536148071289,29.0470552444458,8.101839303970337,35.270344734191895,2.2296545803546906,0.23835093947127461,24.058541297912598,60.9790153503418,117.52233123779297,1.7592652291059496,0.15167448669672012,2.8691707849502563,22.207153618335724,544828896.0,1.3180909156799316,2.356047511100769,70876485632.0,90394103808.0,6294890112.0,122368428032.0,1586863968.0,56.90531677007675,545000000.0,0.10147806257009505,9818274.442504883,309.76856994628906,893286808.5,16587111.367675781,21113888.375,670525440.0,0.39267390966415405,0.3203773945569992,1569874240.0,73092700.0,9399854.323730469,1120553901.9414062,1.0640968084335327,470.0,56.0,11736.0,5.0,26.303125381469727,2344.0,6225660304.0,1920.0,3.0,50.0,44.0,50.0,24.0,18.0,38.0,90.0,545.0,2.0,36.01392209529877,3196.0,2.0,21.0,2.4768407344818115
0.07,24.841232299804688,18.191065107073104,1.7625117983136858,0.9459849936621529,27.694786616734095,33.51157365526472,26.27979714529855,0.02648772352508134,6.934348242623465,11.367227826799665,34.851873534066335,9.583577828747886,40.92103140694754,16.221825293132238,0.3984320802348001,27.401350293840682,89.21025630405971,127.46063232421875,0.557559677532741,0.17669973628861563,3.969705581665039,22.250123747757502,544874532.5714285,1.5186963421957833,3.1881773514407024,78694240841.14285,101215357220.57143,7101923328.0,136403842779.42857,1760969728.0,50.53931335040501,545000000.0,0.116538405418396,11666629.714285715,265.5976824079241,983681186.2857143,20059577.42857143,3327842.5714285714,767492041.1428572,0.4508323669433594,0.4361203227724348,1899606930.2857144,80423000.0,11362588.57142857,1127990612.247768,1.0640968084335327,470.0,56.0,11736.0,5.0,26.303125381469727,2344.0,6225660304.0,1920.0,3.0,50.0,44.0,50.0,24.0,18.0,38.0,90.0,545.0,2.0,36.01392209529877,3196.0,2.0,21.0,2.4768407344818115
0.08,25.444264548165457,16.614829472133092,1.2302003587995256,0.866701722943357,23.54000745500837,33.74684613091605,27.602590833391464,0.014141246751283398,6.233673095703125,11.186938694545201,34.5690712928772,9.055675280945641,41.48048836844308,15.662369659968785,0.4188359753627862,27.761881147112167,65.02045331682477,181.150630405971,0.40987868287733625,0.157766831772668,3.0008160727364674,20.78946510383061,544910701.7142857,1.4257030487060547,2.134317010641098,58610379629.71429,74162315264.0,5065598829.714286,100757136530.28572,1295619529.142857,51.63687344959804,545000000.0,0.11426048832280296,9105740.982142856,205.39607892717635,721531842.2857143,14849180.498465402,2523668.6316964286,549119766.8571428,0.44352223191942486,0.2802470326423645,1414844233.142857,61792490.28571428,8605690.784179688,860092578.453125,1.0640968084335327,470.0,56.0,11736.0,5.0,26.303125381469727,2344.0,6225660304.0,1920.0,3.0,50.0,44.0,50.0,24.0,18.0,38.0,90.0,545.0,2.0,36.01392209529877,3196.0,2.0,21.0,2.4768407344818115
0.09,24.39008821759905,18.17089353288923,0.504711389541626,0.9143812911851066,14.319390160696846,32.10048457554409,29.410932268415177,0.012597027234733086,8.164376395089286,11.410723005022321,33.0967036655971,9.234509331839424,40.679344177246094,2.1777993781226024,0.17906964463847025,27.89422389439174,80.65761893136161,174.95979963030135,0.33043588059289114,0.17085121359143937,3.214895248413086,0.8632946951048714,544918171.4285715,1.5408120495932442,3.35720123563494,54779261513.14286,68730682221.71428,4964069156.571428,94108673170.28572,1221129472.0,66.59371021815709,545000000.0,0.1146719115121024,7655494.107142857,201.21209716796875,630725988.5714285,11409425.392857144,2278371.0,521619364.5714286,0.4375528608049665,0.5935433677264622,1061460150.8571428,45891356.85714286,6735166.267857143,952180664.5424107,1.0640968084335327,470.0,56.0,11736.0,5.0,26.303125381469727,2344.0,6225660304.0,1920.0,3.0,50.0,44.0,50.0,24.0,18.0,38.0,90.0,545.0,2.0,36.01392209529877,3196.0,2.0,21.0,2.4768407344818115
