time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,5993000,1265000,1449000,1129000,105000,6891000,135000,0,5000,7000,68000,68000,2339000,3615000,5954000,25000000,125.6,122.45,91.22,118.2866,123.575,121.55,115.475,124.5866,121.325
0.203,,5993000,1028000,1243000,733000,523000,6891000,236000,0,5000,4000,68000,68000,2345000,4234000,6579000,25000000,125.6,122,91.22,118.2866,123.575,121.55,115.475,124.5866,121.325
0.403,,5993000,1398000,1449000,1552000,105000,6891000,236000,0,5000,11000,68000,68000,2392000,4821000,7213000,25000000,125.6,122,91.22,118.2866,123.575,121.55,115.475,124.5866,121.325
0.603,,6225000,1398000,1853000,1331000,105000,7081000,236000,0,5000,4000,68000,68000,2457000,4204000,6661000,25000000,125.6,122.45,91.22,118.2866,123.575,121.55,115.475,124.5866,121.325
0.803,,6225000,1073000,1900000,1884000,105000,7081000,269000,0,5000,4000,68000,68000,2412000,5666000,8078000,25000000,125.6,122.45,91.22,118.175,123.575,121.55,115.475,124.475,121.2116
1.004,,6225000,1408000,2304000,1349000,105000,7081000,269000,0,5000,7000,68000,68000,2469000,5562000,8031000,25000000,125.6,122.45,91.22,118.175,123.575,121.55,115.475,124.475,121.2116
1.204,,6338000,1118000,1686000,1551000,105000,7180000,269000,0,5000,7000,68000,68000,2387000,5027000,7414000,25000000,125.6,122.45,91.22,118.175,123.575,121.55,115.475,124.475,121.2116
1.404,,6338000,1140000,1758000,1270000,105000,7180000,288000,0,5000,11000,68000,68000,2364000,4158000,6522000,25000000,125.6,122,91.22,118.175,123.575,121.55,115.475,124.475,121.2116
1.604,,6338000,1050000,1473000,1351000,105000,7180000,288000,0,5000,11000,68000,68000,2409000,7273000,9682000,25000000,125.6,122.45,91.22,118.175,123.575,121.55,115.475,124.475,121.2116
1.803,,6478000,1118000,1924000,1451000,105000,7384000,288000,10000,3000,7000,68000,68000,2406000,7198000,9604000,25000000,125.6,122.45,91.22,118.175,123.4616,121.4366,115.475,124.475,121.325
2.003,,6478000,1118000,1568000,1658000,105000,7384000,221000,20000,3000,7000,68000,68000,2465000,4285000,6750000,25000000,125.6,122.45,91.22,118.175,123.4616,121.4366,115.475,124.475,121.325
2.204,,6478000,1118000,1615000,1270000,105000,7384000,221000,10000,81000,4000,68000,68000,2545000,4797000,7342000,25000000,125.6,122,91.22,118.175,123.4616,121.4366,115.475,124.475,121.325
2.403,,6454000,1073000,1924000,1242000,105000,7422000,221000,0,35000,7000,68000,68000,2439000,6570000,9009000,25000000,125.6,122.45,91.22,118.175,123.4616,121.4366,115.475,124.475,121.325
2.604,,6454000,1184000,1995000,2205000,105000,7422000,246000,0,35000,4000,68000,68000,2455000,7163000,9618000,25000000,125.6,122.45,91.22,118.175,123.4616,121.4366,115.475,124.475,121.325
2.804,,6454000,1140000,1401000,1721000,105000,7422000,246000,0,35000,4000,68000,68000,2421000,6223000,8644000,25000000,125.6,122.45,91.22,118.175,123.575,121.4366,115.475,124.5866,121.2116
3.005,,6265000,1251000,1354000,1593000,105000,7149000,246000,0,8000,4000,68000,68000,2488000,7606000,10094000,25000000,125.6,122.45,91.22,118.175,123.575,121.4366,115.475,124.5866,121.2116
3.204,,6265000,1050000,1449000,1310000,105000,7149000,295000,10000,659000,0,72000,68000,2431000,8513000,10944000,25000000,125.6,122.9,91.22,118.175,123.575,121.4366,115.475,124.5866,121.2116
3.404,,6265000,1073000,1496000,1361000,105000,7371000,295000,0,35000,4000,74000,68000,2457000,4853000,7310000,25000000,125.6,122.45,91.22,118.175,123.575,121.4366,115.475,124.5866,121.2116
3.604,,6420000,1073000,1568000,1006000,858000,7371000,295000,0,35000,4000,68000,68000,2444000,5177000,7621000,25000000,125.6,122.45,91.22,118.175,123.575,121.4366,115.475,124.5866,121.2116
3.804,,6420000,1073000,1544000,833000,104000,7371000,233000,0,35000,4000,68000,68000,2415000,4500000,6915000,25000000,125.6,122.45,91.22,118.175,123.575,121.55,115.475,124.5866,121.325
4.004,,6420000,1073000,1971000,731000,1947000,7378000,233000,0,5000,4000,68000,68000,2425000,3925000,6350000,25000000,125.6,122.45,91.22,118.175,123.575,121.55,115.475,124.5866,121.325
4.204,,6503000,1050000,1663000,751000,838000,7378000,233000,0,659000,0,86000,68000,2389000,5254000,7643000,25000000,125.6,122.45,91.22,118.175,123.575,121.55,115.475,124.5866,121.325
4.404,,6503000,1028000,1449000,856000,2722000,7378000,233000,0,35000,4000,68000,68000,2492000,4376000,6868000,25000000,125.6,122.45,91.22,118.175,123.575,121.55,115.475,124.5866,121.325
4.604,,6469000,1162000,1473000,863000,838000,7357000,233000,0,35000,4000,68000,68000,2451000,3728000,6179000,25000000,125.6,122.45,91.22,118.175,123.575,121.55,115.475,124.5866,121.325
4.804,,6469000,1184000,1781000,921000,858000,7357000,233000,0,35000,4000,68000,68000,2482000,4366000,6848000,25000000,125.6,122.45,91.22,118.2866,123.575,121.55,115.475,124.5866,121.325
5.004,,6469000,1073000,1900000,1275000,3275000,7357000,230000,0,35000,4000,68000,68000,2457000,6157000,8614000,25000000,125.6,122.45,91.22,118.2866,123.575,121.55,115.475,124.5866,121.325
5.205,,6451000,1073000,1639000,927000,921000,7366000,230000,0,5000,4000,68000,68000,2428000,4521000,6949000,25000000,125.6,122.45,91.22,118.2866,123.575,121.55,115.475,124.5866,121.325
5.404,,6451000,1309000,1853000,1391000,2661000,7366000,251000,0,5000,7000,68000,68000,2517000,9376000,11893000,25000000,125.6,122.45,91.22,118.2866,123.575,121.55,115.475,124.5866,121.325
5.603,,6451000,1398000,2399000,1270000,775000,7366000,251000,0,35000,4000,68000,68000,2541000,4235000,6776000,25000000,125.6,122.45,91.22,118.2866,123.575,121.55,115.475,124.5866,121.325
5.803,,6484000,1509000,1520000,751000,796000,7393000,251000,0,35000,4000,68000,68000,2596000,8380000,10976000,25000000,125.6,122.45,91.22,118.2866,123.6866,121.55,115.475,124.5866,121.325
6.003,,6484000,1398000,2043000,1306000,105000,7393000,233000,0,32000,4000,68000,68000,2583000,3969000,6552000,25000000,125.6,122.45,91.22,118.2866,123.6866,121.55,115.475,124.5866,121.325
6.204,,6484000,1243000,2256000,1584000,796000,7393000,233000,0,35000,4000,68000,68000,2496000,4232000,6728000,25000000,125.6,122.45,91.22,118.2866,123.6866,121.55,115.475,124.5866,121.325
