time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
5.004,,6539000,1176000,1401000,1089000,3413000,7232000,229000,0,32000,4000,68000,65000,2300000,8986000,11286000,25000000,120.2,116.15,92.12,113.3366,118.175,116.0366,111.2,119.075,115.925
5.204,,6539000,1184000,1243000,813000,3250000,7232000,226000,0,32000,4000,68000,65000,2298000,8869000,11167000,25000000,120.2,116.15,92.12,113.45,118.175,116.0366,111.2,119.075,115.925
5.403,,6539000,1118000,1924000,856000,3311000,7232000,226000,0,32000,4000,65000,65000,2368000,9183000,11551000,25000000,120.2,116.15,92.12,113.45,118.175,116.0366,111.2,119.075,115.925
5.604,,6524000,1118000,1235000,1552000,5038000,7411000,226000,0,5000,7000,68000,65000,2399000,3643000,6042000,25000000,120.2,116.15,92.12,113.45,118.175,116.0366,111.2,119.075,115.925
5.805,,6524000,1118000,1330000,751000,3291000,7411000,239000,0,5000,11000,68000,65000,2330000,9498000,11828000,25000000,120.2,116.6,92.12,113.45,118.175,116.0366,111.2,119.075,115.925
6.003,,6524000,1353000,1900000,853000,105000,7411000,239000,0,5000,7000,68000,65000,2462000,4190000,6652000,25000000,120.2,116.6,92.12,113.45,118.175,116.0366,111.2,119.075,115.925
6.203,,6408000,1154000,1900000,706000,105000,7468000,239000,0,5000,11000,68000,65000,2475000,3524000,5999000,25000000,120.2,116.15,92.12,113.45,118.2866,116.15,111.2,119.1866,116.0366
6.403,,6408000,1251000,1639000,1351000,5139000,7468000,239000,0,5000,4000,68000,65000,2414000,3806000,6220000,25000000,120.2,116.15,92.12,113.45,118.2866,116.15,111.2,119.1866,116.0366
6.603,,6368000,1376000,1259000,1310000,105000,7468000,239000,0,5000,11000,68000,65000,2506000,4234000,6740000,25000000,120.2,116.6,92.12,113.45,118.2866,116.15,111.2,119.1866,116.0366
6.803,,6368000,1509000,1924000,968000,356000,7473000,246000,0,5000,7000,74000,65000,2519000,4068000,6587000,25000000,120.2,116.6,92.12,113.45,118.2866,116.15,111.2,119.1866,116.0366
7.004,,6368000,1487000,1259000,856000,105000,7473000,246000,10000,76000,4000,72000,65000,2474000,4094000,6568000,25000000,120.2,116.6,92.12,113.45,118.2866,116.15,111.2,119.1866,116.0366
7.204,,6524000,1251000,2043000,746000,356000,7473000,246000,0,32000,4000,68000,65000,2388000,3793000,6181000,25000000,120.2,116.15,92.12,113.45,118.4,116.15,111.2,119.1866,116.0366
7.404,,6524000,1251000,1686000,820000,105000,7439000,257000,0,32000,4000,68000,65000,2482000,3651000,6133000,25000000,120.2,116.6,92.12,113.45,118.4,116.15,111.2,119.1866,116.0366
7.604,,6524000,1265000,1615000,1008000,105000,7439000,257000,0,32000,4000,68000,65000,2340000,3399000,5739000,25000000,120.2,116.15,92.12,113.45,118.4,116.15,111.2,119.1866,116.0366
7.803,,6542000,1309000,1401000,1413000,5300000,7439000,257000,0,5000,11000,72000,65000,2350000,3861000,6211000,25000000,120.2,116.6,92.12,113.45,118.4,116.15,111.2,119.1866,116.0366
8.003,,6542000,1273000,1924000,1048000,105000,7419000,337000,0,5000,7000,68000,65000,2326000,3232000,5558000,25000000,120.2,116.6,92.12,113.45,118.4,116.15,111.2,119.1866,116.0366
8.203,,6542000,1043000,1924000,968000,105000,7419000,337000,0,5000,11000,68000,68000,2293000,3861000,6154000,25000000,120.2,116.6,92.12,113.45,118.4,116.2616,111.2,119.1866,116.0366
8.403,,6518000,1398000,1354000,1189000,105000,7419000,337000,0,5000,4000,68000,65000,2351000,3130000,5481000,25000000,120.2,116.6,92.12,113.45,118.4,116.2616,111.2,119.1866,116.0366
8.603,,6518000,1043000,1853000,1500000,104000,7389000,258000,0,5000,11000,68000,65000,2392000,3436000,5828000,25000000,120.2,116.15,92.12,113.45,118.4,116.2616,111.2,119.1866,116.0366
8.804,,6518000,1154000,1306000,1713000,105000,7389000,258000,0,5000,7000,68000,65000,2355000,3618000,5973000,25000000,120.2,116.15,92.12,113.45,118.4,116.2616,111.2,119.1866,116.0366
9.003,,6472000,1021000,2066000,1371000,105000,7422000,258000,0,5000,11000,68000,65000,2444000,3631000,6075000,25000000,120.2,116.15,92.12,113.45,118.4,116.2616,111.2,119.1866,116.0366
9.204,,6472000,1497000,1267000,1760000,105000,7422000,234000,0,5000,11000,68000,65000,2444000,3589000,6033000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.2616,111.3116,119.3,116.0366
9.404,,6472000,1140000,1663000,1673000,105000,7422000,234000,0,5000,4000,68000,65000,2470000,3279000,5749000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.2616,111.3116,119.3,116.0366
9.603,,6512000,1050000,1686000,1190000,105000,7260000,234000,0,5000,11000,68000,65000,2267000,3377000,5644000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.2616,111.3116,119.3,116.0366
9.803,,6512000,1118000,1544000,1100000,105000,7260000,223000,0,5000,4000,86000,65000,2245000,5260000,7505000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.2616,111.3116,119.3,116.0366
10.003,,6512000,1028000,1171000,887000,105000,7260000,223000,0,32000,4000,68000,65000,2243000,3017000,5260000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.2616,111.3116,119.3,116.0366
10.203,,6539000,1073000,1758000,1109000,105000,7415000,223000,0,32000,4000,68000,65000,2256000,3846000,6102000,25000000,120.2,116.6,92.12,113.45,118.5116,116.375,111.2,119.3,116.15
10.404,,6539000,1028000,1496000,1774000,105000,7415000,206000,0,32000,4000,68000,65000,2256000,3200000,5456000,25000000,120.2,116.6,92.12,113.45,118.5116,116.375,111.2,119.3,116.15
10.603,,6539000,1050000,1639000,887000,105000,7415000,206000,20000,5000,7000,68000,65000,2294000,6758000,9052000,25000000,120.2,116.6,92.12,113.45,118.5116,116.375,111.2,119.3,116.15
10.804,,6448000,1028000,1496000,1509000,105000,7468000,206000,0,5000,7000,68000,65000,2277000,6641000,8918000,25000000,120.2,116.15,92.12,113.45,118.5116,116.375,111.2,119.3,116.15
11.004,,6448000,1065000,1401000,1060000,105000,7468000,198000,0,5000,4000,68000,65000,2271000,3218000,5489000,25000000,120.2,116.15,92.12,113.45,118.5116,116.375,111.2,119.3,116.15
11.203,,6387000,1043000,1401000,955000,105000,7468000,198000,0,5000,7000,68000,65000,2299000,7030000,9329000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
11.404,,6387000,1050000,1401000,1284000,105000,7461000,218000,0,5000,7000,68000,65000,2288000,3618000,5906000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
11.604,,6387000,1005000,1219000,1341000,105000,7461000,218000,0,5000,7000,68000,65000,2306000,5322000,7628000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
11.803,,6493000,1005000,1496000,813000,105000,7461000,218000,0,5000,4000,68000,65000,2355000,7703000,10058000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
12.004,,6493000,1028000,1496000,711000,105000,7422000,217000,0,640000,0,86000,65000,2352000,5716000,8068000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
12.204,,6493000,1050000,1781000,1562000,105000,7422000,217000,10000,656000,0,86000,65000,2339000,3314000,5653000,25000000,120.2,116.15,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
12.404,,6521000,1050000,1473000,1785000,105000,7422000,217000,0,32000,4000,68000,65000,2333000,7702000,10035000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
12.603,,6521000,1050000,1315000,853000,105000,7400000,215000,0,32000,7000,68000,65000,2315000,3435000,5750000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
12.804,,6521000,1073000,1330000,833000,105000,7400000,215000,0,32000,4000,68000,65000,2325000,3582000,5907000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
13.004,,6554000,1028000,1615000,691000,105000,7400000,215000,10000,5000,11000,74000,65000,2364000,4028000,6392000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.3,116.15
13.203,,6554000,1073000,1315000,833000,105000,7424000,250000,10000,78000,0,79000,65000,2364000,3734000,6098000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.4116,116.15
13.404,,6554000,1073000,1259000,691000,105000,7424000,250000,0,32000,4000,68000,65000,2356000,7617000,9973000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.4116,116.15
13.604,,6515000,1028000,1449000,995000,105000,7430000,250000,0,32000,4000,68000,65000,2308000,3468000,5776000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.4116,116.15
13.805,,6515000,1050000,1219000,1008000,105000,7430000,277000,0,32000,4000,68000,65000,2327000,3705000,6032000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.4116,116.15
14.004,,6515000,1162000,1378000,1250000,3392000,7430000,277000,0,5000,11000,68000,65000,2373000,3538000,5911000,25000000,120.2,116.6,92.12,113.5616,118.5116,116.375,111.2,119.4116,116.15
14.203,,6487000,1154000,1243000,987000,3291000,7358000,277000,0,5000,11000,68000,65000,2316000,4107000,6423000,25000000,120.2,116.6,92.12,113.5616,118.625,116.4866,111.3116,119.4116,116.2616
14.404,,6487000,1140000,1196000,751000,105000,7358000,232000,0,5000,4000,68000,65000,2306000,3378000,5684000,25000000,120.2,116.6,92.12,113.5616,118.625,116.4866,111.3116,119.4116,116.2616
14.604,,6487000,1073000,1330000,771000,3291000,7358000,232000,0,5000,4000,68000,65000,2292000,8738000,11030000,25000000,120.2,116.6,92.12,113.5616,118.625,116.4866,111.3116,119.4116,116.2616
14.806,,6509000,1118000,1339000,731000,105000,7355000,232000,0,5000,4000,68000,65000,2266000,3435000,5701000,25000000,120.2,116.15,92.12,113.5616,118.625,116.4866,111.3116,119.4116,116.2616
15.004,,6509000,1140000,1401000,711000,2354000,7355000,222000,0,5000,4000,68000,65000,2308000,3802000,6110000,25000000,120.2,116.6,92.12,113.5616,118.625,116.4866,111.3116,119.4116,116.2616
15.204,,6509000,1251000,1267000,1492000,105000,7355000,222000,0,5000,11000,68000,65000,2297000,3683000,5980000,25000000,120.2,116.6,92.12,113.5616,118.625,116.4866,111.3116,119.4116,116.2616
15.403,,6429000,1420000,1306000,867000,105000,7461000,222000,0,5000,4000,68000,65000,2388000,3879000,6267000,25000000,120.2,116.6,92.12,113.5616,118.625,116.4866,111.3116,119.4116,116.2616
15.604,,6429000,1376000,1267000,772000,105000,7461000,243000,0,5000,4000,68000,65000,2364000,3850000,6214000,25000000,120.2,116.15,92.12,113.5616,118.625,116.4866,111.3116,119.4116,116.2616
15.803,,6436000,1154000,1900000,691000,356000,7461000,243000,0,5000,7000,68000,65000,2453000,3891000,6344000,25000000,120.2,116.6,92.12,113.5616,118.625,116.4866,111.3116,119.4116,116.2616
16.003,,6436000,1162000,1330000,751000,105000,7424000,243000,0,5000,7000,68000,65000,2410000,3944000,6354000,25000000,120.2,116.6,92.12,113.5616,118.625,116.4866,111.3116,119.4116,116.2616
16.203,,6436000,1176000,1554000,1471000,105000,7424000,211000,0,5000,11000,68000,65000,2301000,3392000,5693000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
16.403,,6497000,1207000,1758000,833000,335000,7424000,211000,0,5000,7000,68000,65000,2306000,4002000,6308000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
16.603,,6497000,1162000,1473000,813000,3311000,7402000,211000,0,5000,11000,68000,65000,2272000,3961000,6233000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
16.804,,6497000,1207000,1401000,1048000,105000,7402000,222000,0,5000,11000,68000,65000,2263000,3745000,6008000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
17.003,,6487000,1154000,1354000,928000,104000,7402000,222000,10000,3000,4000,68000,65000,2327000,3206000,5533000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
17.204,,6487000,1140000,1544000,1109000,105000,7410000,222000,10000,653000,0,86000,65000,2321000,3219000,5540000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
17.404,,6487000,1073000,1259000,1340000,488000,7410000,233000,0,32000,4000,68000,65000,2265000,3144000,5409000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
17.603,,6524000,1118000,1924000,920000,105000,7410000,233000,0,32000,11000,68000,65000,2376000,3512000,5888000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
17.803,,6524000,1162000,1520000,1089000,105000,7428000,220000,0,32000,4000,68000,65000,2398000,3559000,5957000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
18.003,,6524000,1118000,1829000,1068000,105000,7428000,220000,89000,5000,11000,68000,65000,2426000,3337000,5763000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
18.203,,6545000,1050000,1568000,800000,105000,7428000,220000,0,5000,4000,86000,65000,2250000,3262000,5512000,25000000,120.2,114.8,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
18.403,,6545000,1050000,1663000,960000,105000,7462000,209000,0,32000,4000,74000,65000,2227000,3152000,5379000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
18.603,,6545000,1050000,1781000,826000,105000,7462000,209000,0,32000,4000,68000,65000,2239000,3284000,5523000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
18.804,,6518000,1050000,1315000,1080000,105000,7402000,209000,0,32000,4000,68000,65000,2275000,3741000,6016000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
19.004,,6518000,1028000,1496000,1275000,105000,7402000,298000,0,5000,7000,68000,65000,2277000,3694000,5971000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
19.204,,6518000,1050000,1259000,1573000,105000,7402000,298000,0,5000,11000,68000,65000,2261000,3648000,5909000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
19.403,,6484000,1050000,1568000,853000,105000,7293000,298000,0,5000,4000,68000,65000,2240000,6780000,9020000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
19.603,,6484000,1118000,1315000,1340000,105000,7293000,215000,0,5000,4000,68000,65000,2244000,5422000,7666000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
19.803,,6484000,1050000,1387000,726000,105000,7293000,215000,0,5000,7000,68000,65000,2272000,6569000,8841000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
20.004,,6375000,1050000,1473000,1760000,105000,7433000,215000,0,5000,7000,68000,65000,2244000,3120000,5364000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
20.203,,6375000,1050000,1259000,771000,105000,7433000,208000,0,5000,4000,68000,65000,2259000,6597000,8856000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.425,119.4116,116.2616
20.404,,6457000,1050000,1267000,798000,105000,7433000,208000,0,5000,7000,68000,65000,2250000,8849000,11099000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.425,119.4116,116.2616
20.604,,6457000,1050000,1243000,833000,105000,7410000,208000,0,5000,7000,68000,65000,2240000,7054000,9294000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.425,119.4116,116.2616
20.804,,6457000,1073000,1235000,1138000,105000,7410000,222000,0,5000,4000,68000,65000,2282000,3324000,5606000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.425,119.4116,116.2616
21.003,,6539000,1073000,1663000,711000,105000,7410000,222000,0,5000,11000,68000,65000,2241000,3531000,5772000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.425,119.4116,116.2616
21.203,,6539000,1073000,1219000,711000,105000,7399000,222000,0,5000,7000,68000,65000,2261000,3493000,5754000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
21.404,,6539000,1050000,1568000,711000,105000,7399000,218000,0,5000,4000,68000,65000,2260000,3712000,5972000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
21.604,,6503000,1028000,1315000,853000,105000,7399000,218000,0,5000,7000,68000,65000,2214000,3599000,5813000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
21.805,,6503000,1065000,1544000,711000,105000,7424000,218000,0,5000,4000,68000,65000,2274000,3358000,5632000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
22.004,,6503000,1118000,1473000,711000,105000,7424000,220000,0,443000,11000,68000,65000,2248000,3608000,5856000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
22.204,,6484000,1028000,1520000,894000,105000,7424000,220000,10000,3000,11000,68000,65000,2235000,3457000,5692000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
22.404,,6484000,1073000,1267000,987000,1056000,7451000,234000,10000,32000,11000,68000,65000,2268000,9320000,11588000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
22.604,,6484000,1118000,1544000,751000,2824000,7451000,234000,0,32000,4000,68000,65000,2240000,9789000,12029000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
22.804,,6460000,1028000,1401000,711000,105000,7451000,234000,0,32000,7000,68000,65000,2256000,4292000,6548000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
23.004,,6460000,1132000,1473000,867000,105000,7353000,221000,0,32000,4000,68000,65000,2246000,3731000,5977000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
23.204,,6460000,1162000,1520000,792000,3636000,7353000,221000,0,5000,7000,68000,65000,2246000,3510000,5756000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
23.405,,6359000,1207000,1639000,706000,2334000,7229000,221000,10000,78000,4000,72000,65000,2264000,4375000,6639000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
23.603,,6359000,1184000,1900000,711000,105000,7229000,227000,0,32000,4000,68000,65000,2319000,3843000,6162000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
23.803,,6359000,1184000,1339000,2076000,4550000,7229000,227000,0,32000,4000,68000,65000,2344000,4982000,7326000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
24.004,,6323000,1207000,1639000,772000,105000,7048000,227000,0,32000,4000,68000,65000,2338000,4106000,6444000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.3116,119.4116,116.2616
24.203,,6323000,1309000,1330000,691000,105000,7048000,283000,0,5000,4000,68000,65000,2414000,3596000,6010000,25000000,120.2,116.6,91.94,113.675,118.625,116.4866,111.425,119.4116,116.2616
24.403,,6323000,1420000,1315000,894000,105000,7048000,283000,0,5000,4000,68000,65000,2426000,3786000,6212000,25000000,120.2,116.6,91.94,113.675,118.625,116.4866,111.425,119.4116,116.2616
24.604,,6179000,1420000,1267000,706000,230000,7216000,283000,0,5000,7000,68000,65000,2414000,3822000,6236000,25000000,120.2,116.15,91.94,113.675,118.625,116.4866,111.425,119.4116,116.2616
24.804,,6179000,1162000,1520000,1209000,105000,7216000,230000,0,5000,11000,68000,65000,2324000,4296000,6620000,25000000,120.2,116.6,91.94,113.675,118.625,116.4866,111.425,119.4116,116.2616
25.003,,6225000,1442000,1496000,772000,105000,7216000,230000,0,5000,4000,68000,65000,2443000,4126000,6569000,25000000,120.2,116.6,91.94,113.675,118.625,116.4866,111.425,119.4116,116.2616
25.204,,6225000,1198000,1243000,899000,5464000,7200000,230000,0,5000,4000,68000,65000,2420000,3985000,6405000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.425,119.4116,116.2616
25.403,,6225000,1287000,1544000,2300000,105000,7200000,235000,0,5000,4000,68000,65000,2257000,3639000,5896000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.425,119.4116,116.2616
25.603,,6350000,1073000,1473000,1040000,105000,7200000,235000,0,5000,7000,68000,65000,2329000,3239000,5568000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.425,119.4116,116.2616
25.803,,6350000,1251000,1378000,1840000,105000,7227000,235000,0,5000,4000,68000,65000,2299000,3160000,5459000,25000000,120.2,116.6,92.12,113.675,118.625,116.4866,111.425,119.4116,116.2616
26.003,,6350000,1251000,1401000,1180000,105000,7227000,220000,0,5000,11000,68000,65000,2332000,3409000,5741000,25000000,120.2,116.15,92.12,113.675,118.625,116.4866,111.425,119.4116,116.2616
