Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
0.1,1.2843218360628401,24.330239704677037,0.004647196619771406,11.054200036185128,0.3546357412955591,-1.0,-1.0,-1.0,0.49221863065447125,-1.0,5.027856281825474,0.12044496195656913,544988809.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.20928021839687,545000000.0,-1.0,8798560.285714285,50.76356724330357,854297586.2857143,15050016.642857144,2788774.035714286,680773595.4285715,-1.0,-1.0,-1.0,58219750.28571428,8320463.892857143,1274278666.861607,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.11,1.4194272075380598,17.372169494628906,0.36810043301167233,14.931038175310407,0.43732523785105776,-1.0,-1.0,-1.0,0.5609768458775112,-1.0,4.903682504381452,0.06136580450194223,545068498.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.258088520595,545000000.0,-1.0,9985318.0,54.971483503069194,941960210.2857143,19768556.07142857,2919228.9285714286,787981641.1428572,-1.0,-1.0,-1.0,68834085.71428572,10346797.17857143,1268834549.2924106,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.12,10.400574496814183,33.77497100830078,0.05800205894878931,3.9542800358363555,0.20728421636990135,-1.0,-1.0,-1.0,1.0560049670083183,-1.0,1.6973765236990792,0.17462076459612166,544941504.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.038008144923616,545000000.0,-1.0,6715668.125837053,105.38510131835938,380019134.21428573,12347190.904296875,1477747.142857143,261725952.0,-1.0,-1.0,-1.0,40439229.71428572,6860480.50390625,448552099.7410714,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.13,0.6703835725784302,18.244362115859985,0.0014653497491963,6.433820009231567,0.29985017247963697,-1.0,-1.0,-1.0,0.32838743180036545,-1.0,2.6540785431861877,0.09682822227478027,544981112.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.707288801670074,545000000.0,-1.0,5422467.125,46.01580047607422,593349904.9902344,8505002.899169922,2046381.0625,471592176.0,-1.0,-1.0,-1.0,35419187.0,4875561.711669922,811859338.7421875,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.14,1.098008734839303,30.208059855869838,0.11910944398758663,15.077381134033203,0.34755841961928774,-1.0,-1.0,-1.0,0.5583099859899708,-1.0,3.6985812187194824,0.19247063568660192,544952832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.57053419521877,545000000.0,-1.0,10871028.125,98.19413539341518,966342587.4285715,19904069.627929688,3300187.5725446427,770033202.2857143,-1.0,-1.0,-1.0,71291990.28571428,10819156.699358258,1286594509.763393,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.15,0.831175412450518,15.923942293439593,0.11721350804769567,11.188771384102958,0.32670741421835764,-1.0,-1.0,-1.0,0.45420752252851215,-1.0,2.8507659094674245,0.06135522893496921,544986605.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.20810045514789,545000000.0,-1.0,9075478.142857144,48.254058837890625,842996443.4285715,18226744.57142857,2397300.4285714286,701588882.2857143,-1.0,-1.0,-1.0,63737274.28571428,9547812.57142857,1030946353.3459822,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.16,9.276427149772644,28.470102310180664,0.05719909910112619,6.7809717655181885,0.19098341045901177,-1.0,-1.0,-1.0,1.5755873849848283,-1.0,1.5184406042099,0.15416670963168144,544960824.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.493924863636494,545000000.0,-1.0,3952772.0233154297,92.08112335205078,341681331.375,6010287.7509765625,1175446.05859375,255110108.0,-1.0,-1.0,-1.0,21253047.5,3497006.8134765625,466721139.92578125,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.17,1.1205669130597795,24.72539520263672,0.004934213922492085,10.998341696602958,0.4044790624507836,-1.0,-1.0,-1.0,0.46130747880254475,-1.0,3.7860306331089566,0.0886327964918954,544960832.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.08893539224352,545000000.0,-1.0,7984180.107142857,51.64872523716518,664331334.8571428,14010470.722377231,1937860.205357143,511369700.5714286,-1.0,-1.0,-1.0,52582418.5,7812588.811662947,964466084.7879465,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.18,1.3393923555101668,16.231633595057897,0.05437917861023117,14.602021081107003,0.3563522366540773,-1.0,-1.0,-1.0,0.4892352159534181,-1.0,3.297931364604405,0.061356757368360236,544988873.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.05403300694057,545000000.0,-1.0,9702354.964285715,54.973685128348215,929840722.2857143,19137908.776785713,2679909.973214286,779793654.8571428,-1.0,-1.0,-1.0,66946156.14285714,10019737.357142856,1260698490.5066965,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.19,0.5029419490269252,26.016063690185547,0.053616109437176145,7.693316050938198,0.332855081983975,-1.0,-1.0,-1.0,0.39817188467298237,-1.0,2.699456146785191,0.17150366306304932,544952420.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.01615641798292,545000000.0,-1.0,8755396.285714285,102.4334237234933,724473275.4285715,15702195.585100446,2937629.8214285714,563783314.2857143,-1.0,-1.0,-1.0,55750418.85714286,8638803.585100446,827954760.7544643,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.2,0.8948351315089634,18.666176387241908,0.001306191851784057,6.6707948957170755,0.2337840755603143,-1.0,-1.0,-1.0,0.2684426105448178,-1.0,1.8440280641828264,0.1101301738194057,544966601.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.98627555370331,545000000.0,-1.0,3787408.4464285714,49.7092546735491,309704671.9285714,5708877.212890625,877821.1651785715,217545920.0,-1.0,-1.0,-1.0,22716586.285714287,3425533.212890625,512520100.42410713,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.21,1.2778491973876953,30.939015524727957,0.05112846455137643,15.050205775669642,0.47417925723961424,-1.0,-1.0,-1.0,0.63022238441876,-1.0,5.611298016139439,0.18096441881997244,544952731.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.92616367340088,545000000.0,-1.0,11158709.92857143,101.9353768484933,985103899.4285715,20374270.32142857,3548612.160714286,783259620.5714285,-1.0,-1.0,-1.0,73014366.85714285,11091523.857142856,1311129344.828125,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.22,1.2090014815330505,14.121036052703857,0.06787210190668701,12.554561853408813,0.30143720482010394,-1.0,-1.0,-1.0,0.40516688395291567,-1.0,2.49336040019989,0.05369417741894721,544988648.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.62366819381714,545000000.0,-1.0,8525996.375,46.44502258300781,813739184.0,16845482.78930664,2625682.1328125,682045344.0,-1.0,-1.0,-1.0,58738499.0,8821998.28930664,1101390697.921875,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.23,0.15414154529571533,20.291551862444198,0.04829117230006626,3.9237139565604076,0.40223891933315564,-1.0,-1.0,-1.0,0.24884366989135742,-1.0,1.7561961582728796,0.1505052617618016,544943085.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.37722194194794,545000000.0,-1.0,4054848.8571428573,98.5285164969308,324370274.28571427,6393335.529575893,1441359.607142857,231573595.42857143,-1.0,-1.0,-1.0,23171920.57142857,3730002.0295758927,400058950.99553573,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.24,10.888371365410942,36.186108997889924,0.0017562330966549142,7.403347287859235,0.28191579133272165,-1.0,-1.0,-1.0,1.203614480793476,-1.0,2.825526305607387,0.11068062271390643,544973467.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.514782547950745,545000000.0,-1.0,8131133.358677455,50.51302228655134,678004641.7142857,14318233.143554688,2346267.8214285714,521870511.19196427,-1.0,-1.0,-1.0,53796761.71428572,7971987.598353795,895316174.3325893,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
0.25,1.2200559377670288,16.68550709315709,0.06467487250587768,15.053624561854772,0.3882331762995039,-1.0,-1.0,-1.0,0.5258065589836666,-1.0,4.524646690913609,0.06134475128991263,544987885.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.908264705113005,545000000.0,-1.0,10007578.464285715,54.74109322684152,954351296.0,19756041.214285713,2803322.714285714,799804507.4285715,-1.0,-1.0,-1.0,68406949.42857143,10345446.910714285,1297075934.294643,1.018994927406311,1026.0,253.0,11966.0,6.0,21.517593383789062,3015.0,1920.0,3.0,52.0,49.0,52.0,29.0,22.0,30.0,72.0,545.0,2.0,26.97068452835083,3196.0,1.0,1.0,2.479609489440918
