time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.005,,5505000,914000,1781000,1250000,3453000,6333000,20000,14000,11000,97000,74000,70000,2508000,4466000,6974000,25000000,125.6,122,92.48,118.5116,124.25,122,116.4866,124.925,121.55
0.203,,5563000,1028000,1330000,867000,831000,6333000,20000,11000,11000,97000,74000,70000,2375000,3820000,6195000,25000000,125.6,122,92.48,118.5116,124.25,122,116.4866,124.925,121.55
0.403,,5563000,1189000,1378000,901000,914000,6329000,30000,11000,11000,208000,72000,70000,2374000,4224000,6598000,25000000,125.6,122,92.48,118.5116,124.25,122,116.4866,124.925,121.55
0.603,,5563000,1068000,1259000,1242000,104000,6329000,20000,648000,4000,208000,86000,70000,2378000,4840000,7218000,25000000,125.6,122,92.48,118.5116,124.25,122,116.4866,124.925,121.55
0.803,,5545000,955000,1506000,1713000,104000,6329000,10000,35000,11000,208000,68000,70000,2396000,3891000,6287000,25000000,125.6,122,92.48,118.5116,124.25,122,116.4866,124.925,121.55
1.003,,5545000,1229000,1721000,1403000,831000,6322000,10000,35000,4000,198000,74000,70000,2459000,4471000,6930000,25000000,125.6,122,92.48,118.5116,124.25,122,116.4866,124.925,121.55
1.203,,5545000,1229000,1306000,921000,104000,6322000,20000,35000,11000,198000,74000,70000,2457000,3932000,6389000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
1.404,,5502000,1189000,1971000,2061000,831000,6322000,10000,35000,68000,198000,72000,70000,2508000,4696000,7204000,25000000,125.6,122,92.48,118.5116,124.1366,122,116.4866,124.925,121.55
1.602,,5502000,1076000,1315000,856000,852000,6373000,20000,14000,7000,215000,72000,70000,2459000,4610000,7069000,25000000,125.6,122,92.48,118.5116,124.1366,122,116.4866,124.925,121.55
1.803,,5502000,935000,1458000,798000,935000,6373000,20000,11000,11000,215000,70000,70000,2430000,8400000,10830000,25000000,125.6,122.45,92.48,118.5116,124.1366,122,116.4866,124.925,121.55
2.003,,5380000,1016000,1339000,1178000,778000,6373000,20000,14000,11000,215000,70000,70000,2481000,3269000,5750000,25000000,125.6,122.45,92.48,118.5116,124.1366,122,116.4866,124.925,121.55
2.203,,5380000,935000,1354000,751000,731000,6393000,20000,11000,11000,233000,74000,70000,2447000,3144000,5591000,25000000,125.6,122,92.48,118.5116,124.1366,122,116.4866,124.925,121.55
2.403,,5380000,975000,1306000,2504000,5060000,6393000,30000,14000,11000,233000,74000,70000,2504000,4959000,7463000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
2.603,,5441000,955000,1219000,1199000,714000,6393000,40000,11000,4000,292000,74000,68000,2501000,3711000,6212000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
2.802,,5441000,1016000,1259000,1199000,102000,6324000,30000,14000,11000,292000,68000,70000,2539000,3515000,6054000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
3.003,,5545000,935000,1354000,863000,102000,6324000,30000,14000,4000,292000,68000,70000,2479000,3611000,6090000,25000000,125.6,122,92.48,118.5116,124.25,122,116.4866,124.925,121.55
3.203,,5545000,1028000,1267000,1270000,102000,6324000,20000,35000,7000,219000,70000,70000,2554000,3680000,6234000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
3.403,,5545000,935000,1401000,755000,1412000,6150000,10000,35000,11000,219000,70000,70000,2466000,3662000,6128000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
3.603,,5313000,1016000,1710000,1593000,102000,6150000,20000,35000,11000,219000,68000,70000,2622000,3440000,6062000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
3.802,,5313000,1008000,1378000,1250000,102000,6105000,20000,35000,11000,206000,70000,70000,2546000,3600000,6146000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
4.002,,5313000,833000,1520000,1670000,104000,6105000,20000,11000,7000,206000,74000,70000,2546000,4067000,6613000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
4.202,,5075000,833000,1401000,1008000,104000,6105000,30000,11000,11000,206000,68000,68000,2512000,4849000,7361000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
4.402,,5075000,853000,1330000,1189000,104000,5663000,20000,11000,11000,225000,72000,70000,2450000,4158000,6608000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
4.603,,5075000,874000,1378000,1434000,104000,5663000,20000,14000,11000,225000,68000,70000,2526000,4827000,7353000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
4.803,,5094000,853000,1354000,1351000,102000,5663000,20000,81000,11000,225000,68000,70000,2532000,3218000,5750000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
5.002,,5094000,798000,1243000,1431000,395000,5867000,10000,35000,11000,205000,72000,70000,2490000,4243000,6733000,25000000,125.6,122.45,92.48,118.5116,124.25,122,116.4866,124.925,121.55
5.203,,5094000,798000,1378000,1189000,104000,5867000,20000,35000,11000,205000,74000,70000,2485000,6168000,8653000,25000000,125.6,122,92.48,118.5116,124.25,122,116.4866,124.925,121.55
5.402,,4874000,757000,1267000,1391000,416000,5867000,20000,35000,11000,205000,72000,70000,2464000,4720000,7184000,25000000,125.6,122.45,92.48,118.4,124.25,122,116.375,124.925,121.55
5.602,,4874000,860000,1306000,887000,2742000,5665000,30000,14000,4000,222000,70000,70000,2477000,5082000,7559000,25000000,125.6,122,92.48,118.4,124.25,122,116.375,124.925,121.55
5.803,,4874000,921000,1324000,1339000,104000,5665000,20000,81000,7000,222000,79000,70000,2470000,4441000,6911000,25000000,125.6,122,92.48,118.4,124.25,122,116.375,124.925,121.55
6.002,,5078000,839000,1354000,1632000,104000,5665000,10000,35000,11000,222000,72000,70000,2443000,4597000,7040000,25000000,125.6,122,92.48,118.4,124.25,122,116.375,124.925,121.55
6.202,,5078000,798000,1267000,1471000,852000,5869000,10000,35000,11000,219000,74000,70000,2373000,7595000,9968000,25000000,125.6,122,92.48,118.4,124.25,122,116.375,124.925,121.55
6.403,,5078000,839000,1401000,1068000,852000,5869000,10000,35000,7000,219000,72000,70000,2424000,7006000,9430000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.925,121.55
6.603,,4871000,853000,1496000,1632000,894000,5869000,30000,11000,11000,219000,68000,70000,2465000,7772000,10237000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.925,121.55
6.803,,4871000,798000,1401000,1089000,852000,5886000,30000,11000,11000,236000,74000,68000,2385000,9440000,11825000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.925,121.55
7.003,,4871000,819000,2399000,1391000,1239000,5886000,30000,14000,11000,236000,74000,68000,2442000,6776000,9218000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.925,121.55
7.203,,5066000,833000,1339000,1250000,3291000,5886000,30000,11000,4000,236000,74000,70000,2352000,4975000,7327000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.925,121.55
7.403,,5066000,914000,1267000,1331000,3189000,5636000,30000,11000,4000,226000,74000,70000,2392000,4476000,6868000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.925,121.4366
7.603,,5057000,914000,1458000,987000,3331000,5636000,20000,14000,11000,226000,68000,70000,2392000,5089000,7481000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.925,121.4366
7.803,,5057000,914000,1306000,1520000,3660000,5636000,30000,14000,11000,209000,74000,70000,2459000,4775000,7234000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.925,121.4366
8.003,,5057000,798000,2090000,1310000,416000,5860000,30000,11000,11000,209000,74000,68000,2507000,4671000,7178000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.925,121.4366
8.203,,4856000,1028000,1330000,1250000,5664000,5860000,30000,14000,11000,209000,74000,70000,2470000,3576000,6046000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.925,121.4366
8.403,,4856000,975000,1449000,1431000,757000,5641000,20000,11000,11000,207000,72000,70000,2355000,3382000,5737000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.8116,121.4366
8.604,,4856000,874000,1758000,1976000,5502000,5641000,30000,11000,11000,207000,81000,70000,2506000,3371000,5877000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.8116,121.4366
8.804,,5048000,935000,2256000,1573000,3467000,5641000,30000,11000,11000,207000,74000,70000,2490000,4495000,6985000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.8116,121.4366
9.003,,5048000,874000,2233000,1431000,1843000,5847000,30000,11000,11000,280000,74000,70000,2424000,7622000,10046000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.8116,121.4366
9.202,,5048000,1250000,1401000,948000,104000,5847000,20000,11000,11000,280000,74000,70000,2417000,3970000,6387000,25000000,125.6,122,92.48,118.4,124.25,122,116.4866,124.8116,121.4366
9.403,,4862000,1189000,1354000,1156000,104000,5847000,10000,35000,11000,280000,70000,70000,2477000,4634000,7111000,25000000,125.6,122,92.48,118.4,124.25,122,116.375,124.8116,121.4366
9.603,,4862000,935000,1829000,987000,852000,5648000,10000,35000,4000,217000,74000,68000,2403000,3586000,5989000,25000000,125.6,121.55,92.48,118.4,124.25,122,116.375,124.8116,121.4366
9.803,,4862000,968000,1544000,1310000,769000,5648000,20000,35000,11000,217000,72000,70000,2378000,3889000,6267000,25000000,125.6,122,92.48,118.4,124.25,122,116.375,124.8116,121.4366
10.003,,5072000,853000,1841000,1434000,5704000,5648000,20000,35000,7000,217000,74000,70000,2512000,3929000,6441000,25000000,125.6,122,92.48,118.4,124.25,122,116.375,124.8116,121.4366
10.203,,5072000,1239000,2161000,887000,104000,5875000,30000,14000,4000,220000,74000,68000,2427000,4181000,6608000,25000000,125.6,122,92.48,118.4,124.25,122,116.375,124.8116,121.4366
10.404,,5072000,1076000,1948000,1229000,104000,5875000,20000,81000,11000,220000,79000,70000,2518000,4602000,7120000,25000000,125.6,122,92.48,118.4,124.25,122,116.375,124.8116,121.4366
