time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,4865000,853000,1639000,1250000,1995000,5878000,30000,11000,11000,152000,72000,68000,2523000,7773000,10296000,25000000,122,118.85,87.98,115.5866,120.9866,118.85,113.675,121.6616,118.5116
0.204,,5097000,853000,1900000,1814000,436000,5878000,30000,14000,11000,213000,72000,68000,2521000,5884000,8405000,25000000,122,118.85,87.98,115.5866,120.9866,118.85,113.675,121.6616,118.5116
0.402,,5097000,853000,1948000,1512000,831000,5674000,30000,14000,11000,213000,68000,68000,2486000,10142000,12628000,25000000,122,118.85,87.98,115.475,121.1,118.85,113.675,121.775,118.625
0.602,,4892000,921000,1924000,1713000,825000,5674000,30000,11000,11000,213000,68000,68000,2407000,9986000,12393000,25000000,122,118.85,87.98,115.475,121.1,118.85,113.675,121.775,118.625
0.804,,4892000,874000,1544000,1670000,395000,5674000,20000,14000,11000,339000,74000,68000,2474000,5035000,7509000,25000000,122,118.85,87.98,115.475,121.1,118.85,113.675,121.775,118.625
1.004,,4892000,1036000,1615000,1331000,831000,5931000,20000,11000,11000,339000,74000,68000,2464000,9742000,12206000,25000000,122,118.85,87.98,115.475,121.1,118.85,113.675,121.775,118.625
1.204,,5133000,833000,1781000,1250000,831000,5931000,30000,11000,11000,339000,74000,68000,2438000,10426000,12864000,25000000,122,118.85,87.98,115.475,121.1,118.85,113.675,121.775,118.625
1.403,,5133000,1076000,1615000,1270000,6378000,5931000,30000,11000,11000,375000,68000,68000,2369000,5439000,7808000,25000000,122,118.85,87.98,115.5866,121.1,118.9616,113.5616,121.775,118.625
1.603,,5133000,1016000,1995000,1169000,5180000,5718000,40000,14000,11000,375000,72000,68000,2435000,4906000,7341000,25000000,122,118.85,87.98,115.5866,121.1,118.9616,113.5616,121.775,118.625
1.803,,5136000,1016000,1900000,1371000,6228000,5718000,30000,11000,7000,375000,92000,68000,2362000,5853000,8215000,25000000,122,118.85,87.98,115.5866,121.1,118.9616,113.5616,121.775,118.625
2.002,,5136000,1089000,1781000,1584000,5160000,5718000,10000,35000,11000,370000,70000,68000,2299000,4789000,7088000,25000000,122,118.85,87.98,115.5866,121.1,118.9616,113.5616,121.775,118.625
2.204,,5136000,914000,1401000,1229000,2514000,5946000,10000,35000,11000,370000,74000,68000,2418000,4538000,6956000,25000000,122,118.85,87.98,115.5866,121.1,118.9616,113.5616,121.775,118.625
2.404,,4926000,935000,1306000,1552000,3467000,5946000,20000,35000,7000,370000,74000,68000,2435000,4703000,7138000,25000000,122,118.85,87.98,115.5866,121.2116,118.9616,113.5616,121.775,118.625
2.604,,4926000,1036000,1330000,1935000,5321000,5946000,10000,35000,11000,384000,68000,68000,2344000,4174000,6518000,25000000,122,118.85,87.98,115.5866,121.2116,118.9616,113.5616,121.775,118.625
2.803,,4926000,1129000,1710000,1068000,104000,5931000,20000,662000,4000,384000,86000,68000,2324000,4576000,6900000,25000000,122,118.85,87.98,115.5866,121.2116,118.9616,113.5616,121.775,118.625
3.002,,5109000,1351000,1544000,1068000,737000,5931000,10000,35000,4000,384000,68000,68000,2468000,4917000,7385000,25000000,122,118.85,87.98,115.5866,121.2116,118.9616,113.5616,121.775,118.625
3.203,,5109000,1270000,1829000,1391000,790000,5931000,10000,35000,7000,279000,70000,68000,2473000,4647000,7120000,25000000,122,119.3,87.98,115.5866,121.2116,118.9616,113.5616,121.775,118.625
3.403,,5109000,1290000,1639000,867000,104000,5705000,20000,35000,11000,279000,68000,68000,2481000,5691000,8172000,25000000,122,118.85,87.98,115.475,121.2116,118.9616,113.5616,121.775,118.625
3.603,,4920000,1169000,1449000,1713000,104000,5705000,30000,11000,11000,240000,74000,68000,2470000,4610000,7080000,25000000,122,118.85,87.98,115.475,121.2116,118.9616,113.5616,121.775,118.625
3.803,,4920000,955000,1544000,1777000,104000,5705000,20000,11000,11000,240000,81000,68000,2499000,6653000,9152000,25000000,122,118.85,87.98,115.475,121.2116,118.9616,113.5616,121.775,118.625
4.003,,4920000,1229000,1639000,772000,831000,5911000,20000,35000,11000,240000,77000,68000,2430000,9273000,11703000,25000000,122,118.85,87.98,115.475,121.2116,118.9616,113.5616,121.775,118.625
4.202,,5118000,1138000,1686000,1048000,831000,5911000,20000,35000,11000,289000,68000,68000,2515000,4931000,7446000,25000000,122,118.85,87.98,115.475,121.2116,118.9616,113.5616,121.775,118.625
4.403,,5118000,1016000,1354000,772000,831000,5707000,20000,32000,7000,289000,70000,68000,2525000,9643000,12168000,25000000,122,118.85,87.98,115.475,121.2116,118.9616,113.675,121.775,118.625
4.603,,5118000,1076000,1306000,691000,831000,5707000,20000,11000,11000,289000,68000,68000,2494000,4272000,6766000,25000000,122,118.85,87.98,115.475,121.2116,118.9616,113.675,121.775,118.625
4.803,,4917000,1036000,1663000,776000,831000,5707000,30000,14000,11000,214000,72000,68000,2433000,4173000,6606000,25000000,122,119.3,87.98,115.475,121.2116,118.9616,113.675,121.775,118.625
5.003,,4917000,1097000,1306000,776000,790000,5920000,20000,14000,11000,214000,72000,68000,2430000,3970000,6400000,25000000,122,119.3,87.98,115.475,121.2116,118.9616,113.675,121.775,118.625
5.203,,5124000,1089000,1378000,772000,790000,5920000,30000,14000,11000,214000,74000,68000,2404000,3892000,6296000,25000000,122,119.3,87.98,115.475,121.2116,118.9616,113.675,121.775,118.625
5.403,,5124000,975000,1401000,1606000,102000,5920000,20000,14000,7000,224000,68000,68000,2500000,5474000,7974000,25000000,122,118.85,87.98,115.5866,121.325,119.075,113.675,121.8866,118.625
5.603,,5124000,1056000,1306000,731000,102000,5710000,30000,11000,11000,224000,68000,68000,2470000,4828000,7298000,25000000,122,118.85,87.98,115.5866,121.325,119.075,113.675,121.8866,118.625
