Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.26,0.7495741844177246,28.03219767979213,0.07542082467781644,11.594464438302177,10.851995740618024,0.32270707402910503,-1.0,89.52273559570312,149.63482230050224,0.6130558592932565,0.17245134285518102,3.366203580583845,0.23215580731630325,545021202.2857143,-1.0,3.6274512154715404,62968820297.14286,91468649033.14285,6252096658.285714,114955239424.0,1689310025.142857,55.86856869288853,545000000.0,0.12595253118446895,10665066.57142857,86.52291488647461,874928437.7142857,21070553.42857143,1492861.857142857,734837046.8571428,-1.0,0.40836989879608154,1804935716.5714285,65001146.28571428,11036196.42857143,1176214589.5200894,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.27,13.210090910749775,29.07058879307338,0.07139588546540056,7.078119822910854,6.4518023899623325,0.480642865012799,-1.0,68.6113864353725,143.63809640066964,0.6906817385128566,0.11288286532674516,2.6254335897309438,0.18721874271120345,544962861.7142857,-1.0,1.8214982407433646,42941455058.28571,67078129956.57143,4394980222.285714,80875500114.28572,1276412440.5714285,51.00761376108442,545000000.0,0.09130458746637617,11328494.092075894,99.33330426897321,729655024.0,19115904.03627232,2076497.7142857143,556977024.0,-1.0,0.19169711215155466,1642570766.357143,63039785.30636161,10835671.90345982,896336921.5401785,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.28,0.0287644692829677,4.789603642054966,0.002047784626483914,3.7489065442766463,4.395989554268973,0.043904504605701986,-1.0,24.093902587890625,45.546142578125,0.14758091313498362,0.05945280620029995,0.8961488859994071,0.18721874271120345,544970688.0,-1.0,1.0606375421796526,22280529042.285713,27357181659.42857,2072330971.4285715,38031451282.28571,467153773.71428573,89.38774517604283,545000000.0,0.03476113506725856,2274080.5714285714,99.33330426897321,231635693.7142857,4480291.714285715,612146.7857142857,200595291.42857143,-1.0,0.16164241518293107,413664694.85714287,14737108.57142857,2349276.0,352281764.87723213,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.29,0.5311771631240845,19.58255113874163,0.0567756822731878,11.30091312953404,10.732725688389369,0.25038744296346394,-1.0,68.1375252859933,134.93439156668526,0.44230983938489643,0.1723803196634565,2.54119416645595,0.18721874271120345,544998409.1428572,-1.0,2.8360045978001187,61349110930.28571,89023367460.57143,6086644297.142858,111947438957.71428,1643406701.7142856,68.59895052228656,545000000.0,0.12589729257992335,10257316.857142856,99.33330426897321,850161316.5714285,20204438.57142857,1733816.392857143,714343643.4285715,-1.0,0.3534271376473563,1734101942.857143,62541862.85714286,10587786.0,1143920980.7857144,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.3,0.6585339052336556,20.853363582066127,0.13588195613452364,14.956165313720703,14.488006591796875,0.32580138303871664,-1.0,107.2350572858538,205.95940508161272,0.5302651950291225,0.24192377924919128,4.27765417098999,0.18721874271120345,545001508.5714285,-1.0,4.779182706560407,61183453476.57143,88660848054.85715,6070942573.714286,111584820077.71428,1633257417.142857,57.70139612470354,545000000.0,0.1705718742949622,10185572.464285715,99.33330426897321,846279113.1428572,20103896.10714286,2059416.375,712172918.8571428,-1.0,0.7444929650851658,1728973257.142857,62309251.14285714,10533341.714285715,1136540857.9598215,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.31,0.2876484053475516,7.758742196219309,0.019421439085687903,3.749742235456194,3.1823607853480746,0.0517546364239284,-1.0,21.699720110212052,43.93402099609375,0.14664069243839808,0.059266571487699225,0.7244219779968262,0.18721874271120345,545012918.8571428,-1.0,0.8618740354265485,19111879826.285713,30100623945.142857,1991907181.7142856,36154100004.57143,571912850.2857143,89.58537483215332,545000000.0,0.04799577168055943,4115200.8571428573,99.33330426897321,307515574.85714287,8128731.428571428,364385.78571428574,255941979.42857143,-1.0,0.09078655924115862,667131392.0,21420678.85714286,4224191.142857143,391394956.12053573,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.32,0.2814740538597107,13.794914245605469,0.007023006832847966,8.804911295572916,8.979018211364746,0.1889229565858841,-1.0,54.184895833333336,106.14387512207031,0.3449400266011556,0.13193872074286142,2.1088536580403647,0.18721874271120345,544981002.6666666,-1.0,2.3034430344899497,53963893418.666664,75612310186.66667,5246313130.666667,97016356864.0,1377330645.3333333,75.52465883890788,545000000.0,0.0907239665587743,7985746.166666667,99.33330426897321,698052445.1474609,15705297.333333334,1554046.9166666667,590547477.3333334,-1.0,0.3064294060071309,1382166357.3333333,52250765.333333336,8268674.833333333,967816983.0338541,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.33,0.7970820236951113,31.177550792694092,0.0811841753311455,12.40418553352356,12.172783136367798,0.35509959422051907,-1.0,104.01442241668701,204.04140281677246,0.5751468911767006,0.20549380406737325,5.980608820915222,0.16242152824997902,544953232.0,-1.0,4.064153369516134,58415870112.0,84694654976.0,5790035150.25,106553232752.0,1565203608.9375,50.43446755409241,545000000.0,0.15193781815469265,12091328.0625,87.27656936645508,861538000.0,21046204.625,2234811.5625,678899664.0,-1.0,0.588116217404604,1834892832.0,69383429.5,11741654.375,1119507638.625,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.34,0.5508096814155579,18.16039276123047,0.07899146527051924,8.91182772318522,7.895801226298015,0.3343335489432017,-1.0,51.556287129720054,89.64593760172527,0.35770636796951294,0.15018158654371896,1.8591465950012207,0.16242152824997902,545102528.0,-1.0,2.0817886193593345,35642664277.333336,55166571861.333336,3832072362.6666665,67058021717.333336,1011455488.0,74.84086354573567,545000000.0,0.10624400774637859,8326625.0,87.27656936645508,585360725.3333334,17047932.0,917416.5,491693994.6666667,-1.0,0.22595457235972086,1435912234.6666667,49811466.666666664,8921854.0,615700600.296875,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
0.35,0.11094783885138375,4.420799255371094,0.006071222521963385,6.351218904767718,7.526147842407227,0.07251257795308316,-1.0,23.76344953264509,151.2469438825335,0.1426126052226339,0.08806065150669641,0.9490643909999302,0.16242152824997902,544991067.4285715,-1.0,1.0381107330322266,25209736630.857143,33543440676.57143,2250551698.285714,44232010020.57143,623876068.5714285,79.58272062029157,545000000.0,0.07212986264910015,2228740.9464285714,87.27656936645508,266730384.0,3856796.79031808,596389.4654017857,227440432.0,-1.0,0.15583114964621406,351560557.71428573,13452928.0,2026618.7903180805,504491245.23883927,0.4923543035984039,102.0,2.0,6330.0,1.0,17.654830932617188,2876.0,1920.0,3.0,61.0,62.0,65.0,33.0,38.0,58.0,72.0,545.0,2.0,20.795007050037384,2736.0,61.0,2.287241220474243
