Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.1,0.7388513684272766,26.971630732218426,0.3434744371722142,7.695789655049642,0.36637327323357266,-1.0,-1.0,-1.0,0.5635569294293722,-1.0,3.0020039081573486,0.14469938618796213,545022368.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.153429667154946,545000000.0,-1.0,10554609.666666666,105.24353899274554,737770936.0,21220989.0,1290537.7916666667,605526741.3333334,-1.0,-1.0,-1.0,60733861.333333336,11074818.0,970589419.7395834,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.11,0.21646520069667272,9.216079711914062,0.022571546690804613,4.685390472412109,0.17944065162113734,-1.0,-1.0,-1.0,0.1612072672162737,-1.0,0.5689935343606132,0.14469938618796213,544986989.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.3239073072161,545000000.0,-1.0,2851158.8571428573,105.24353899274554,79201458.48660715,6224692.0,138878.8392857143,57950354.28571428,-1.0,-1.0,-1.0,12814729.142857144,3217392.8571428573,612354.734375,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.12,0.915732605116708,14.787654331752233,0.022903642484119944,9.957446779523577,0.4698724278381893,-1.0,-1.0,-1.0,0.40542575291224886,-1.0,4.156860896519253,0.14469938618796213,545991913.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.8931097303118,545000000.0,-1.0,9149386.42857143,105.24353899274554,845602578.2857143,17403985.57142857,1493903.9285714286,712823606.8571428,-1.0,-1.0,-1.0,55290108.571428575,9171366.642857144,1246629045.482143,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.13,0.9651117665427071,35.90261895315988,0.40581029041537214,12.879296439034599,0.6611202705119338,-1.0,-1.0,-1.0,0.5528541595808096,-1.0,3.1873017719813754,0.06135428803307669,545077878.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.8023019858769,545000000.0,-1.0,13817300.214285715,93.85638863699776,1018183004.8571428,25788453.323939733,2315321.8928571427,806292574.8571428,-1.0,-1.0,-1.0,77131989.71428572,13902025.395368304,1330497017.6138394,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.14,0.5127450057438442,14.645850045340401,0.043762040989739535,6.318149566650391,0.1983754507132939,-1.0,-1.0,-1.0,0.29430902004241943,-1.0,1.6106622559683663,0.06135428803307669,544856704.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.47680827549526,545000000.0,-1.0,9284664.285714285,93.85638863699776,709649188.5714285,18290149.714285713,1386880.142857143,589366454.8571428,-1.0,-1.0,-1.0,54209346.28571428,9578923.142857144,922324198.828125,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.15,0.5896114557981491,6.673290252685547,0.004980081575922663,6.907426595687866,0.2878057068446651,-1.0,-1.0,-1.0,0.15082101430743933,-1.0,1.080998033285141,0.06135428803307669,544979976.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.71632266044617,545000000.0,-1.0,2629009.21875,93.85638863699776,203331412.0,5210768.79296875,399151.39453125,170757508.0,-1.0,-1.0,-1.0,13936126.703125,2741441.4482421875,292808327.03125,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.16,1.1877576964242118,22.37134769984654,0.12163931450673511,13.181201798575264,0.540816890341895,-1.0,-1.0,-1.0,0.507963763816016,-1.0,4.878013065883091,0.06135428803307669,545010450.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.28309604099819,545000000.0,-1.0,12785773.5,93.85638863699776,986538185.1428572,25167542.85714286,2048520.5892857143,822639734.8571428,-1.0,-1.0,-1.0,71958989.71428572,13193278.910714285,1331802663.8125,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.17,0.9302603006362915,21.3837628364563,0.045340382494032355,9.012175798416138,0.4260109178721905,-1.0,-1.0,-1.0,0.5481807366013527,-1.0,3.5973155200481415,0.06135428803307669,544996192.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.0542608499527,545000000.0,-1.0,10860650.375,93.85638863699776,842942675.0,21419884.5,1512330.75,703086768.0,-1.0,-1.0,-1.0,61950750.0,11230765.625,1138715436.9726562,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.18,0.4297488331794739,25.649829864501953,0.07215450207392375,3.9571797053019204,0.13826811810334524,-1.0,-1.0,-1.0,0.29995376865069073,-1.0,1.8896682262420654,0.20248267551263174,544955552.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.63982554276784,545000000.0,-1.0,5076629.916666667,96.57974243164062,329204272.0,9222034.166666666,938568.1666666666,233828074.66666666,-1.0,-1.0,-1.0,27916516.0,5091189.416666667,261259591.6875,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
0.19,1.469064712524414,25.608278274536133,0.013565743807703225,18.668741703033447,0.713599631562829,-1.0,-1.0,-1.0,0.5838042721152306,-1.0,3.317946135997772,0.20248267551263174,545134528.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.92274284362793,545000000.0,-1.0,13599662.0,96.57974243164062,989416308.0,26836125.6484375,1586247.376953125,823247260.0,-1.0,-1.0,-1.0,78095128.984375,14169319.75390625,1396414734.3261719,0.2977569103240967,103.0,2.0,6330.0,1.0,17.449199676513672,2711.0,5565403927.0,1920.0,3.0,45.0,44.0,49.0,25.0,38.0,50.0,72.0,545.0,2.0,19.04257982969284,3196.0,61.0,2.211533308029175
