Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
204;1233;13.45505;2833.67116260529
205;1234;14.04594;2847.12621593475
206;1235;13.73115;2861.17215442657
207;1236;13.57422;2874.90330123901
208;1237;14.29755;2888.47752094269
209;1238;13.76745;2902.77507400513
210;1239;14.15182;2916.54252433777
211;1240;13.49943;2930.69434833527
212;1241;14.09083;2944.19377708435
213;1242;14.04823;2958.28461170197
214;1243;13.71724;2972.33284282684
215;1244;14.13203;2986.05008411407
216;1245;13.78833;3000.18211650848
217;1246;13.65115;3013.97045135498
218;1247;14.07078;3027.62159824371
219;1248;13.60469;3041.69237995148
220;1249;14.12182;3055.29706859589
221;1250;13.77276;3069.41889286041
222;1251;14.10964;3083.191655159
223;1252;13.68901;3097.30129241943
224;1253;13.77906;3110.99030399323
225;1254;13.8874;3124.76936817169
226;1255;13.87724;3138.65676498413
227;1256;14.24302;3152.53400611877
228;1257;13.65641;3166.7770280838
229;1258;14.15953;3180.43343639374
230;1259;13.74;3194.59296798706
231;1260;13.71615;3208.33296871185
232;1261;14.1113;3222.04911613464
233;1262;13.83766;3236.16041946411
234;1263;14.15761;3249.99807739258
235;1264;13.4449;3264.15568256378
236;1265;13.86177;3277.60057926178
237;1266;14.00839;3291.46235084534
238;1267;14.13636;3305.47073745728
239;1268;13.85724;3319.60709285736
240;1269;13.65599;3333.46433353424
241;1270;14.05818;3347.12032413483
242;1271;13.85568;3361.1785030365
243;1272;13.66391;3375.03418064117
244;1273;14.06386;3388.69808864594
245;1274;13.94708;3402.76194381714
246;1275;14.14761;3416.70902824402
247;1276;13.57651;3430.85663414001
248;1277;13.7311;3444.43314552307
249;1278;14.18443;3458.1642408371
250;1279;13.65182;3472.34866905212
251;1280;14.30182;3486.00049304962
252;1281;13.55604;3500.30231666565
253;1282;14.11281;3513.85835933685
254;1283;13.7725;3527.97117328644
255;1284;13.61849;3541.74367523193
256;1285;14.1288;3555.36216640472
257;1286;13.77719;3569.49097061157
258;1287;14.2837;3583.26815986633
259;1288;13.39573;3597.55185890198
260;1289;14.03245;3610.94758987427
261;1290;14.04146;3624.98003864288
262;1291;13.54339;3639.02149868011
263;1292;14.26412;3652.56488418579
264;1293;13.44698;3666.82900047302
265;1294;14.14823;3680.27597999573
266;1295;13.93985;3694.42420959473
267;1296;13.62745;3708.36405467987
268;1297;14.2137;3721.99150371552
269;1298;13.77146;3736.20520401001
270;1299;14.00479;3749.9766626358
271;1300;13.58583;3763.98145580292
272;1301;13.82703;3777.56728935242
273;1302;14.22557;3791.39432239532
274;1303;13.86021;3805.61989593506
275;1304;13.93016;3819.48010635376
276;1305;13.68151;3833.4102640152
277;1306;13.8476;3847.09177589417
278;1307;14.09578;3860.93938064575
279;1308;13.49063;3875.03516292572
280;1309;14.22344;3888.52579021454
281;1310;13.63615;3902.74922943115
282;1311;14.25677;3916.38537693024
283;1312;13.58375;3930.64214992523
284;1313;14.01552;3944.22590065002
285;1314;14.04781;3958.24142360687
286;1315;13.59235;3972.28923797607
287;1316;14.22406;3985.88158321381
288;1317;13.5387;4000.1056470871
289;1318;13.99083;4013.64434623718
290;1319;13.97052;4027.63518047333
291;1320;13.61162;4041.60570335388
292;1321;14.14901;4055.21731948853
293;1322;13.7724;4069.36633014679
294;1323;14.12162;4083.13872814178
295;1324;13.56;4097.26034450531
296;1325;13.63255;4110.8203458786
297;1326;14.39432;4124.45289897919
298;1327;13.93844;4138.84722328186
299;1328;13.94958;4152.78566265106
